人物显示类型	人物类型	资源文件路经	阴影大小	高度	缩放比例	头部	躯体	下身	坐骑	躯体基本动作	下身基本动作	头部基本动作	坐骑基本动作	情绪动作无门派	情绪动作少林	情绪动作武当	情绪动作丐帮	情绪动作唐门	情绪动作峨嵋
枪神赢天？	普通npc	\image\enemy\083	2	200	100														
冷香菱	普通npc	\image\enemy\080	2	200	100														
修罗恶鬼	普通npc	\image\enemy\080	2	140	60														
鹰戈部落武师	普通npc	\image\enemy\035	2	180	80														
德夷部落武师	普通npc	\image\enemy\036	2	180	80														
伊达部落武师	普通npc	\image\enemy\039	2	180	80														
敖狄部落武师	普通npc	\image\enemy\034	2	180	80														
鄂罗部落武师	普通npc	\image\enemy\035	2	180	80														
法岚部落武师	普通npc	\image\enemy\036	2	180	80														
梅利部落武师	普通npc	\image\enemy\039	2	180	80														
伊本部落武师	普通npc	\image\enemy\033	2	180	80														
西摩	普通npc	\image\enemy\039	2	180	80														
倭寇	普通npc	\image\enemy\033	2	130	50														
倭寇士兵	普通npc	\image\enemy\033	2	130	50														
倭寇水兵	普通npc	\image\enemy\033	2	130	50														
倭寇陆兵	普通npc	\image\enemy\033	2	130	50														
倭寇武士	普通npc	\image\enemy\033	2	130	50														
剑灵50	普通npc	\image\enemy\057	2	140	60														
剑灵60	普通npc	\image\enemy\057	2	140	60														
剑灵70	普通npc	\image\enemy\057	2	140	60														
剑灵80	普通npc	\image\enemy\057	2	140	60														
剑灵90	普通npc	\image\enemy\057	2	140	60														
内院总管对话	普通npc	\image\enemy\141	2	155	60														
剑魂对话	普通npc	\image\enemy\142	2	155	60														
透明人打不动	普通npc	\image\enemy\128	2	140	60														
马王	普通npc	\image\enemy\036	2	140	60														
杨业	普通npc	\image\passby\150	2	140	60														
杨延昭	普通npc	\image\passby\151	2	140	60														
杨排风	普通npc	\image\passby\154	2	140	60														
杨宗保	普通npc	\image\passby\152	2	140	60														
穆桂英	普通npc	\image\passby\153	2	140	60														
大表姐	普通npc	\image\enemy\076	2	175	70														
二表姐	普通npc	\image\enemy\076	2	175	70														
三表姐	普通npc	\image\enemy\076	2	175	70														
四表姐	普通npc	\image\enemy\076	2	175	70														
五表姐	普通npc	\image\enemy\076	2	175	70														
大圣诞树	普通npc	\image\passby\143	2	260	90														
中圣诞树	普通npc	\image\passby\143	2	160	60														
小圣诞树	普通npc	\image\passby\143	2	120	40														
花灯1	普通npc	\image\passby\144	2	140	15														
花灯2	普通npc	\image\passby\145	2	140	15														
花灯3	普通npc	\image\passby\146	2	140	15														
大礼品盒1	普通npc	\image\passby\147	2	100	90														
中礼品盒1	普通npc	\image\passby\147	2	75	70														
小礼品盒1	普通npc	\image\passby\147	2	50	40														
大礼品盒2	普通npc	\image\passby\147	2	100	90														
中礼品盒2	普通npc	\image\passby\147	2	75	70														
小礼品盒2	普通npc	\image\passby\147	2	50	40														
大礼品盒3	普通npc	\image\passby\147	2	100	90														
中礼品盒3	普通npc	\image\passby\147	2	75	70														
小礼品盒3	普通npc	\image\passby\147	2	50	40														
大礼品盒4	普通npc	\image\passby\147	2	100	90														
中礼品盒4	普通npc	\image\passby\147	2	75	70														
小礼品盒4	普通npc	\image\passby\147	2	50	40														
礼品圣诞树	普通npc	\image\passby\143	2	260	90														
特大圣诞树	普通npc	\image\passby\143	2	400	140														
镖旗对话	普通npc	\image\enemy\150	2	140	60														
镖旗战斗	普通npc	\image\enemy\150	2	140	60														
大年兽	普通npc	\image\enemy\148	2	160	120														
小年兽	普通npc	\image\enemy\148	2	90	40														
毒甲虫	普通npc	\image\enemy\007	2	130	60														
毒蜈蚣	普通npc	\image\enemy\160	2	80	140														
小毒蜂	普通npc	\image\enemy\002	2	100	40														
毒蚊	普通npc	\image\enemy\161	2	150	60														
剧毒食人草	普通npc	\image\enemy\162	2	130	60														
毒蜥	普通npc	\image\enemy\163	2	130	130														
蚩火黑教徒	普通npc	\image\enemy\171	2	130	60														
蚩火白教徒	普通npc	\image\enemy\171	2	130	60														
蚩火赤教徒	普通npc	\image\enemy\171	2	130	60														
蚩火使者	普通npc	\image\enemy\172	2	130	60														
毒蝠	普通npc	\image\enemy\011	2	200	80														
蚩火护法	普通npc	\image\enemy\172	2	130	60														
啼血鸦	普通npc	\image\enemy\016	2	130	60														
苗岭巡寨	普通npc	\image\enemy\164	2	130	60														
苗岭野牦牛	普通npc	\image\enemy\165	2	130	60														
苗岭护印	普通npc	\image\enemy\166	2	130	60														
苗岭夫人	普通npc	\image\enemy\177	2	130	60														
苗岭土司	普通npc	\image\enemy\166	2	130	60														
白头雕	普通npc	\image\enemy\014	2	260	40														
子夜虎	普通npc	\image\enemy\008	2	130	60														
傀儡人	普通npc	\image\enemy\056	2	130	60														
蚩火长老	普通npc	\image\enemy\173	2	130	60														
蚩火坛主	普通npc	\image\enemy\174	2	130	60														
黑猩猩	普通npc	\image\enemy\012	2	130	60														
野毛象	普通npc	\image\enemy\167	2	130	60														
叛军巡逻	普通npc	\image\enemy\039	2	130	60														
叛军卫兵	普通npc	\image\enemy\039	2	130	60														
叛军武士	普通npc	\image\enemy\039	2	130	60														
千寻武僧	普通npc	\image\enemy\028	2	130	60														
千寻法僧	普通npc	\image\enemy\028	2	130	60														
摩尼僧	普通npc	\image\enemy\168	2	130	60														
陀罗尼僧	普通npc	\image\enemy\168	2	130	60														
持刀护卫	普通npc	\image\enemy\040	2	130	60														
持矛护卫	普通npc	\image\enemy\040	2	130	60														
蚩火妖妇	普通npc	\image\enemy\131	2	130	60														
血鳞毒蟒	普通npc	\image\enemy\178	2	130	60														
腐骨毒人	普通npc	\image\enemy\068	2	130	60														
驭毒阴姬	普通npc	\image\enemy\131	2	130	60														
半蝶人	普通npc	\image\enemy\051	2	130	60														
狱火人	普通npc	\image\enemy\052	2	130	60														
蚩火大护法	普通npc	\image\enemy\172	2	130	60														
苗岭勇士	普通npc	\image\enemy\175	2	130	60														
苗岭力士	普通npc	\image\enemy\175	2	130	60														
苗岭首领	普通npc	\image\enemy\176	2	130	60														
狱火狂人	普通npc	\image\enemy\052	4	230	100														
迦楼罗	普通npc	\image\enemy\047	2	200	80														
蚩火大长老	普通npc	\image\enemy\173	2	130	60														
蚩火教总坛主	普通npc	\image\enemy\174	2	130	60														
阿修罗	普通npc	\image\enemy\138	2	180	80														
摩呼罗迦	普通npc	\image\enemy\053	2	130	60														
段承恩	普通npc	\image\enemy\136	2	130	60														
大理二皇子	普通npc	\image\enemy\170	2	130	60														
护卫队长	普通npc	\image\enemy\040	2	130	60														
乾达婆	普通npc	\image\enemy\061	2	130	60														
千寻衲师	普通npc	\image\enemy\169	2	130	60														
紧那罗	普通npc	\image\enemy\179	2	130	60														
龙象法僧	普通npc	\image\enemy\169	2	130	60														
大理三皇子	普通npc	\image\enemy\170	2	130	60														
玫瑰花红	普通npc	\image\passby\155	2	130	60														
玫瑰花黄	普通npc	\image\passby\155	2	130	60														
玫瑰花粉	普通npc	\image\passby\155	2	130	60														
玫瑰花小苗	普通npc	\image\passby\155	2	130	60														
玫瑰花苗	普通npc	\image\passby\155	2	130	60														
玫瑰花骨朵	普通npc	\image\passby\155	2	130	60														
鬼蜮姥姥	普通npc	\image\enemy\058	2	200	90														
董迦明	普通npc	\image\enemy\137	2	130	60														
马贼头目	普通npc	\image\enemy\064	4	240	80														
马贼喽啰	普通npc	\image\enemy\064	4	200	60														
经验兔子	普通npc	\image\enemy\073	1	80	200														
宝石兔子	普通npc	\image\enemy\073	1	80	200														
经验凤凰	普通npc	\image\enemy\047	2	200	60														
宝石凤凰	普通npc	\image\enemy\047	2	200	60														
经验火麒麟	普通npc	\image\enemy\054	2	120	60														
宝石火麒麟	普通npc	\image\enemy\054	2	120	60														
经验食人花	普通npc	\image\enemy\162	2	130	60														
宝石食人花	普通npc	\image\enemy\162	2	130	60														
经验牦牛	普通npc	\image\enemy\165	2	150	80														
宝石牦牛	普通npc	\image\enemy\165	2	150	80														
经验琴仙子	普通npc	\image\enemy\077	2	140	60														
宝石琴仙子	普通npc	\image\enemy\077	2	140	60														
多蜜花果树小	普通npc	\image\enemy\162	2	180	100														
多蜜花果树中	普通npc	\image\enemy\162	2	240	140														
多蜜花果树大	普通npc	\image\enemy\162	2	320	180														
北绿林令	普通npc	\image\item\drop\	2	50	100														
逐影枪	普通npc	\image\item\drop\	2	50	80														
绝情石	普通npc	\image\item\drop\	2	50	80														
外院总管腰牌	普通npc	\image\item\drop\	2	50	100														
内院总管腰牌	普通npc	\image\item\drop\	2	50	100														
越女剑	普通npc	\image\item\drop\	2	50	80														
庄主金印	普通npc	\image\item\drop\	2	50	80														
长老指环	普通npc	\image\item\drop\	2	50	80														
装备兔子	普通npc	\image\enemy\073	1	80	200														
装备凤凰	普通npc	\image\enemy\047	2	200	60														
装备火麒麟	普通npc	\image\enemy\054	2	120	60														
装备食人花	普通npc	\image\enemy\162	2	130	60														
装备牦牛	普通npc	\image\enemy\165	2	150	80														
装备琴仙子	普通npc	\image\enemy\077	2	140	60														
跟随小年兽	普通npc	\image\enemy\148	2	90	40														
跟随小白兔	普通npc	\image\enemy\073	1	80	100														
跟随马猴	普通npc	\image\enemy\078	2	85	60														
跟随小野猪	普通npc	\image\enemy\075	2	70	80														
跟随白头雕	普通npc	\image\enemy\014	2	260	40														
跟随子夜虎	普通npc	\image\enemy\008	2	130	60														
跟随黑猩猩	普通npc	\image\enemy\012	2	130	60														
跟随夜叉鸦	普通npc	\image\enemy\094	2	190	60														
跟随剑魂	普通npc	\image\enemy\099	2	145	60														
牛郎	普通npc	\image\passby\031	2	140	60														
织女	普通npc	\image\passby\176	2	140	60														
喜鹊	普通npc	\image\passby\175	2	140	60														
轿子	普通npc	\image\passby\167	2	140	60														
酒席	普通npc	\image\passby\168	2	140	60														
媒婆	普通npc	\image\passby\169	2	140	60														
喜娘	普通npc	\image\passby\170	2	140	60														
商人	普通npc	\image\passby\171	2	140	60														
鼓手	普通npc	\image\passby\172	2	140	60														
唢呐手	普通npc	\image\passby\172	2	140	60														
喜鹊右	普通npc	\image\passby\175	2	140	60														
喜鹊左	普通npc	\image\passby\175	2	140	60														
昆仑奴	普通npc	\image\enemy\103	2	200	80														
裴航	普通npc	\image\enemy\067	2	200	80														
柳毅	普通npc	\image\enemy\134	2	200	80														
红线	普通npc	\image\enemy\135	2	200	80														
沙漠狂刀贺景胜	普通npc	\image\enemy\065	2	200	80														
伙头军聂大锤	普通npc	\image\enemy\064	2	200	80														
步非烟	普通npc	\image\enemy\090	2	200	100														
昆仑奴留下的箱子	普通npc	\image\enemy\113	2	100	60														
裴航留下的箱子	普通npc	\image\enemy\113	2	100	60														
柳毅留下的箱子	普通npc	\image\enemy\113	2	100	60														
红线留下的箱子	普通npc	\image\enemy\113	2	100	60														
贺景胜的铁箱子	普通npc	\image\enemy\113	2	100	60														
聂大锤的铁箱子	普通npc	\image\enemy\113	2	100	60														
步非烟的百宝箱	普通npc	\image\enemy\113	2	100	60														
刘铁匠	普通npc	\image\enemy\212	2	180	80														
夏天	普通npc	\image\enemy\085	2	170	80														
阿松	普通npc	\image\enemy\070	2	200	70														
阿为	普通npc	\image\enemy\215	2	170	80														
铁羊	普通npc	\image\enemy\216	2	180	160														
阴铭	普通npc	\image\enemy\217	2	200	70														
猴盾	普通npc	\image\enemy\060	2	180	80														
趴趴熊	普通npc	\image\enemy\219	2	180	160														
光无极	普通npc	\image\enemy\048	2	200	90														
小刘铁匠	普通npc	\image\enemy\212	2	140	60														
小夏天	普通npc	\image\enemy\085	2	140	60														
小阿松	普通npc	\image\enemy\070	2	140	40														
小阿为	普通npc	\image\enemy\215	2	140	60														
小铁羊	普通npc	\image\enemy\216	2	140	80														
小阴铭	普通npc	\image\enemy\217	2	140	40														
小猴盾	普通npc	\image\enemy\060	2	140	60														
小趴趴熊	普通npc	\image\enemy\219	2	140	60														
小光无极	普通npc	\image\enemy\048	2	140	60														
重阳花1	普通npc	\image\passby\176b	2	80	80														
重阳花2	普通npc	\image\passby\176b	2	80	80														
重阳花3	普通npc	\image\passby\176b	2	80	80														
圣诞树1a	普通npc	\image\passby\143	2	450	50														
圣诞树1b	普通npc	\image\passby\143	2	300	40														
圣诞树1c	普通npc	\image\passby\143	2	220	30														
圣诞树1d	普通npc	\image\passby\143	2	160	20														
圣诞树2a	普通npc	\image\passby\143	2	450	50														
圣诞树2b	普通npc	\image\passby\143	2	300	40														
圣诞树2c	普通npc	\image\passby\143	2	220	30														
圣诞树2d	普通npc	\image\passby\143	2	160	20														
圣诞树3a	普通npc	\image\passby\143	2	480	60														
圣诞树3b	普通npc	\image\passby\143	2	320	50														
圣诞树3c	普通npc	\image\passby\143	2	240	40														
圣诞树3d	普通npc	\image\passby\143	2	160	30														
圣诞树4a	普通npc	\image\passby\143	2	450	50														
圣诞树4b	普通npc	\image\passby\143	2	300	40														
圣诞树4c	普通npc	\image\passby\143	2	220	30														
圣诞树4d	普通npc	\image\passby\143	2	160	20														
青书	普通npc	\image\enemy\194	2	130	60														
玄真	普通npc	\image\enemy\193	2	130	60														
杨延德	普通npc	\image\enemy\205	2	130	60														
慧明	普通npc	\image\enemy\204	2	130	60														
唐喜	普通npc	\image\enemy\197	2	130	60														
黄正一	普通npc	\image\enemy\200	2	130	60														
古墨	普通npc	\image\enemy\209	2	130	60														
高手的包裹	普通npc	\image\enemy\114	2	60	60														
兔小丫	普通npc	\image\passby\177	2	110	60														
小白公猪	普通npc	\image\enemy\222	2	100	80														
小白母猪	普通npc	\image\enemy\222	2	100	80														
小黑公猪	普通npc	\image\enemy\222	2	100	80														
小黑母猪	普通npc	\image\enemy\222	2	100	80														
小金公猪	普通npc	\image\enemy\222	2	100	80														
小金母猪	普通npc	\image\enemy\222	2	100	80														
华山箱子	普通npc	\image\enemy\113	2	140	100														
宋军元帅	普通npc	\image\enemy\189	2	180	80														
宋军将军	普通npc	\image\enemy\063	2	220	55														
宋军先锋	普通npc	\image\enemy\133	2	180	90														
宋强弩兵	普通npc	\image\enemy\037	2	130	65														
宋精兵	普通npc	\image\enemy\037	2	130	60														
辽硬弓兵	普通npc	\image\enemy\038	2	130	70														
辽勇士	普通npc	\image\enemy\038	2	130	70														
宋军都尉	普通npc	\image\enemy\037	2	130	65														
辽军都尉	普通npc	\image\enemy\038	2	130	70														
辽军将军	普通npc	\image\enemy\072	2	180	60														
辽军先锋	普通npc	\image\enemy\064	2	200	80														
宋军都统	普通npc	\image\enemy\037	2	130	65														
辽军都统	普通npc	\image\enemy\038	2	130	70														
辽军元帅	普通npc	\image\enemy\064	2	200	70														
中立武将	普通npc	\image\enemy\018	2	130	80														
宋难民	普通npc	\image\passby\073	2	130	80														
辽难民	普通npc	\image\passby\096	2	130	60														
土民首领	普通npc	\image\enemy\018	2	130	110														
土民	普通npc	\image\enemy\084	2	130	70														
炮台守卫	普通npc	\image\enemy\040	2	130	65														
环保土民	普通npc	\image\enemy\084	2	130	65														
狂暴的土民	普通npc	\image\enemy\084	2	130	65														
仇恨的土民	普通npc	\image\enemy\084	2	130	65														
愤怒的土民	普通npc	\image\enemy\084	2	130	65														
中军火炮	普通npc	\image\enemy\221	2	130	150														
宋军火炮	普通npc	\image\enemy\221	2	130	150														
辽军火炮	普通npc	\image\enemy\221	2	130	150														
土民弓箭手	普通npc	\image\enemy\084	2	130	70														
宋军箭塔	普通npc	\image\enemy\191	2	150	90														
辽军箭塔	普通npc	\image\enemy\191	2	150	90														
高级粮草垛	普通npc	\image\enemy\190	2	130	70														
被解救的宋难民	普通npc	\image\passby\073	2	130	80														
被解救的辽难民	普通npc	\image\passby\096	2	130	60														
山贼首领	普通npc	\image\enemy\086	2	130	70														
山贼喽罗	普通npc	\image\enemy\019	2	130	65														
难民	普通npc	\image\passby\040	2	80	65														
战场宝箱	普通npc	\image\enemy\113	2	80	70														
废弃的火炮	普通npc	\image\enemy\192	2	130	150														
活动透明人	普通npc	\iamge\enemy\128	2	140	60														
一捆狼皮	普通npc	\image\passby\185	2	60	60														
一捆虎皮	普通npc	\image\passby\186	2	60	60														
一捆蛇皮	普通npc	\image\passby\187	2	60	60														
一捆狐皮	普通npc	\image\passby\188	2	60	60														
一捆白虎之皮	普通npc	\image\passby\189	2	60	60														
一捆熊皮	普通npc	\image\passby\190	2	60	60														
一捆鸾鸟羽披	普通npc	\image\passby\191	2	60	60														
一捆山狮之皮	普通npc	\image\passby\192	2	60	60														
一捆朱雀之羽	普通npc	\image\passby\193	2	60	60														
一捆灵鳌之皮	普通npc	\image\passby\194	2	60	60														
一捆兔毛	普通npc	\image\passby\195	2	60	60														
一捆蚕丝	普通npc	\image\passby\196	2	60	30														
一捆五色丝	普通npc	\image\passby\197	2	60	30														
一捆狼蛛丝	普通npc	\image\passby\198	2	60	40														
一捆血蚕丝	普通npc	\image\passby\199	2	60	30														
一捆灵蛛丝	普通npc	\image\passby\201	2	60	40														
一捆金蚕丝	普通npc	\image\passby\202	2	60	30														
一捆冷虫丝	普通npc	\image\passby\203	2	60	40														
一捆天蚕丝	普通npc	\image\passby\203	2	60	30														
一捆彩云丝	普通npc	\image\passby\205	2	60	60														
一堆精铁	普通npc	\image\passby\206	2	60	60														
一堆百炼钢	普通npc	\image\passby\206	2	60	60														
一堆乌金石	普通npc	\image\passby\206	2	60	60														
一堆寒铁	普通npc	\image\passby\207	2	60	60														
一堆太白精金	普通npc	\image\passby\207	2	60	60														
一堆玄铁	普通npc	\image\passby\208	2	60	60														
一堆天青石	普通npc	\image\passby\209	2	60	60														
一堆黑钨石	普通npc	\image\passby\207	2	60	60														
一堆松木	普通npc	\image\passby\210	2	300	60														
一堆杨木	普通npc	\image\passby\210	2	300	60														
一堆杉木	普通npc	\image\passby\210	2	300	60														
一堆铁木	普通npc	\image\passby\211	2	240	60														
一堆梧桐木	普通npc	\image\passby\211	2	240	60														
一堆重木	普通npc	\image\passby\211	2	240	60														
一堆铁樟木	普通npc	\image\passby\211	2	240	60														
一堆铁线木	普通npc	\image\passby\212	2	240	60														
一些巴豆	普通npc	\image\passby\213	2	60	60														
一些藏红花	普通npc	\image\passby\214	2	90	60														
一些桔梗	普通npc	\image\passby\215	2	80	60														
一些黄连	普通npc	\image\passby\216	2	60	60														
一些蝉蜕	普通npc	\image\passby\217	2	120	60														
一些田七	普通npc	\image\passby\218	2	60	60														
一些穿山甲	普通npc	\image\passby\219	2	60	30														
一些麝香	普通npc	\image\passby\220	2	60	60														
一袋光通麻	普通npc	\image\passby\221	2	60	60														
一袋倾篱豆	普通npc	\image\passby\221	2	60	60														
一袋绕明豆	普通npc	\image\passby\221	2	60	60														
一袋融泽谷	普通npc	\image\passby\222	2	60	60														
一袋甘蔗	普通npc	\image\passby\222	2	60	60														
一袋延精麦	普通npc	\image\passby\223	2	120	60														
一袋淳和麦	普通npc	\image\passby\224	2	60	60														
一袋游龙粟	普通npc	\image\passby\224	2	60	60														
灵符材料	普通npc	\image\enemy\114	2	60	120														
仙符材料	普通npc	\image\enemy\114	2	60	120														
神符材料	普通npc	\image\enemy\114	2	60	120														
烂箱子	普通npc	\image\enemy\113	2	140	60														
木箱子	普通npc	\image\enemy\113	2	140	60														
集灵	普通npc	\image\passby\053	2	130	60														
挖矿	普通npc	\image\passby\113	2	130	60														
杀手堂香主	普通npc	\image\enemy\105	2	130	60														
杀手堂副堂主	普通npc	\image\enemy\085	2	130	60														
人屠斧鬼虐	普通npc	\image\enemy\217	2	130	60														
金牌杀手	普通npc	\image\enemy\039	2	60	60														
少林影子护卫	普通npc	\image\enemy\193	2	130	60														
唐门影子护卫	普通npc	\image\enemy\197	2	130	60														
峨嵋影子护卫	普通npc	\image\enemy\204	2	130	60														
丐帮影子护卫	普通npc	\image\enemy\200	2	130	60														
武当影子护卫	普通npc	\image\enemy\194	2	130	60														
杨门影子护卫	普通npc	\image\enemy\205	2	130	60														
五毒影子护卫	普通npc	\image\enemy\209	2	130	60														
关卡boss1	普通npc	\image\enemy\175	2	200	120														
关卡boss2	普通npc	\image\enemy\061	2	200	120														
关卡boss3	普通npc	\image\enemy\069	2	200	120														
关卡boss41	普通npc	\image\enemy\170	2	200	120														
关卡boss42	普通npc	\image\enemy\170	2	200	120														
关卡boss5	普通npc	\image\enemy\097	2	200	160														
关卡boss61	普通npc	\image\enemy\054	2	200	150														
关卡boss62	普通npc	\image\enemy\054	2	200	150														
关卡2小怪	普通npc	\image\enemy\076	2	100	80														
关卡3小怪	普通npc	\image\enemy\039	2	130	60														
关卡4小怪	普通npc	\image\enemy\040	2	140	60														
关卡5小怪	普通npc	\image\enemy\004	2	160	140														
关卡5机关1	普通npc	\image\enemy\001	2	130	100														
关卡5机关2	普通npc	\image\enemy\001	2	130	100														
紫光阁宝箱	普通npc	\image\enemy\113	2	100	60														
替补区小怪	普通npc	\image\enemy\039	2	140	60														
攻占旗帜红	普通npc	\image\enemy\攻占旗帜红	2	420	100														
攻占旗帜蓝	普通npc	\image\enemy\攻占旗帜蓝	2	420	100														
城门大旗	普通npc	\image\enemy\城门大旗	2	560	100														
城门机关	普通npc	\image\enemy\城门机关	2	50	50														
资源宝箱	普通npc	\image\enemy\113	2	80	160														
西北壮汉	普通npc	\image\enemy\301	2	130	60														
西北烟汉	普通npc	\image\enemy\300	2	130	60														
一品堂密使	普通npc	\image\enemy\303	2	130	60														
关外高手	普通npc	\image\enemy\302	2	130	60														
一品堂暗杀使	普通npc	\image\enemy\303	2	130	60														
盗墓人	普通npc	\image\enemy\304	2	130	60														
西夏武士	普通npc	\image\enemy\305	2	130	60														
西夏勇士	普通npc	\image\enemy\305	2	130	60														
药人	普通npc	\image\enemy\306	2	130	70														
树人	普通npc	\image\enemy\058	2	155	50														
沙漠行者	普通npc	\image\enemy\307	2	130	60														
夺宝人	普通npc	\image\enemy\308	2	130	60														
春十三娘	普通npc	\image\enemy\309	2	130	60														
非常道人	普通npc	\image\enemy\310	2	140	70														
古阳兽	普通npc	\image\enemy\312	2	180	60														
虬须客	普通npc	\image\enemy\322	2	150	70														
独臂	普通npc	\image\enemy\313	2	150	70														
残腿	普通npc	\image\enemy\314	2	150	70														
兵马俑领军	普通npc	\image\enemy\315	2	180	60														
镇墓兽	普通npc	\image\enemy\317	2	150	90														
镇墓领军	普通npc	\image\enemy\316	2	195	80														
西夏法王	普通npc	\image\enemy\318	2	160	70														
药人首领	普通npc	\image\enemy\323	2	150	80														
独行老驼	普通npc	\image\enemy\319	2	150	80														
五行使金	普通npc	\image\enemy\320	2	140	70														
五行使木	普通npc	\image\enemy\320	2	140	70														
五行使水	普通npc	\image\enemy\320	2	140	70														
五行使火	普通npc	\image\enemy\320	2	140	70														
五行使土	普通npc	\image\enemy\320	2	140	70														
沙漠幻象(血魔人)	普通npc	\image\enemy\311	2	160	80														
沙漠幻象(鬼将军)	普通npc	\image\enemy\095	2	210	70														
沙漠幻象(镇墓将军)	普通npc	\image\enemy\316	2	190	80														
沙漠幻象(兵马俑将军)	普通npc	\image\enemy\315	2	240	80														
沙漠幻象(古阳兽)	普通npc	\image\enemy\317	2	150	90														
幻象原形	普通npc	\image\enemy\321	2	380	400														
血魔人	普通npc	\image\enemy\311	2	130	60														
爪王	普通npc	\image\enemy\103	2	180	70														
药人草	普通npc	\image\passby\324	2	60	60														
秦不智	普通npc	\image\passby\176c	2	130	60														
陈不为	普通npc	\image\passby\177b	2	130	60														
马不前	普通npc	\image\passby\178	2	130	60														
王不凡	普通npc	\image\passby\179	2	130	60														
昆仑男弟子	普通npc	\image\passby\180	2	130	60														
烈阳根灰	普通npc	\image\passby\325	2	60	80														
烈阳根黄	普通npc	\image\passby\325	2	60	80														
烈阳根红	普通npc	\image\passby\325	2	60	80														
袁飞云	普通npc	\image\enemy\326	2	130	60														
骷髅王	普通npc	\image\enemy\068	2	210	70	 													
怨魂之王	普通npc	\image\enemy\080	2	180	80														
药室看守人	普通npc	\image\enemy\306	2	130	75														
五行阵使	普通npc	\image\passby\110	2	140	70														
守墓人	普通npc	\image\enemy\083	2	150	70														
守墓将军	普通npc	\image\enemy\316	2	195	80														
周不惑	普通npc	\image\passby\087	2	140	60														
西北鬼将军	普通npc	\image\enemy\095	2	185	60														
玫瑰花蓝	普通npc	\image\passby\155	2	130	60														
玫瑰花紫	普通npc	\image\passby\155	2	130	60														
回风寨杂兵	普通npc	\image\enemy\039	2	130	60														
回风寨精英	普通npc	\image\enemy\019	2	140	60														
回风寨队长	普通npc	\image\enemy\175	2	130	60														
马厩守卫	普通npc	\image\enemy\175	2	130	60														
矿山守卫	普通npc	\image\enemy\175	2	130	60														
粮仓守卫	普通npc	\image\enemy\175	2	130	60														
伐木场守卫	普通npc	\image\enemy\175	2	130	60														
回风寨统领	普通npc	\image\enemy\065	2	150	60														
古阳兽关卡1	普通npc	\image\enemy\312	2	220	90														
裂岩螭龙关卡	普通npc	\image\enemy\048	2	140	60														
赤炼火狐关卡	普通npc	\image\enemy\049	2	140	60														
暗日使关卡	普通npc	\image\enemy\030	2	140	60														
明月使关卡	普通npc	\image\enemy\030	2	140	60														
血魔人关卡	普通npc	\image\enemy\311	2	155	70														
镇墓兽关卡	普通npc	\image\enemy\317	2	230	150														
守柱统领	普通npc	\image\enemy\315	2	180	61														
镇墓柱	普通npc	\image\enemy\182	2	320	23														
鬼将军关卡	普通npc	\image\enemy\095	2	300	100														
烛台大	普通npc	\image\enemy\181	2	150	60														
烛台中	普通npc	\image\enemy\181	2	150	60														
烛台小	普通npc	\image\enemy\181	2	150	60														
烛台	普通npc	\image\enemy\181	2	90	60														
东北镇墓将军	普通npc	\image\enemy\316	2	195	80														
东南镇墓将军	普通npc	\image\enemy\316	2	140	60														
西北镇墓将军	普通npc	\image\enemy\316	2	130	60														
西南镇墓将军	普通npc	\image\enemy\316	2	130	60														
鬼随从	普通npc	\image\enemy\095	2	150	50														
鬼傀儡	普通npc	\image\enemy\095	2	150	50														
鬼侍从	普通npc	\image\enemy\095	2	150	50														
鬼仆人	普通npc	\image\enemy\095	2	150	50														
药王关卡	普通npc	\image\enemy\106	3	250	120														
药人王关卡	普通npc	\image\enemy\306	2	160	90														
五行金使关卡	普通npc	\image\enemy\320	2	210	115														
五行木使关卡	普通npc	\image\enemy\320	2	210	115														
五行水使关卡	普通npc	\image\enemy\320	2	210	115														
五行火使关卡	普通npc	\image\enemy\320	2	210	115														
五行土使关卡	普通npc	\image\enemy\320	2	210	115														
金旗使	普通npc	\image\enemy\320	2	140	70														
木旗使	普通npc	\image\enemy\320	2	140	70														
水旗使	普通npc	\image\enemy\320	2	140	70														
火旗使	普通npc	\image\enemy\320	2	140	70														
土旗使	普通npc	\image\enemy\320	2	140	70														
沙漠幻象关卡1	普通npc	\image\enemy\321	2	400	400														
沙漠幻象关卡2	普通npc	\image\enemy\321	2	400	400														
沙漠宝箱	普通npc	\image\enemy\113	2	60	80														
寻宝人关卡	普通npc	\image\enemy\308	2	170	80														
血魔人幻象	普通npc	\image\enemy\311	2	270	120														
鬼将军幻象	普通npc	\image\enemy\095	2	315	105														
镇墓将军幻象	普通npc	\image\enemy\316	2	290	120														
兵马俑统领幻象	普通npc	\image\enemy\315	2	320	100														
镇墓兽幻象	普通npc	\image\enemy\317	2	230	145														
李元庆	普通npc	\image\enemy\327	2	320	160														
男狐妖	普通npc	\image\enemy\328	2	160	60														
女狐仙	普通npc	\image\enemy\329	2	160	60														
大考官兔总管	普通npc	\image\passby\181	2	130	60														
豪华甄子丹	普通npc	\image\passby\126	2	140	60														
师门秘室少林俗家守卫1	普通npc	\image\enemy\223	2	130	60														
师门秘室少林俗家守卫2	普通npc	\image\enemy\223	2	130	60														
师门秘室少林俗家守卫3	普通npc	\image\enemy\223	2	130	60														
师门秘室少林俗家守卫4	普通npc	\image\enemy\223	2	130	60														
