Npc显示类型	模型	贴图	动画	偏色	插槽1	武器名称1	插槽2	武器名称2	头像序号
顶级杀手61	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手62	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手63	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手64	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手65	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手70	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手71	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手72	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手73	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手74	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手75	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手80	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手81	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手82	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手83	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手84	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手85	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手90	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手91	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手92	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手93	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手94	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手95	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
宝藏妖怪10	011.mesh	011a.Mtl	011a.Ani						
宝藏妖怪20	046.mesh	046a.Mtl	046a.Ani						
宝藏妖怪30	057.mesh	057a.Mtl	057a.Ani						
宝藏妖怪40	080b.mesh	080b.Mtl	080b.Ani						
宝藏妖怪50	058.mesh	058a.Mtl	058a.Ani						
宝藏妖怪60	079.mesh	079b.Mtl	079b.Ani		079b	079a叉			
宝藏妖怪70	051.mesh	051a.Mtl	051a.Ani						
宝藏妖怪80	079.mesh	079f.Mtl	079f.Ani		079c	079a爪			
宝藏妖怪90	056.mesh	056c.Mtl	056c.Ani						
金刚门僧人10	028.mesh	028c.Mtl	028c.Ani						
金刚门僧人20	028.mesh	028c.Mtl	028c.Ani						
金刚门僧人30	028.mesh	028c.Mtl	028c.Ani						
金刚门僧人40	028.mesh	028c.Mtl	028c.Ani						
金刚门僧人50	028.mesh	028c.Mtl	028c.Ani						
金刚门僧人60	028.mesh	028c.Mtl	028c.Ani						
金刚门僧人70	028.mesh	028c.Mtl	028c.Ani						
金刚门僧人80	028.mesh	028c.Mtl	028c.Ani						
金刚门僧人90	028.mesh	028c.Mtl	028c.Ani						
武当弃徒10	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
武当弃徒20	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
武当弃徒30	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
武当弃徒40	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
武当弃徒50	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
武当弃徒60	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
武当弃徒70	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
武当弃徒80	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
武当弃徒90	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
采花贼10	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
采花贼20	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
采花贼30	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
采花贼40	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
采花贼50	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
采花贼60	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
采花贼70	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
采花贼80	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
采花贼90	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
扶桑武士10	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
扶桑武士20	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
扶桑武士30	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
扶桑武士40	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
扶桑武士50	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
扶桑武士60	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
扶桑武士70	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
扶桑武士80	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
扶桑武士90	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
六扇门密探10	098c.mesh	098c.Mtl	098c.Ani						
六扇门密探20	098c.mesh	098c.Mtl	098c.Ani						
六扇门密探30	098c.mesh	098c.Mtl	098c.Ani						
六扇门密探40	098c.mesh	098c.Mtl	098c.Ani						
六扇门密探50	098c.mesh	098c.Mtl	098c.Ani						
六扇门密探60	098c.mesh	098c.Mtl	098c.Ani						
六扇门密探70	098c.mesh	098c.Mtl	098c.Ani						
六扇门密探80	098c.mesh	098c.Mtl	098c.Ani						
六扇门密探90	098c.mesh	098c.Mtl	098c.Ani						
木柱	128.mesh	128.Mtl	030.Ani						
剑台30	129.mesh	129.Mtl	030.Ani						
剑台40	129.mesh	129.Mtl	030.Ani						
剑台50	129.mesh	129.Mtl	030.Ani						
剑台60	129.mesh	129.Mtl	030.Ani						
剑台70	129.mesh	129.Mtl	030.Ani						
剑台80	129.mesh	129.Mtl	030.Ani						
剑台90	129.mesh	129.Mtl	030.Ani						
剑台对话	129.mesh	129.Mtl	030.Ani						
盘龙柱	130.mesh	130.Mtl	030.Ani						
低级藏剑护院	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
中级藏剑护院	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
高级藏剑护院	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
低级老女仆	091.mesh	091b.Mtl	091b.Ani		091b	WQ091b			
中级老女仆	091.mesh	091b.Mtl	091b.Ani		091b	WQ091b			
高级老女仆	091.mesh	091b.Mtl	091b.Ani		091b	WQ091b			
低级铜剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
中级铜剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
高级铜剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
低级银剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
中级银剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
高级银剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
低级金剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
中级金剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
高级金剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
低级圣剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
中级圣剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
高级圣剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
低级天剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
中级天剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
高级天剑护卫	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
低级魔剑之魂	099.mesh	099a.Mtl	099a.Ani						
中级魔剑之魂	099.mesh	099a.Mtl	099a.Ani						
高级魔剑之魂	099.mesh	099a.Mtl	099a.Ani						
低级万剑之魂	099.mesh	099a.Mtl	099a.Ani						
中级万剑之魂	099.mesh	099a.Mtl	099a.Ani						
高级万剑之魂	099.mesh	099a.Mtl	099a.Ani						
低级剑魔之徒	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
中级剑魔之徒	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
高级剑魔之徒	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
低级燃命剑魂	099.mesh	099a.Mtl	099a.Ani						
中级燃命剑魂	099.mesh	099a.Mtl	099a.Ani						
高级燃命剑魂	099.mesh	099a.Mtl	099a.Ani						
北绿林山贼	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
北绿林山大王	019.mesh	019b.Mtl	019b.Ani		019b	WQ019b			
心腹密探	020.mesh	020b.Mtl	020b.Ani						
绿林高手	027.mesh	027b.Mtl	027b.Ani		027b	WQ027b			
幻影武士	083.mesh	083e.Mtl	083e.Ani		083e	WQ083e			
枪神赢天	083.mesh	083g.Mtl	083g.Ani		083g	WQ083g			
枪神赢天？	083.mesh	083g.Mtl	083g.Ani		083g	WQ083g			
冷香菱	080c.mesh	080c.Mtl	080c.Ani						
修罗恶鬼	080b.mesh	080b.Mtl	080b.Ani						
鹰戈部落武师	035b.mesh	035b.Mtl	035b.Ani						
德夷部落武师	036.mesh	036a.Mtl	036a.Ani						
伊达部落武师	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
敖狄部落武师	034.mesh	034a.Mtl	034a.Ani		034a	WQ034a			
鄂罗部落武师	035b.mesh	035b.Mtl	035b.Ani						
法岚部落武师	036.mesh	036a.Mtl	036a.Ani						
梅利部落武师	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
伊本部落武师	033a.mesh	033a.Mtl	033a.Ani		033a	WQ033a			
西摩	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
倭寇	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
倭寇士兵	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
倭寇水兵	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
倭寇陆兵	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
倭寇武士	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
剑灵50	057.mesh	057b.Mtl	057b.Ani						
剑灵60	057.mesh	057b.Mtl	057b.Ani						
剑灵70	057.mesh	057b.Mtl	057b.Ani						
剑灵80	057.mesh	057b.Mtl	057b.Ani						
剑灵90	057.mesh	057b.Mtl	057b.Ani						
内院总管对话	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
剑魂对话	142.mesh	142a.Mtl	142a.Ani		S_HR	142aw			
透明人打不动	128.mesh	128a.Mtl	128a.Ani						
马王	036.mesh	036a.Mtl	036a.Ani		036a	WQ036a			
杨业	150.mesh	150b.Mtl	150b.Ani						
杨延昭	151.mesh	151b.Mtl	151b.Ani						
杨排风	154.mesh	154b.Mtl	154b.Ani						
杨宗保	152.mesh	152b.Mtl	152b.Ani						
穆桂英	153.mesh	153b.Mtl	153b.Ani						
大表姐	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
二表姐	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
三表姐	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
四表姐	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
五表姐	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
大圣诞树	143.mesh	143a.Mtl	143a.Ani						
中圣诞树	143.mesh	143a.Mtl	143a.Ani						
小圣诞树	143.mesh	143a.Mtl	143a.Ani						
花灯1	144.mesh	144a.Mtl	144a.Ani						
花灯2	145.mesh	145a.Mtl	145a.Ani						
花灯3	146.mesh	146a.Mtl	146a.Ani						
大礼品盒1	147.mesh	147a.Mtl	147a.Ani						
中礼品盒1	147.mesh	147a.Mtl	147a.Ani						
小礼品盒1	147.mesh	147a.Mtl	147a.Ani						
大礼品盒2	147.mesh	147b.Mtl	147a.Ani						
中礼品盒2	147.mesh	147b.Mtl	147a.Ani						
小礼品盒2	147.mesh	147b.Mtl	147a.Ani						
大礼品盒3	147.mesh	147c.Mtl	147a.Ani						
中礼品盒3	147.mesh	147c.Mtl	147a.Ani						
小礼品盒3	147.mesh	147c.Mtl	147a.Ani						
大礼品盒4	147.mesh	147d.Mtl	147a.Ani						
中礼品盒4	147.mesh	147d.Mtl	147a.Ani						
小礼品盒4	147.mesh	147d.Mtl	147a.Ani						
礼品圣诞树	143.mesh	143a.Mtl	143a.Ani						
特大圣诞树	143.mesh	143a.Mtl	143a.Ani						
镖旗对话	150.mesh	150a.Mtl	150a.Ani						
镖旗战斗	150.mesh	150a.Mtl	150a.Ani						
大年兽	148.mesh	148a.Mtl	148a.Ani						
小年兽	148.mesh	148a.Mtl	148a.Ani						
毒甲虫	007.mesh	007c.Mtl	007a.Ani						
毒蜈蚣	160.mesh	160a.Mtl	160a.Ani						
小毒蜂	002.mesh	002b.Mtl	002a.Ani						
毒蚊	161.mesh	161a.Mtl	161a.Ani						
剧毒食人草	162.mesh	162a.Mtl	162a.Ani						
毒蜥	163.mesh	163a.Mtl	163a.Ani						
蚩火黑教徒	171.mesh	171a.Mtl	171a.Ani						
蚩火白教徒	171.mesh	171b.Mtl	171b.Ani						
蚩火赤教徒	171.mesh	171c.Mtl	171c.Ani						
蚩火使者	172.mesh	172a.Mtl	172a.Ani		S_HR	172abw			
毒蝠	011.mesh	011c.Mtl	011b.Ani						
蚩火护法	172.mesh	172b.Mtl	172b.Ani		S_HR	172abw			
啼血鸦	016.mesh	016b.Mtl	016a.Ani						
苗岭巡寨	164.mesh	164a.Mtl	164a.Ani		S_HR	164三叉股			
苗岭野牦牛	165.mesh	165a.Mtl	165a.Ani						
苗岭护印	166b.mesh	166a.Mtl	166a.Ani		S_HR	镜子			
苗岭夫人	177.mesh	177a.Mtl	177a.Ani						
苗岭土司	166a.mesh	166b.Mtl	166b.Ani		S_HR	166b刀	S_HL	166b刀削	
白头雕	014.mesh	014b.Mtl	014a.Ani						
子夜虎	008.mesh	008c.Mtl	008a.Ani						
傀儡人	056.mesh	056d.Mtl	056b.Ani						
蚩火长老	173a.mesh	173a.Mtl	173a.Ani		S_HR	173aw			
蚩火坛主	174.mesh	174a.Mtl	174a.Ani		S_HR	174ab笛子			
黑猩猩	012.mesh	012a.Mtl	012a.Ani						
野毛象	167.mesh	167a.Mtl	167a.Ani						
叛军巡逻	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
叛军卫兵	039.mesh	039a.Mtl	039a.Ani		039a	WQ039a			
叛军武士	017.mesh	017a.Mtl	017a.Ani		017a	短木棒01			
千寻武僧	028.mesh	028a.Mtl	028a.Ani		S_HR	mon_028aw			
千寻法僧	028.mesh	028b.Mtl	028b.Ani		S_HR	mon_028bw			
摩尼僧	168.mesh	168a.Mtl	168a.Ani		S_HR	168aw			
陀罗尼僧	168.mesh	168b.Mtl	168b.Ani		S_HR	174ab笛子			
持刀护卫	040.mesh	040a.Mtl	040a.Ani		040a	WQ040a			
持矛护卫	040.mesh	040c.Mtl	040c.Ani		040c	WQ040c			
蚩火妖妇	131.mesh	131a.Mtl	131a.Ani						
血鳞毒蟒	178.mesh	178a.Mtl	178a.Ani						
腐骨毒人	068.mesh	068a.Mtl	068a.Ani		S_HR	068w			
驭毒阴姬	131.mesh	131b.Mtl	131a.Ani						
半蝶人	051.mesh	051c.Mtl	051c.Ani						
狱火人	052.mesh	052d.Mtl	052c.Ani						
蚩火大护法	172.mesh	172c.Mtl	172c.Ani		S_HR	172cw			
苗岭勇士	175.mesh	175a.Mtl	175a.Ani		S_HR	175aw			
苗岭力士	175.mesh	175b.Mtl	175b.Ani		S_HR	175bw			
苗岭首领	176.mesh	176a.Mtl	176a.Ani		S_HR	176aw			
狱火狂人	052.mesh	052d.Mtl	052c.Ani						
迦楼罗	047.mesh	047c.Mtl	047c.Ani						
蚩火大长老	173b.mesh	173b.Mtl	173b.Ani		S_HR	173bw			
蚩火教总坛主	174.mesh	174b.Mtl	174b.Ani		S_HR	174ab笛子			
阿修罗	138.mesh	138a.Mtl	138a.Ani						
摩呼罗迦	053.mesh	053b.Mtl	053b.Ani						
段承恩	136.mesh	136a.Mtl	136a.Ani		S_HR	136aw			
大理二皇子	170.mesh	170a.Mtl	170a.Ani		S_HR	170aw			
护卫队长	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
乾达婆	061.mesh	061b.Mtl	061b.Ani						
千寻衲师	169.mesh	169a.Mtl	169a.Ani		S_HR	169aw			
紧那罗	179.mesh	179a.Mtl	179a.Ani		S_HR	179aw			
龙象法僧	169.mesh	169b.Mtl	169b.Ani						
大理三皇子	170.mesh	170b.Mtl	170b.Ani		S_HR	170bw			
玫瑰花红	155.mesh	155a.Mtl	155a.Ani						
玫瑰花黄	155.mesh	155b.Mtl	155a.Ani						
玫瑰花粉	155.mesh	155c.Mtl	155a.Ani						
玫瑰花小苗	156.mesh	156a.Mtl	156a.Ani						
玫瑰花苗	157.mesh	157a.Mtl	157a.Ani						
玫瑰花骨朵	158.mesh	158a.Mtl	158a.Ani						
鬼蜮姥姥	058.mesh	058b.Mtl	058a.Ani						
董迦明	137.mesh	137a.Mtl	137a.Ani						
马贼头目	064a.mesh	064a.Mtl	064a.Ani						
马贼喽啰	064a.mesh	064a.Mtl	064a.Ani						
经验兔子	073.mesh	073a.Mtl	073a.Ani						
宝石兔子	073.mesh	073a.Mtl	073a.Ani						
经验凤凰	047.mesh	047a.Mtl	047a.Ani						
宝石凤凰	047.mesh	047a.Mtl	047a.Ani						
经验火麒麟	054.mesh	054a.Mtl	054a.Ani						
宝石火麒麟	054.mesh	054a.Mtl	054a.Ani						
经验食人花	162.mesh	162a.Mtl	162a.Ani						
宝石食人花	162.mesh	162a.Mtl	162a.Ani						
经验牦牛	165.mesh	165a.Mtl	165a.Ani						
宝石牦牛	165.mesh	165a.Mtl	165a.Ani						
经验琴仙子	077.mesh	077e.Mtl	077e.Ani		S_HL	琴			
宝石琴仙子	077.mesh	077e.Mtl	077e.Ani		S_HL	琴			
多蜜花果树小	162.mesh	162a.Mtl	162a.Ani						
多蜜花果树中	162.mesh	162a.Mtl	162a.Ani						
多蜜花果树大	162.mesh	162a.Mtl	162a.Ani						
北绿林令	drop_mod025.Mesh	drop_mod025.Mtl	drop.Ani						
逐影枪	drop_mod032.Mesh	drop_mod032.Mtl	drop.Ani						
绝情石	drop_mod019.Mesh	drop_mod019.Mtl	drop.Ani						
外院总管腰牌	drop_mod025.Mesh	drop_mod025.Mtl	drop.Ani						
内院总管腰牌	drop_mod025.Mesh	drop_mod025.Mtl	drop.Ani						
越女剑	drop_mod002.Mesh	drop_mod002.Mtl	drop.Ani						
庄主金印	drop_mod019.Mesh	drop_mod019.Mtl	drop.Ani						
长老指环	drop_mod019.Mesh	drop_mod019.Mtl	drop.Ani						
装备兔子	073.mesh	073a.Mtl	073a.Ani						
装备凤凰	047.mesh	047a.Mtl	047a.Ani						
装备火麒麟	054.mesh	054a.Mtl	054a.Ani						
装备食人花	162.mesh	162a.Mtl	162a.Ani						
装备牦牛	165.mesh	165a.Mtl	165a.Ani						
装备琴仙子	077.mesh	077e.Mtl	077e.Ani		S_HL	琴			
跟随小年兽	148.mesh	148a.Mtl	148a.Ani						
跟随小白兔	073.mesh	073a.Mtl	073a.Ani						
跟随马猴	078.mesh	078a.Mtl	078a.Ani						
跟随小野猪	075.mesh	075a.Mtl	075a.Ani						
跟随白头雕	014.mesh	014b.Mtl	014a.Ani						
跟随子夜虎	008.mesh	008c.Mtl	008a.Ani						
跟随黑猩猩	012.mesh	012a.Mtl	012a.Ani						
跟随夜叉鸦	094.mesh	094a.Mtl	094a.Ani						
跟随剑魂	099.mesh	099a.Mtl	099a.Ani						
牛郎	031c.mesh	031e.Mtl	031e.Ani						
织女	176.mesh	176a.Mtl	176.Ani						
喜鹊	175.mesh	175a.Mtl	175a.Ani						
轿子	167.mesh	167a.Mtl	167a.Ani						
酒席	168.mesh	168a.Mtl	168a.Ani						
媒婆	169.mesh	169a.Mtl	169a.Ani						
喜娘	170.mesh	170a.Mtl	170a.Ani						
商人	171.mesh	171a.Mtl	171a.Ani						
鼓手	172.mesh	172a.Mtl	172b.Ani						
唢呐手	172.mesh	172a.Mtl	172a.Ani						
喜鹊右	175b.mesh	175a.Mtl	175a.Ani						
喜鹊左	175c.mesh	175a.Mtl	175b.Ani						
昆仑奴	103.mesh	103a.Mtl	103a.Ani						
裴航	067.mesh	067a.Mtl	067a.Ani		S_HR	067枪			
柳毅	134.mesh	134a.Mtl	134a.Ani		S_HR	134aw			
红线	135.mesh	135a.Mtl	135a.Ani						
沙漠狂刀贺景胜	065.mesh	065a.Mtl	065a.Ani		S_HR	065刀			
伙头军聂大锤	064b.mesh	064b.Mtl	064b.Ani		S_HR	064_武器长锤			
步非烟	090.mesh	090.Mtl	090a.Ani						
昆仑奴留下的箱子	113.mesh	113a.Mtl	113a.Ani						
裴航留下的箱子	113.mesh	113a.Mtl	113a.Ani						
柳毅留下的箱子	113.mesh	113a.Mtl	113a.Ani						
红线留下的箱子	113.mesh	113a.Mtl	113a.Ani						
贺景胜的铁箱子	113.mesh	113a.Mtl	113a.Ani						
聂大锤的铁箱子	113.mesh	113a.Mtl	113a.Ani						
步非烟的百宝箱	113.mesh	113a.Mtl	113a.Ani						
刘铁匠	212.mesh	212a.Mtl	212a.Ani						
夏天	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
阿松	070.mesh	070.Mtl	070.Ani		S_HR	070aw			
阿为	215.mesh	215a.Mtl	215a.Ani		S_HR	215aw			
铁羊	216.mesh	216a.Mtl	216a.Ani						
阴铭	217.mesh	217a.Mtl	217a.Ani		S_RH	217aw			
猴盾	060.mesh	060a.Mtl	060a.Ani		060a	WQ060a			
趴趴熊	219.mesh	219a.Mtl	219a.Ani						
光无极	048.mesh	048a.Mtl	048a.Ani						
小刘铁匠	212.mesh	212a.Mtl	212a.Ani						
小夏天	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
小阿松	070.mesh	070.Mtl	070.Ani		S_HR	070aw			
小阿为	215.mesh	215a.Mtl	215a.Ani		S_HR	215aw			
小铁羊	216.mesh	216a.Mtl	216a.Ani						
小阴铭	217.mesh	217a.Mtl	217a.Ani		S_RH	217aw			
小猴盾	060.mesh	060a.Mtl	060a.Ani		060a	WQ060a			
小趴趴熊	219.mesh	219a.Mtl	219a.Ani						
小光无极	048.mesh	048a.Mtl	048a.Ani						
重阳花1	176.mesh	176a.Mtl	176a.Ani						
重阳花2	176.mesh	176b.Mtl	176a.Ani						
重阳花3	176.mesh	176c.Mtl	176a.Ani						
圣诞树1a	143a.mesh	143.Mtl	143a.Ani						
圣诞树1b	143a.mesh	143.Mtl	143a.Ani						
圣诞树1c	143a.mesh	143.Mtl	143a.Ani						
圣诞树1d	143a.mesh	143.Mtl	143a.Ani						
圣诞树2a	144a.mesh	144.Mtl	143a.Ani						
圣诞树2b	144a.mesh	144.Mtl	143a.Ani						
圣诞树2c	144a.mesh	144.Mtl	143a.Ani						
圣诞树2d	144a.mesh	144.Mtl	143a.Ani						
圣诞树3a	145a.mesh	145.Mtl	143a.Ani						
圣诞树3b	145a.mesh	145.Mtl	143a.Ani						
圣诞树3c	145a.mesh	145.Mtl	143a.Ani						
圣诞树3d	145a.mesh	145.Mtl	143a.Ani						
圣诞树4a	146a.mesh	146.Mtl	143a.Ani						
圣诞树4b	146a.mesh	146.Mtl	143a.Ani						
圣诞树4c	146a.mesh	146.Mtl	143a.Ani						
圣诞树4d	146a.mesh	146.Mtl	143a.Ani						
青书	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
玄真	191.mesh	191a.mtl	191a.ani						
杨延德	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
慧明	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
唐喜	197.mesh	197a.mtl	197a.ani						
黄正一	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
古墨	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
高手的包裹	114.mesh	114a.Mtl	114a.Ani						
兔小丫	177.mesh	177a.Mtl	177a.Ani						
小白公猪	222.mesh	222a.Mtl	222a.Ani						
小白母猪	222.mesh	222b.Mtl	222a.Ani						
小黑公猪	222.mesh	222c.Mtl	222a.Ani						
小黑母猪	222.mesh	222d.Mtl	222a.Ani						
小金公猪	222.mesh	222e.Mtl	222a.Ani						
小金母猪	222.mesh	222f.Mtl	222a.Ani						
华山箱子	113.mesh	113a.Mtl	113a.Ani						
宋军元帅	189.mesh	189.Mtl	189a.Ani		S_HR	076_剑			
宋军将军	063.mesh	063a.Mtl	063b.Ani		S_HR	mon_063w			
宋军先锋	133.mesh	133a.Mtl	133b.Ani		S_HR	076_剑			
宋强弩兵	037.mesh	037d.Mtl	037d.Ani						
宋精兵	037a.mesh	037a.Mtl	037a.Ani		S_HR	037aw			
辽硬弓兵	038.mesh	038c.Mtl	038c.Ani		038c1	WQ084a弓	038c2	WQ084a箭筒	
辽勇士	038b.mesh	038b.Mtl	038b.Ani						
宋军都尉	037a.mesh	037a.Mtl	037a.Ani		S_HR	037aw			
辽军都尉	038b.mesh	038b.Mtl	038b.Ani						
辽军将军	072.mesh	072.Mtl	072a.Ani		S_HR	065刀			
辽军先锋	064a.mesh	064a.Mtl	064a.Ani						
宋军都统	037.mesh	037d.Mtl	037d.Ani						
辽军都统	038.mesh	038c.Mtl	038c.Ani		038c1	WQ084a弓	038c2	WQ084a箭筒	
辽军元帅	064b.mesh	064b.Mtl	064b.Ani		S_HR	064_武器长锤			
中立武将	018.mesh	018a.Mtl	018a.Ani		018a_1	WQ018a弓	018a_2	WQ018a箭筒	
宋难民	073.mesh	073a.Mtl	073b.Ani		S_HR	拐杖2			
辽难民	096.mesh	097a.Mtl	097b.Ani						
土民首领	018.mesh	018b.Mtl	018a.Ani		018a_1	WQ018a弓	018a_2	WQ018a箭筒	
土民	084.mesh	084b.Mtl	084b.Ani		084b	双叉01			
炮台守卫	040.mesh	040c.Mtl	040c.Ani		040c	WQ040c			
环保土民	084.mesh	084b.Mtl	084b.Ani		084b	双叉01			
狂暴的土民	084.mesh	084b.Mtl	084b.Ani		084b	双叉01			
仇恨的土民	084.mesh	084b.Mtl	084b.Ani		084b	双叉01			
愤怒的土民	084.mesh	084b.Mtl	084b.Ani		084b	双叉01			
中军火炮	221.mesh	221a.Mtl	221a.Ani						
宋军火炮	221.mesh	221a.Mtl	221a.Ani						
辽军火炮	221.mesh	221a.Mtl	221a.Ani						
土民弓箭手	221.mesh	084a.Mtl	084a.Ani		084a_1	WQ084a弓	084a_2	WQ084a箭筒	
宋军箭塔	191.mesh	191a.Mtl	191a.Ani						
