ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey
1440	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3153;1			15		1	1139		
1441	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3154;1			15		1	1139		
1442	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3155;1			17		1	1139		
1443	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3156;1			17		1	1139		
1444	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3157;1			18		1	1139		
1445	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3158;1			18		1	1139		
1446	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3159;1			20		1	1139		
1447	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3160;1			20		1	1139		
1448	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3161;1			21		1	1139		
1449	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3162;1			21		1	1139		
1450	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3163;1			23		1	1139		
1451	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3164;1			23		1	1139		
1452	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3165;1			25		1	1139		
1453	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3166;1			25		1	1139		
1454	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3167;1			26		1	1139		
1455	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3168;1			26		1	1139		
1456	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3169;1			27		1	1139		
1457	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3170;1			27		1	1139		
1458	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3171;1			29		1	1139		
1459	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3172;1			29		1	1139		
1460	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3173;1			30		1	1139		
1461	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3174;1			30		1	1139		
1462	Cöu Ch©u-L­u Ly Giíi §ao	0;3;8932;1			2		1	1142		
1463	Cöu Ch©u-L«i ¢m Nang Thñ	0;0;8933;1			4		1	1142		
1464	Cöu Ch©u-Kinh L«i ThiÒn Tr­îng	0;8;8934;1			3		1	1142		
1465	Cöu Ch©u-¢m D­¬ng Xuyªn ¶nh	0;1;8935;1			6		1	1142		
1466	Cöu Ch©u-Tõ Hµn ¢m KiÕm	0;2;8936;1			8		1	1142		
1467	Cöu Ch©u-Cöu Hoµn Bèi CÇm	0;10;8937;1			9		1	1142		
1468	Cöu Ch©u-Quy L©n Hé Thñ	0;0;8938;1			11		1	1142		
1469	Cöu Ch©u-TrÊn Ng¹o C«n	0;5;8939;1			12		1	1142		
1470	Cöu Ch©u-ThuÇn Phong KiÕm	0;2;8940;1			14		1	1142		
1471	Cöu Ch©u-Tinh §Èu ChuyÓn Bót	0;9;8941;1			15		1	1142		
1472	Cöu Ch©u-Ph¸ Qu©n TrËn Th­¬ng	0;6;8942;1			17		1	1142		
1473	Cöu Ch©u-Truy MÖnh Cung	0;4;8943;1			18		1	1142		
1474	Cöu Ch©u-ThiÖp Cèt HuyÕt §ao	0;7;8944;1			20		1	1142		
1475	Cöu Ch©u-LuyÖn Hån HuyÕt Tr¶o	0;11;8945;1			21		1	1142		
1476	Cöu Ch©u-Ngù Thiªn Phong KiÕm	0;2;8946;1			23		1	1142		
1477	Cöu Ch©u-ThÇn DiÖm Thiªn §ao	0;3;8947;1			25		1	1142		
1478	Cöu Ch©u-ThÇn Phong Ph¸n Bót	0;9;8948;1			26		1	1142		
1479	Cöu Ch©u-ThÇn Linh Chó Tr¶o	0;11;8949;1			27		1	1142		
1480	Cöu Ch©u-Linh Lung Chi	0;13;8950;1			29		1	1142		
1481	Cöu Ch©u-Cöu Tiªu S¸o	0;12;8951;1			30		1	1142		
1482	§Þnh Hån Thiªn Th¹ch Linh Th¹ch	2;1;1067;1						1147	168	
1483	Bao tinh th¹ch Thiªn Th¹ch	2;1;1051;1						1148	168	
1484	§¹i §Þnh Hån Thiªn Th¹ch Linh Th¹ch	2;1;1113;1						1144	168	
1486	Hiªn Viªn To¸i Vò §ao	0;3;8801;1			2		1	1140		
1487	Hiªn Viªn To¸i Vò C«n	0;5;8802;1			2		1	1140		
1488	Hiªn Viªn Cöu Nh­ Tr­îng	0;8;8803;1			3		1	1140		
1489	Hiªn Viªn H¹o Nhiªn Thñ	0;0;8804;1			4		1	1140		
1490	Hiªn Viªn ch©m v« h×nh	0;1;8805;1			6		1	1140		
1491	Hiªn Viªn Tö Tinh KiÕm	0;2;8806;1			8		1	1140		
1492	Hiªn Viªn Phông Hoµng CÇm	0;10;8807;1			9		1	1140		
1493	Hiªn Viªn Ngò Nh¹c Thñ	0;0;8808;1			11		1	1140		
1494	Hiªn Viªn Ph¸ Thiªn C«n	0;5;8809;1			12		1	1140		
1495	Hiªn Viªn Hång Qu©n KiÕm	0;2;8810;1			14		1	1140		
1496	Hiªn Viªn Sinh Tö Bót	0;9;8811;1			15		1	1140		
1497	Hiªn Viªn Ph¸ Qu©n Th­¬ng	0;6;8812;1			17		1	1140		
1498	Hiªn Viªn Khai Thiªn Cung	0;4;8813;1			18		1	1140		
1499	Hiªn Viªn ¢m D­¬ng NhÉn	0;7;8814;1			20		1	1140		
1500	Hiªn Viªn U Minh Tr¶o	0;11;8815;1			21		1	1140		
1501	Hiªn Viªn L«i Minh KiÕm	0;2;8816;1			23		1	1140		
1502	Hiªn Viªn Tr¶m Viªm §ao	0;3;8817;1			25		1	1140		
1503	Hiªn Viªn Quang Minh Bót	0;9;8818;1			26		1	1140		
1504	Hiªn Viªn Chó  Ên Tr¶o	0;11;8819;1			27		1	1140		
1505	Hiªn Viªn L¨ng Tiªu PhiÕn	0;13;8820;1			29		1	1140		
1506	Hiªn Viªn Phån Hoa §Þch	0;12;8821;1			30		1	1140		
1507	Hiªn Viªn ChiÕn	0;102;8801;1			2		1	1138		
1508	Hiªn Viªn §Êu	0;102;8802;1			2		1	1138		
1509	Hiªn Viªn ChiÕn	0;102;8803;1			3		1	1138		
1510	Hiªn Viªn §Êu	0;102;8804;1			3		1	1138		
1511	Hiªn Viªn ChiÕn	0;102;8805;1			4		1	1138		
1512	Hiªn Viªn §Êu	0;102;8806;1			4		1	1138		
1513	Hiªn Viªn ChiÕn	0;102;8807;1			6		1	1138		
1514	Hiªn Viªn §Êu	0;102;8808;1			6		1	1138		
1515	Hiªn Viªn ChiÕn	0;102;8809;1			8		1	1138		
1516	Hiªn Viªn §Êu	0;102;8810;1			8		1	1138		
1517	Hiªn Viªn ChiÕn	0;102;8811;1			9		1	1138		
1518	Hiªn Viªn §Êu	0;102;8812;1			9		1	1138		
1519	Hiªn Viªn ChiÕn	0;102;8813;1			11		1	1138		
1520	Hiªn Viªn §Êu	0;102;8814;1			11		1	1138		
1521	Hiªn Viªn ChiÕn	0;102;8815;1			12		1	1138		
1522	Hiªn Viªn §Êu	0;102;8816;1			12		1	1138		
1523	Hiªn Viªn ChiÕn	0;102;8817;1			14		1	1138		
1524	Hiªn Viªn §Êu	0;102;8818;1			14		1	1138		
1525	Hiªn Viªn ChiÕn	0;102;8819;1			15		1	1138		
1526	Hiªn Viªn §Êu	0;102;8820;1			15		1	1138		
1527	Hiªn Viªn ChiÕn	0;102;8821;1			17		1	1138		
1528	Hiªn Viªn §Êu	0;102;8822;1			17		1	1138		
1529	Hiªn Viªn ChiÕn	0;102;8823;1			18		1	1138		
1530	Hiªn Viªn §Êu	0;102;8824;1			18		1	1138		
1531	Hiªn Viªn ChiÕn	0;102;8825;1			20		1	1138		
1532	Hiªn Viªn §Êu	0;102;8826;1			20		1	1138		
1533	Hiªn Viªn ChiÕn	0;102;8827;1			21		1	1138		
1534	Hiªn Viªn §Êu	0;102;8828;1			21		1	1138		
1535	Hiªn Viªn ChiÕn	0;102;8829;1			23		1	1138		
1536	Hiªn Viªn §Êu	0;102;8830;1			23		1	1138		
1537	Hiªn Viªn ChiÕn	0;102;8831;1			25		1	1138		
1538	Hiªn Viªn §Êu	0;102;8832;1			25		1	1138		
1539	Hiªn Viªn ChiÕn	0;102;8833;1			26		1	1138		
1540	Hiªn Viªn §Êu	0;102;8834;1			26		1	1138		
1541	Hiªn Viªn ChiÕn	0;102;8835;1			27		1	1138		
1542	Hiªn Viªn §Êu	0;102;8836;1			27		1	1138		
1543	Hiªn Viªn ChiÕn	0;102;8837;1			29		1	1138		
1544	Hiªn Viªn §Êu	0;102;8838;1			29		1	1138		
1545	Hiªn Viªn ChiÕn	0;102;8839;1			30		1	1138		
1546	Hiªn Viªn §Êu	0;102;8848;1			30		1	1138		
3402	Kim Cang B¸t Nh· Ch©n QuyÓn 	0;107;204;1			2		1	30079		
3403	TiÒm Long Tóc DiÖt Ch©n QuyÓn	0;107;205;1			4		1	30079		
3404	V« TrÇn Bå §Ò Ch©n QuyÓn	0;107;206;1			3		1	30079		
3405	Thiªn La Liªn Ch©u Ch©n QuyÓn	0;107;207;1			6		1	30079		
3406	Nh­ ý Kim §Ønh Ch©n QuyÓn	0;107;208;1			8		1	30079		
3407	BÝch H¶i TuyÖt ¢m Ch©n QuyÓn	0;107;209;1			9		1	30079		
3408	Hçn §én TrÊn Nh¹c Ch©n QuyÓn	0;107;210;1			11		1	30079		
3409	Quú Thiªn Du Long Ch©n QuyÓn	0;107;211;1			12		1	30079		
3410	HuyÒn ¶nh Mª T«ng Ch©n QuyÓn	0;107;212;1			14		1	30079		
3411	Qu©n Tö §íi Phong Ch©n QuyÓn	0;107;213;1			15		1	30079		
3412	TrÊn Qu©n Phi Long Th­¬ng Ch©n QuyÓn	0;107;214;1			17		1	30079		
3413	Xuyªn V©n L¹c Hång Ch©n QuyÓn	0;107;215;1			18		1	30079		
3414	HuyÒn Minh Phong Ma Ch©n QuyÓn	0;107;216;1			20		1	30079		
3415	Linh Cæ HuyÒn Tµ Ch©n QuyÓn	0;107;217;1			21		1	30079		
3416	Cöu Thiªn Phong L«i Ch©n QuyÓn	0;107;218;1			23		1	30079		
3417	Håi Phong Tr¶m NhËt Ch©n QuyÓn	0;107;219;1			25		1	30079		
3418	Phô Kú Hµnh TrËn Ch©n QuyÓn	0;107;220;1			26		1	30079		
3419	Ng­ng HuyÕt Phong Hån Ch©n QuyÓn	0;107;221;1			27		1	30079		
3420	Hång TrÇn Tóy Méng Ch©n QuyÓn	0;107;222;1			29		1	30079		
3421	Phong Hoa Thiªn DiÖp Ch©n QuyÓn	0;107;223;1			30		1	30079		
30001	Hoµng Hæ B¶o B¶o	0;105;30026;1	0	0	0			30001;;;;;;;;;;;;;;		
30002	B¸o Vµng B¶o B¶o	0;105;30030;1	0	0	0			30002;;;;;;;;;;;;;;		
30003	Kim Mao Ng­u B¶o B¶o	0;105;30022;1	0	0	0			30003;;;;;;;;;;;;;;		
30004	Kim Kú L©n B¶o B¶o	0;105;30017;1	0	0	0			30004;;;;;;;;;;;;;;		
30005	Ng«i sao may m¾n	2;1;30191;1	0	0	0			30005;;;;;;;;;;;;;;		
30006	N÷ Oa B¶o H¹p	2;1;30154;10	0	0	0			30006;;;;;;;;;;;;;;		
30007	Ngò Hµnh HuyÒn Th¹ch	2;1;30302;10						30007		
30008	Vâ l©m b¸o míi	2;1;30314;1						30008		
30009	Th¸nh VËt S­ M«n	2;1;30311;1						30009		
30010	TiÓu truyÒn c«ng ®¬n	2;1;30312;1						30010		
30011	M¶nh Tu Ch©n YÕu QuyÕt	2;1;30315;1						30011		
30012	TiÓu B¹ch C©u hoµn	2;1;30307;1						30012		
30013	TiÓu Tam Thanh Hoµn	2;1;30308;1						30013		
30014	TiÓu Lôc ThÇn Hoµn	2;1;30309;1						30014		
30015	TruyÒn C«ng §¬n	2;1;30313;1						30015		
30016	Thiªn M«n Hång D­îc	1;0;30003;9						30016		
30017	Thiªn M«n Lam D­îc	1;0;30004;9						30017		
30018	TiÓu Nh©n s©m qu¶	2;0;552;1						30018		
30019	Tinh luyÖn B¨ng Th¹ch	2;1;533;1						30019		
30020	Ngò Hµnh HuyÒn Th¹ch	2;1;30302;10						30020		
30021	Båi Nguyªn §¬n	2;1;30351;1						30021		
30022	Tiªu KiÕp t¸n	2;0;141;1						30022		
30023	Cæ Thiªn M«n B¶o R­¬ng	2;1;30374;1						30023		
30024	Kh¾c b¶n	2;1;30373;1						30024		
30025	TÈy Tñy linh ®¬n	2;0;137;1						30025		
30026	Thiªn M«n Hång D­îc	1;0;30003;9						30048		
30027	Thiªn M«n Hång D­îc	1;0;30004;9						30049		
30028	ThÇn N«ng §¬n	2;1;343;1						30050		
30029	Qu©n C«ng Ch­¬ng	2;1;9999;1						30051		
30030	B¹ch C©u Tiªn ®¬n	2;1;1008;1						30052		
30031	§¹i Nh©n s©m	2;0;553;1						30053		
30032	Lôc ThÇn Tiªn ®¬n	2;1;1066;1						30054		
30033	Tam Thanh Tiªn ®¬n	2;1;1099;1						30055		
30034	Qu©n C«ng bµi	2;1;9997;1						30056		
30035	S­ m«n lÖnh kú	2;1;1017;1						30057		
30036	Hoµng Kim §¹i Hång Bao (trèng)	2;1;538;1						30058		
30037	Tö Kim Hång Bao (trèng)	2;1;536;1						30059	720	
30038	Tø Linh Quy Nguyªn §¬n	2;1;30352;1						30060	720	
30039	Qu©n C«ng §¹i	2;1;9998;1						30061	720	
30040	Thiªn Th¹ch Tinh Th¹ch	2;1;1009;1						30062	720	
30041	B¹ch Kim §¹i Hång Bao (kh«ng)	2;1;30228;1						30063	720	
30042	Qu©n C«ng Huy Hoµng	2;1;9977;1						30064	720	
30043	B¸t B¶o TÈy Tñy Tiªn §¬n	2;0;138;1						30065		
30044	TiÓu phï më khãa	2;1;30372;1						30066	720	
30045	Thiªn Th¹ch linh th¹ch	2;1;1068;1					1	30067	720	
30046	§Þnh Hån Thiªn Th¹ch Linh Th¹ch	2;1;1067;1					1	30068	720	
30047	Cæ Linh Ngäc	2;1;30369;150						30079	720	
30048	Phï më khãa	2;1;30371;1						30080	720	
30049	H-LiÖt Nham-Lv1	0;148;1;1						30026	720	
30050	H-Ph¸ Kh«ng-Lv1	0;148;2;1						30026	720	
30051	H-Tóy KiÕm-Lv1	0;148;3;1						30026	720	
30052	H-TËt Phong-Lv1	0;148;4;1						30026		
30053	H-TÊn Vò-Lv1	0;148;5;1						30026		
30054	H-¦ng TËp-Lv1	0;148;6;1						30026	720	
30055	H-Lang KhiÕu-Lv1	0;148;7;1						30026	720	
30056	H-Linh T©m-Lv1	0;148;8;1						30026		
30057	H-ThÇn Lùc-Lv1	0;148;9;1						30026	720	
30058	H-Ng­ng ThÇn-Lv1	0;148;10;1						30026	720	
30059	H-V« Gian-Lv1	0;148;11;1						30026		
30060	H-V« Cùc-Lv1	0;148;12;1						30026		
30061	H-Cuång NhËn-Lv1	0;148;13;1						30026	720	
30062	H-L¨ng NhuÖ-Lv1	0;148;14;1						30026		
30063	H-Linh Viªn-Lv1	0;148;15;1						30026		
30064	H-H¶i VËn-Lv1	0;148;16;1						30026	720	
30065	H-H¶i T©m-Lv1	0;148;17;1						30026	720	
30066	C-LiÖt Nham-Lv1	0;149;1;1						30026	720	
30067	C-Ph¸ Kh«ng-Lv1	0;149;2;1						30026	720	
30068	C-Tóy KiÕm-Lv1	0;149;3;1						30026	720	
30069	C-TËt Phong-Lv1	0;149;4;1						30026	720	
30070	C-TÊn Vò-Lv1	0;149;5;1						30026	720	
30071	C-Né Ng©m-Lv1	0;149;6;1						30026	720	
30072	C-Xuyªn V©n-Lv1	0;149;7;1						30026	720	
30073	C-L¹c NhËt-Lv1	0;149;8;1						30026	720	
30074	C-ThÇn Lùc-Lv1	0;149;9;1						30026	720	
30075	C-Ng­ng ThÇn Lv1	0;149;10;1						30026	720	
30076	C-V« Gian-Lv1	0;149;11;1						30026		
30077	C-V« Cùc-Lv1	0;149;12;1						30026	720	
30078	C-Cuång NhËn-Lv1	0;149;13;1						30026	720	
30079	C-L¨ng NhuÖ-Lv1	0;149;14;1						30026	720	
30080	C-Linh Viªn-Lv1	0;149;15;1						30026	720	
30081	C-H¶i VËn-Lv1	0;149;16;1						30026	720	
30082	C-H¶i T©m-Lv1	0;149;17;1						30026	720	
30083	T-LiÖt Nham-Lv1	0;150;1;1						30026		
30084	T-Ph¸ Kh«ng-Lv1	0;150;2;1						30026	720	
30085	T-Tóy KiÕm-Lv1	0;150;3;1						30026	720	
30086	T-TËt Phong-Lv1	0;150;4;1						30026	720	
30087	T-TÊn Vò-Lv1	0;150;5;1						30026	720	
30088	T-V« L­îng-Lv1	0;150;6;1						30026	720	
30089	T-Môc Minh-Lv1	0;150;7;1						30026	720	
30090	T-Ng­ng ChiÕn-Lv1	0;150;8;1						30026	720	
30091	T-ThÇn Lùc-Lv1	0;150;9;1						30026	720	
30092	T-Ng­ng ThÇn-Lv1	0;150;10;1						30026	720	
30093	T-V« Gian-Lv1	0;150;11;1						30026	720	
30094	T-V« Cùc-Lv1	0;150;12;1						30026	720	
30095	T-Cuång NhËn-Lv1	0;150;13;1						30026	720	
30096	T-L¨ng NhuÖ-Lv1	0;150;14;1						30026	720	
30097	T-Linh Viªn-Lv1	0;150;15;1						30026	720	
30098	T-H¶i VËn-Lv1	0;150;16;1						30026	720	
30099	T-H¶i T©m-Lv1	0;150;17;1						30026	720	
30100	H-LiÖt Nham-Lv2	0;148;18;1						30074	720	
30101	H-Ph¸ Kh«ng-Lv2	0;148;19;1						30074	720	
30102	H-Tóy KiÕm-Lv2	0;148;20;1						30074	720	
30103	H-TËt Phong-Lv2	0;148;21;1						30074	720	
30104	H-TÊn Phong-Lv2	0;148;22;1						30074	720	
30105	H-¦ng TËp-Lv2	0;148;23;1						30074	720	
30106	H-Lang KhiÕu-Lv2	0;148;24;1						30074	720	
30107	H-Linh T©m-Lv2	0;148;25;1						30074	720	
30108	H-ThÇn Lùc-Lv2	0;148;26;1						30074	720	
30109	H-Ng­ng ThÇn-Lv2	0;148;27;1						30074	720	
30110	H-V« Gian-Lv2	0;148;28;1						30074	720	
30111	H-V« Cùc-Lv2	0;148;29;1						30074	720	
30112	H-Cuång NhËn-Lv2	0;148;30;1						30074	720	
30113	H-L¨ng NhuÖ-Lv2	0;148;31;1						30074	720	
30114	H-Linh Viªn-Lv2	0;148;32;1						30074	720	
30115	H-H¶i VËn-Lv2	0;148;33;1						30074	720	
30116	H-H¶i T©m-Lv2	0;148;34;1						30074	720	
30117	C-LiÖt Nham-Lv2	0;149;18;1						30074	720	
30118	C-Ph¸ Kh«ng-Lv2	0;149;19;1						30074	720	
30119	C-Tóy KiÕm-Lv2	0;149;20;1						30074	720	
30120	C-TËt Phong-Lv2	0;149;21;1						30074	720	
30121	C-TÊn Vò-Lv2	0;149;22;1						30074	720	
30122	C-Né Ng©m-Lv2	0;149;23;1						30074	720	
30123	C-Xuyªn V©n-Lv2	0;149;24;1						30074	720	
30124	C-L¹c NhËt-Lv2	0;149;25;1						30074	720	
30125	C-ThÇn Lùc-Lv2	0;149;26;1						30074	720	
30126	C-Ng­ng ThÇn-Lv2	0;149;27;1						30074	720	
30127	C-V« Gian-Lv2	0;149;28;1						30074	720	
30128	C-V« Cùc-Lv2	0;149;29;1						30074	720	
30129	C-Cuång NhËn-Lv2	0;149;30;1						30074	720	
30130	C-L¨ng NhuÖ-Lv2	0;149;31;1						30074	720	
30131	C-Linh Viªn-Lv2	0;149;32;1						30074	720	
30132	C-H¶i VËn-Lv2	0;149;33;1						30074	720	
30133	C-H¶i T©m-LV2	0;149;34;1						30074	720	
30134	T-LiÖt Nham-Lv2	0;150;18;1						30074	720	
30135	T-Ph¸ Kh«ng-Lv2	0;150;19;1						30074	720	
30136	T-Tóy KiÕm-Lv2	0;150;20;1						30074	720	
30137	T-TËt Phong-Lv2	0;150;21;1						30074	720	
30138	T-TÊn Vò-Lv2	0;150;22;1						30074	720	
30139	T-V« L­îng-Lv2	0;150;23;1						30074	720	
30140	T-Môc Minh-Lv2	0;150;24;1						30074	720	
30141	T-Ng­ng ChiÕn-Lv2	0;150;25;1						30074	720	
30142	T-ThÇn Lùc-Lv2	0;150;26;1						30074	720	
30143	T-Ng­ng ThÇn-Lv2	0;150;27;1						30074	720	
30144	T-V« Gian-Lv2	0;150;28;1						30074	720	
30145	T-V« Cùc-Lv2	0;150;29;1						30074	720	
30146	T-Cuång NhËn-Lv2	0;150;30;1						30074	720	
30147	T-L¨ng NhuÖ-Lv2	0;150;31;1						30074	720	
30148	T-Linh Viªn-Lv2	0;150;32;1						30074	720	
30149	T-H¶i VËn-Lv2	0;150;33;1						30074	720	
30150	T-H¶i T©m-Lv2	0;150;34;1						30074	720	
30151	H-LiÖt Nham-Lv3	0;148;35;1					1	30076	720	
30152	H-Ph¸ Kh«ng-Lv3	0;148;36;1					1	30076	720	
30153	H-Tóy KiÕm-Lv3	0;148;37;1					1	30076	720	
30154	H-TËt Phong-Lv3	0;148;38;1					1	30076	720	
30155	H-TÊn Vò-Lv3	0;148;39;1					1	30076	720	
30156	H-¦ng TËp-Lv3	0;148;40;1					1	30076	720	
30157	H-Lang KhiÕu-Lv3	0;148;41;1					1	30076	720	
30158	H-Linh T©m-Lv3	0;148;42;1					1	30076	720	
30159	H-ThÇn Lùc-Lv3	0;148;43;1					1	30076	720	
30160	H-Ng­ng ThÇn-Lv3	0;148;44;1					1	30076	720	
30161	H-V« Gian-Lv3	0;148;45;1					1	30076	720	
30162	H-V« Cùc-Lv3	0;148;46;1					1	30076	720	
30163	H-Cuång NhËn-Lv3	0;148;47;1					1	30076	720	
30164	H-L¨ng NhuÖ-Lv3	0;148;48;1					1	30076	720	
30165	H-Linh Viªn-Lv3	0;148;49;1					1	30076	720	
30166	H-H¶i VËn-Lv3	0;148;50;1					1	30076	720	
30167	H-H¶i T©m-Lv3	0;148;51;1					1	30076	720	
30168	C-LiÖt Nham-Lv3	0;149;35;1					1	30076	720	
30169	C-Ph¸ Kh«ng-Lv3	0;149;36;1					1	30076	720	
30170	C-Tóy KiÕm-Lv3	0;149;37;1					1	30076	720	
30171	C-TËt Phong-Lv3	0;149;38;1					1	30076	720	
30172	C-TÊn Vò-Lv3	0;149;39;1					1	30076	720	
30173	C-Né Ng©m-Lv3	0;149;40;1					1	30076	720	
30174	C-Xuyªn V©n-Lv3	0;149;41;1					1	30076	720	
30175	C-L¹c NhËt-Lv3	0;149;42;1					1	30076	720	
30176	C-ThÇn Lùc-Lv3	0;149;43;1					1	30076	720	
30177	C-Ng­ng ThÇn-Lv3	0;149;44;1					1	30076	720	
30178	C-V« Gian-Lv3	0;149;45;1					1	30076	720	
30179	C-V« Cùc-Lv3	0;149;46;1					1	30076	720	
30180	C-Cuång NhËn-Lv3	0;149;47;1					1	30076	720	
30181	C-L¨ng NhuÖ-Lv3	0;149;48;1					1	30076	720	
30182	C-Linh Viªn-Lv3	0;149;49;1					1	30076	720	
30183	C-H¶i VËn-Lv3	0;149;50;1					1	30076	720	
30184	C-H¶i T©m-Lv3	0;149;51;1					1	30076	720	
30185	T-LiÖt Nham-Lv3	0;150;35;1					1	30076	720	
30186	T-Ph¸ Kh«ng-Lv3	0;150;36;1					1	30076	720	
30187	T-Tóy KiÕm-Lv3	0;150;37;1					1	30076	720	
30188	T-TËt Phong-Lv3	0;150;38;1					1	30076	720	
30189	T-TÊn Vò-Lv3	0;150;39;1					1	30076	720	
30190	T-V« L­îng-Lv3	0;150;40;1					1	30076	720	
30191	T-Môc Minh-Lv3	0;150;41;1					1	30076	720	
30192	T-Ng­ng ChiÕn-Lv3	0;150;42;1					1	30076	720	
30193	T-ThÇn Lùc-Lv3	0;150;43;1					1	30076	720	
30194	T-Ng­ng ThÇn-Lv3	0;150;44;1					1	30076	720	
30195	T-V« Giang-Lv3	0;150;45;1					1	30076	720	
30196	T-V« Cùc-Lv3	0;150;46;1					1	30076	720	
30197	T-Cuång NhËn-Lv3	0;150;47;1					1	30076	720	
30198	T-L¨ng NhuÖ-Lv3	0;150;48;1					1	30076	720	
30199	T-Linh Viªn-Lv3	0;150;49;1					1	30076	720	
30200	T-H¶i VËn-Lv3	0;150;50;1					1	30076	720	
30201	T-H¶i T©m-Lv3	0;150;51;1					1	30076	720	
30202	DiÖu D­¬ng-¤ L©n B¶o Giíi	0;102;3176;1					1	30000;30124;30082;30088;30094;30102;30104;30118;;;		yaoyang_ring_nomal
30203	DiÖu D­¬ng-Tö Giao Ngäc Béi	0;102;3178;1					1	30000;30124;30086;30087;30091;30095;30100;30103;30105;30117;		yaoyang_ring_nomal
30204	DiÖu D­¬ng-V©n Hæ LÖnh	0;102;3180;1					1	30000;30124;30084;30085;30090;30092;30097;30106;30108;30109;;		yaoyang_ring_nomal
30205	DiÖu D­¬ng-XÝch T­íc Hoµn	0;102;3182;1					1	30000;30124;30096;30098;30099;30107;30110;30120;		yaoyang_ring_nomal
30206	DiÖu D­¬ng-BÝch Quy Liªn	0;102;3184;1					1	30000;30124;30081;30083;30089;30093;30101;30119;;;		yaoyang_ring_nomal
30207	Anh Hïng C©n	0;108;3;1	1	1				30126	720	
30208	Tö C©m Bè Y	0;109;3;1	1	1				30126	720	
30209	Lang B× trang	0;110;3;1	1	1				30126	720	
30210	XÝch Tinh Nh·n Tr¸o	0;108;14;1	1	1				30126	720	
30211	XÝch Long bµo	0;109;14;1	1	1				30126	720	
30212	Phi Ng­ trang	0;110;14;1	1	1				30126	720	
30213	MËt ThÇn qu¸n	0;108;18;1	1	1				30126	720	
30214	Thiªn Gi¸ng bµo	0;109;18;1	1	1				30126	720	
30215	¤ Tµm trang	0;110;18;1	1	1				30126	720	
30216	Chu T­íc Thóc c©n	0;108;27;1	1	2				30126	720	
30217	ThÇn Ng­u Hé gi¸p	0;109;27;1	1	2				30126	720	
30218	CÈm Lan trang	0;110;27;1	1	2				30126	720	
30219	H¶i ThÇn kÕt	0;108;28;1	1	2				30126	720	
30220	Tö Thanh S­¬ng Hoa sam	0;109;28;1	1	2				30126	720	
30221	Thanh S­¬ng trang	0;110;28;1	1	2				30126	720	
30222	Tinh Cang ChiÕn Kh«i	0;108;33;1	1	2				30126	720	
30223	Tinh Cang HuyÒn Kim gi¸p	0;109;33;1	1	2				30126	720	
30224	Nhu C­¬ng trang	0;110;33;1	1	2				30126	720	
30225	Khæng T­íc Tr©m	0;108;44;1	2	3				30126	720	
30226	Ho¸n Hoa Th­êng	0;109;44;1	2	3				30126	720	
30227	S­ Man Tó Trang	0;110;44;1	2	3				30126	720	
30228	Kim Phông Tr©m	0;108;48;1	2	3				30126	720	
30229	Hång Nghª Th­êng	0;109;48;1	2	3				30126	720	
30230	Hång V©n Tó Trang	0;110;48;1	2	3				30126	720	
30231	§o¹t hån	0;108;50;1	2	3				30126	720	
30232	Hå C¬ Vò y	0;109;50;1	2	3				30126	720	
30233	Thiªn M·	0;110;50;1	2	3				30126	720	
30234	Th¸i V¨n Méc tr©m	0;108;56;1	2	4				30126	720	
30235	Hång V©n Th­êng	0;109;56;1	2	4				30126	720	
30236	Tö Hµ Tó Trang	0;110;56;1	2	4				30126	720	
30237	Thiªn C¬ Thóc tr©m	0;108;63;1	2	4				30126	720	
30238	Thiªn Tµm gi¸p y	0;109;63;1	2	4				30126		
30239	Thiªn Tµm Tó Trang	0;110;63;1	2	4				30126		
30240	Thiªn La Thoa	0;108;64;1	2	4				30126		
30241	û La Th­êng	0;109;64;1	2	4				30126		
30242	Khëi La Tó Trang	0;110;64;1	2	4				30126		
30243	H-LiÖt Nham-Lv1	0;148;1;1						30127	720	
