Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
Phèi th¹ch cÊp 1 (tr¸nh ®¸nh lui)	2	21	2042	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®¸nh lui 10 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (tr¸nh ®¸nh lui)	2	21	2043	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®¸nh lui 20 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (tr¸nh ®¸nh lui)	2	21	2044	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®¸nh lui 30 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (tr¸nh ®¸nh lui)	2	21	2045	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®¸nh lui 40 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (tr¸nh ®¸nh ng·)	2	21	2046	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®¸nh ng· 10 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (tr¸nh ®¸nh ng·)	2	21	2047	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®¸nh ng· 20 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (tr¸nh ®¸nh ng·)	2	21	2048	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®¸nh ng· 30 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (tr¸nh ®¸nh ng·)	2	21	2049	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®¸nh ng· 40 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (tr¸nh tª liÖt)	2	21	2050	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh tª liÖt 10 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (tr¸nh tª liÖt)	2	21	2051	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh tª liÖt 20 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (tr¸nh tª liÖt)	2	21	2052	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh tª liÖt 30 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (tr¸nh tª liÖt)	2	21	2053	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh tª liÖt 40% (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (tr¸nh cho¸ng)	2	21	2054	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh cho¸ng 10 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (tr¸nh cho¸ng)	2	21	2055	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh cho¸ng 20 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp (tr¸nh cho¸ng)	2	21	2056	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh cho¸ng 30 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (tr¸nh cho¸ng)	2	21	2057	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh cho¸ng 40 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (tr¸nh ®Şnh th©n)	2	21	2058	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®Şnh th©n 10 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (tr¸nh ®Şnh th©n)	2	21	2059	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®Şnh th©n 20 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (tr¸nh ®Şnh th©n)	2	21	2060	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®Şnh th©n 30 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (tr¸nh ®Şnh th©n)	2	21	2061	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ®Şnh th©n 40 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (tr¸nh hçn lo¹n)	2	21	2062	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh hçn lo¹n 10 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (tr¸nh hçn lo¹n)	2	21	2063	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh hçn lo¹n 20 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (tr¸nh hçn lo¹n)	2	21	2064	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh hçn lo¹n 30 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (tr¸nh hçn lo¹n)	2	21	2065	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh hçn lo¹n 40 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (tr¸nh ngñ)	2	21	2066	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ngñ 10 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (tr¸nh ngñ)	2	21	2067	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ngñ 20 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (tr¸nh ngñ)	2	21	2068	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ngñ 30 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (tr¸nh ngñ)	2	21	2069	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, tû lÖ tr¸nh ngñ 40 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (ngo¹i phßng)	2	21	2070	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, ngo¹i phßng gi¶m 4%, t¨ng ngo¹i c«ng 8 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (ngo¹i phßng)	2	21	2071	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, ngo¹i phßng gi¶m 5%, t¨ng ngo¹i c«ng 10 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (ngo¹i phßng)	2	21	2072	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, ngo¹i phßng gi¶m 6%, t¨ng ngo¹i c«ng 12 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (ngo¹i phßng)	2	21	2073	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, ngo¹i phßng gi¶m 7%, t¨ng ngo¹i c«ng 14 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (ngo¹i phßng)	2	21	2074	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, ngo¹i phßng gi¶m 8%, t¨ng ngo¹i c«ng 16 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (ngo¹i phßng)	2	21	2075	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, ngo¹i phßng gi¶m 9%, t¨ng ngo¹i c«ng 18 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (ngo¹i phßng)	2	21	2076	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, ngo¹i phßng gi¶m 10%, t¨ng ngo¹i c«ng 20 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi phßng)	2	21	2077	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, néi phßng gi¶m 4%,t¨ng néi c«ng 8 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi phßng)	2	21	2078	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, néi phßng gi¶m 5%,t¨ng néi c«ng 10 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi phßng)	2	21	2079	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, néi phßng gi¶m 6%,t¨ng néi c«ng 12 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (néi phßng)	2	21	2080	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, néi phßng gi¶m 7%,t¨ng néi c«ng 14 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (néi phßng)	2	21	2081	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, néi phßng gi¶m 8%,t¨ng néi c«ng 16 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (néi phßng)	2	21	2082	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, néi phßng gi¶m 9%,t¨ng néi c«ng 18 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (néi phßng)	2	21	2083	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, néi phßng gi¶m 10%,t¨ng néi c«ng 20 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (s¸t th­¬ng t¨ng)	2	21	2084	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, s¸t th­¬ng t¨ng 30, c¸ch ghĞp (Vò khİ), rÊt quı		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (s¸t th­¬ng t¨ng)	2	21	2085	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, s¸t th­¬ng t¨ng 60, c¸ch ghĞp (Vò khİ), rÊt quı		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (s¸t th­¬ng t¨ng)	2	21	2086	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, s¸t th­¬ng t¨ng 90, c¸ch ghĞp (Vò khİ), rÊt quı		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (s¸t th­¬ng t¨ng)	2	21	2087	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, s¸t th­¬ng t¨ng 120, c¸ch ghĞp (Vò khİ), rÊt quı		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (s¸t th­¬ng t¨ng)	2	21	2088	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, s¸t th­¬ng t¨ng 150, c¸ch ghĞp (Vò khİ), rÊt quı		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (Kh¸ng tÊt c¶ ¸o)	2	21	2089	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 4 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (Kh¸ng tÊt c¶ ¸o)	2	21	2090	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 8 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (Kh¸ng tÊt c¶ ¸o)	2	21	2091	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 12 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (Kh¸ng tÊt c¶ ¸o)	2	21	2092	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 16 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (Kh¸ng tÊt c¶ ¸o)	2	21	2093	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 2 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (Kh¸ng tÊt c¶ vò khİ)	2	21	2094	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 4 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (Kh¸ng tÊt c¶ vò khİ)	2	21	2095	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 8 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (Kh¸ng tÊt c¶ vò khİ)	2	21	2096	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 12 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (Kh¸ng tÊt c¶ vò khİ)	2	21	2097	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 16 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (Kh¸ng tÊt c¶ vò khİ)	2	21	2098	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 2 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (Kh¸ng tÊt c¶ nãn)	2	21	2099	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 4 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (Kh¸ng tÊt c¶ nãn)	2	21	2100	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 8 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (Kh¸ng tÊt c¶ nãn)	2	21	2101	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 12 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (Kh¸ng tÊt c¶ nãn)	2	21	2102	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 16 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (Kh¸ng tÊt c¶ nãn)	2	21	2103	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 2 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (Kh¸ng tÊt c¶ h¹ y)	2	21	2104	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 4 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (Kh¸ng tÊt c¶ h¹ y)	2	21	2105	1	0	1												\image\item\other\¸ß¼¶Åä·½a1.spr	\image\item\other\¸ß¼¶Åä·½a0.spr	Ghi chĞp ThÇn cÊp linh th¹ch, kh¸ng tÊt c¶ t¨ng 8 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
