Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ThiÖu Th¸nh Nguyªn So¸i HiÖu phï	0	102	3027	10	10000	0	100						23008	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	Hoµng ®Õ §¹i Liªu kh©m ®iÓm ®¹i nguyªn so¸i, xuÊt ¦u Ch©u tæng binh, ban th­ëng chiÕn bµo.		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
ThiÖu Th¸nh Nguyªn So¸i HiÖu kú	0	102	3028	10	10000	0	100						23005	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	Hoµng ®Õ §¹i Liªu kh©m ®iÓm ®¹i nguyªn so¸i, xuÊt ¦u Ch©u tæng binh, ban th­ëng chiÕn bµo.		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
ThiÖu Th¸nh Nguyªn So¸i HiÖu kú	0	102	3029	10	10000	0	100						23006	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	Hoµng ®Õ §¹i Liªu kh©m ®iÓm ®¹i nguyªn so¸i, xuÊt ¦u Ch©u tæng binh, ban th­ëng chiÕn bµo.		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
ThiÖu Th¸nh Nguyªn So¸i HiÖu kú	0	102	3030	10	10000	0	100						23007	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	Hoµng ®Õ §¹i Liªu kh©m ®iÓm ®¹i nguyªn so¸i, xuÊt ¦u Ch©u tæng binh, ban th­ëng chiÕn bµo.		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
ThiÖu Th¸nh Nguyªn So¸i HiÖu kú	0	102	3031	10	10000	0	100						23008	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	Hoµng ®Õ §¹i Liªu kh©m ®iÓm ®¹i nguyªn so¸i, xuÊt ¦u Ch©u tæng binh, ban th­ëng chiÕn bµo.		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Huy Hoµng Chi Thñy	0	102	8840	1	1		20						88040	80				\image\item\ring\»Ô»ÍÖ®Ê¼a1.spr	\image\item\ring\»Ô»ÍÖ®Ê¼a0.spr	NhÉn vµng ®¹i diÖn cho ®Êt n­íc ph­¬ng §«ng, trªn kh¾c 1984		§· khãa		7	1	1		0					
Vinh Dù Chi Thñy	0	102	8841	1	1		20						88040	80				\image\item\ring\ÈÙÒ«Ö®Ê¼a1.spr	\image\item\ring\ÈÙÒ«Ö®Ê¼a0.spr	NhÉn ngäc ®¹i diÖn cho vinh dù, trªn kh¾c 15, 8, 9		§· khãa		7	1	1		0					
Huy Hoµng Chi KÕ	0	102	8842	1	1		20						88042	80				\image\item\ring\»Ô»ÍÖ®¼Ìa1.spr	\image\item\ring\»Ô»ÍÖ®¼Ìa0.spr	NhÉn vµng ®¹i diÖn cho ®Êt n­íc ph­¬ng §«ng, trªn kh¾c 1988, 1992, 1996, 2000		§· khãa		8	1	1		0					
Vinh Dù Chi KÕ	0	102	8843	1	1		20						88042	80				\image\item\ring\ÈÙÒ«Ö®¼Ìa1.spr	\image\item\ring\ÈÙÒ«Ö®¼Ìa0.spr	NhÉn ngäc ®¹i diÖn cho vinh dù, trªn kh¾c 5, 16, 16, 28		§· khãa		8	1	1		0					
Huy Hoµng QuËt Khëi	0	102	8844	1	1		20						88044	80				\image\item\ring\»Ô»ÍÖ®áÈÆğa1.spr	\image\item\ring\»Ô»ÍÖ®áÈÆğa0.spr	NhÉn vµng ®¹i diÖn cho ®Êt n­íc ph­¬ng §«ng, trªn kh¾c 2004		§· khãa		9	1	1		0					
Vinh Dù QuËt Khëi	0	102	8845	1	1		20						88044	80				\image\item\ring\ÈÙÒ«Ö®áÈÆğa1.spr	\image\item\ring\ÈÙÒ«Ö®áÈÆğa0.spr	NhÉn ngäc ®¹i diÖn cho vinh dù, trªn kh¾c 32, 1-7, 14		§· khãa		9	1	1		0					
Huy Hoµng	0	102	8846	1	1		20						88046	80				\image\item\ring\»Ô»Ía1.spr	\image\item\ring\»Ô»Ía0.spr	NhÉn vµng ®¹i diÖn cho ®Êt n­íc ph­¬ng §«ng, trªn kh¾c 2008, ®eo vµo cã c¶m gi¸c tù hµo		§· khãa		10	1	1		0					
Vinh Dù	0	102	8847	1	1		20						88046	80				\image\item\ring\ÈÙÒ«a1.spr	\image\item\ring\ÈÙÒ«a0.spr	NhÉn ngäc ®¹i diÖn cho vinh dù, trªn kh¾c 51, 21, 28		§· khãa		10	1	1		0					
Tö Viªn ChiÕn	0	102	8851	10	10000	0	100						88051	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	2	0					
Tö Viªn §Êu	0	102	8852	10	10000	0	100						88051	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	2	0					
Tö Viªn ChiÕn	0	102	8853	10	10000	0	100						88052	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	3	0					
Tö Viªn §Êu	0	102	8854	10	10000	0	100						88052	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	3	0					
Tö Viªn ChiÕn	0	102	8855	10	10000	0	100						88053	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	4	0					
Tö Viªn §Êu	0	102	8856	10	10000	0	100						88053	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	4	0					
Tö Viªn ChiÕn	0	102	8857	10	10000	0	100						88054	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	6	0					
Tö Viªn §Êu	0	102	8858	10	10000	0	100						88054	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	6	0					
Tö Viªn ChiÕn	0	102	8859	10	10000	0	100						88055	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	8	0					
Tö Viªn §Êu	0	102	8860	10	10000	0	100						88055	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	8	0					
Tö Viªn ChiÕn	0	102	8861	10	10000	0	100						88056	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	9	0					
Tö Viªn §Êu	0	102	8862	10	10000	0	100						88056	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	9	0					
Tö Viªn ChiÕn	0	102	8863	10	10000	0	100						88057	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	11	0					
Tö Viªn §Êu	0	102	8864	10	10000	0	100						88057	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	11	0					
Tö Viªn ChiÕn	0	102	8865	10	10000	0	100						88058	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	12	0					
Tö Viªn §Êu	0	102	8866	10	10000	0	100						88058	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	12	0					
Tö Viªn ChiÕn	0	102	8867	10	10000	0	100						88059	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	14	0					
Tö Viªn §Êu	0	102	8868	10	10000	0	100						88059	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	14	0					
Tö Viªn ChiÕn	0	102	8869	10	10000	0	100						88060	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	15	0					
Tö Viªn §Êu	0	102	8870	10	10000	0	100						88060	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	15	0					
Tö Viªn ChiÕn	0	102	8871	10	10000	0	100						88061	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	17	0					
Tö Viªn §Êu	0	102	8872	10	10000	0	100						88061	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	17	0					
Tö Viªn ChiÕn	0	102	8873	10	10000	0	100						88062	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	18	0					
Tö Viªn §Êu	0	102	8874	10	10000	0	100						88062	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	18	0					
Tö Viªn ChiÕn	0	102	8875	10	10000	0	100						88063	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	20	0					
Tö Viªn §Êu	0	102	8876	10	10000	0	100						88063	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	20	0					
Tö Viªn ChiÕn	0	102	8877	10	10000	0	100						88064	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	21	0					
Tö Viªn §Êu	0	102	8878	10	10000	0	100						88064	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	M¶nh d­ cßn sãt khi chÕ t¹o trang bŞ Hiªn Viªn, ®em luyÖn víi m¸u cña Tö Quang ThÇn Thó sÏ ph¸t huy søc m¹nh kinh ng­êi.		Bè phÈm		8	2	1	21	0					
Thiªn Chi Tèng T­íng Qu©n LÖnh Bµi	0	102	3032	10	10000	0	100						23009	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnh Bµi	0	102	3033	10	10000	0	100						23010	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnh Bµi	0	102	3034	10	10000	0	100						23011	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnh Bµi	0	102	3035	10	10000	0	100						23012	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnh Kú	0	102	3036	10	10000	0	100						23009	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnh Kú	0	102	3037	10	10000	0	100						23010	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnh Kú	0	102	3038	10	10000	0	100						23011	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnh Kú	0	102	3039	10	10000	0	100						23012	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnhPhï	0	102	3040	10	10000	0	100						23009	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnhPhï	0	102	3041	10	10000	0	100						23010	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnhPhï	0	102	3042	10	10000	0	100						23011	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Tèng T­íng Qu©n LÖnhPhï	0	102	3043	10	10000	0	100						23012	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Bµi	0	102	3044	10	10000	0	100						23013	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Bµi	0	102	3045	10	10000	0	100						23014	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Bµi	0	102	3046	10	10000	0	100						23015	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Bµi	0	102	3047	10	10000	0	100						23016	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Kú	0	102	3048	10	10000	0	100						23013	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Kú	0	102	3049	10	10000	0	100						23014	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Kú	0	102	3050	10	10000	0	100						23015	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Kú	0	102	3051	10	10000	0	100						23016	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Phï	0	102	3052	10	10000	0	100						23013	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Phï	0	102	3053	10	10000	0	100						23014	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Phï	0	102	3054	10	10000	0	100						23015	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Thiªn Chi Liªu T­íng Qu©n LÖnh Phï	0	102	3055	10	10000	0	100						23016	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî1a1.spr	\image\item\ring\½«¾ü½«Áî1a0.spr	T­íng qu©n lµ t©m ®iÓm cña ba qu©n, ®­îc th­îng ®Õ phï hé 		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
