Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Thiªn Thñ ThÇn VÖ TiÒm Èn Ch©m	0	1	642	50	50000	0	300	0	152;305		1	80	6042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_016a1.spr	\image\item\weapon\wea_dar_016a0.spr	§­êng M«n ®Ö tö, am t­êng ¸m khİ, ®­îc b¹n TiÒm Èn Ch©m	°µÆ÷	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	6	0					
Thiªn Thñ ThÇn VÖ TiÒm Èn Ch©m	0	1	643	50	50000	0	300	0	152;305		1	80	6043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_016a1.spr	\image\item\weapon\wea_dar_016a0.spr	§­êng M«n ®Ö tö, am t­êng ¸m khİ, ®­îc b¹n TiÒm Èn Ch©m	°µÆ÷	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	6	0					
Thiªn Thñ ThÇn VÖ TiÒm Èn Ch©m	0	1	644	50	50000	0	300	0	152;305		1	80	6044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_016a1.spr	\image\item\weapon\wea_dar_016a0.spr	§­êng M«n ®Ö tö, am t­êng ¸m khİ, ®­îc b¹n TiÒm Èn Ch©m	°µÆ÷	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	6	0					
Kim Quang Th¸nh N÷ PhËt LÖ KiÕm	0	2	841	50	50000	0	300	0	165;330	291;582	1	86	8041	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	Cøu khæ cøu n¹n, ®¹i tõ ®¹i bi, ®­îc ban PhËt LÖ KiÕm	³¤½£8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	8	0					
Kim Quang Th¸nh N÷ PhËt LÖ KiÕm	0	2	842	50	50000	0	300	0	165;330	291;582	1	86	8042	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	Cøu khæ cøu n¹n, ®¹i tõ ®¹i bi, ®­îc ban PhËt LÖ KiÕm	³¤½£8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	8	0					
Thiªn ¢m Th¸nh N÷ PhËt VËn CÇm	0	10	941	50	50000	0	300	1	191;382	222;445	1	90	9041	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_016a1.spr	\image\item\weapon\wea_qin_016a0.spr	Thiªn bæn v« h×nh, l¹c bæn v« Èm, ®­îc ban PhËt VËn CÇm	ÇÙ8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	9	0					
Thiªn ¢m Th¸nh N÷ PhËt VËn CÇm	0	10	942	50	50000	0	300	1	191;382	222;445	1	90	9042	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_016a1.spr	\image\item\weapon\wea_qin_016a0.spr	Thiªn bæn v« h×nh, l¹c bæn v« Èm, ®­îc ban PhËt VËn CÇm	ÇÙ8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	9	0					
ChÊp Ph¸p Phï T«n Thñ	0	0	1141	50	50000	0	300	0	261;522	224;448	1	90	11041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_016a1.spr	\image\item\weapon\wea_han_016a0.spr	§Ö tö C¸i Bang tŞnh y, c«ng chİnh liªm minh, ®­îc ban Phï T«n Thñ	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
ChÊp Ph¸p Phï T«n Thñ	0	0	1142	50	50000	0	300	0	261;522	224;448	1	90	11042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_016a1.spr	\image\item\weapon\wea_han_016a0.spr	§Ö tö C¸i Bang tŞnh y, c«ng chİnh liªm minh, ®­îc ban Phï T«n Thñ	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
ChÊp Ph¸p Phï T«n Thñ	0	0	1143	50	50000	0	300	0	261;522	224;448	1	90	11043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_016a1.spr	\image\item\weapon\wea_han_016a0.spr	§Ö tö C¸i Bang tŞnh y, c«ng chİnh liªm minh, ®­îc ban Phï T«n Thñ	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
ChÊp Ph¸p Phï T«n Thñ	0	0	1144	50	50000	0	300	0	261;522	224;448	1	90	11044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_016a1.spr	\image\item\weapon\wea_han_016a0.spr	§Ö tö C¸i Bang tŞnh y, c«ng chİnh liªm minh, ®­îc ban Phï T«n Thñ	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
Ch­ëng Bæng Long Chóng C«n	0	5	1241	50	50000	0	300	0	205;410		1	84	12041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_016a1.spr	\image\item\weapon\wea_sta_016a0.spr	C¸i Bang du hiÖp tr­îng nghÜa, ch­ëng qu¶n ®¶ cÈu bæng, ®­îc ban Long Chóng C«n 	¹÷8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng C«n	0	5	1242	50	50000	0	300	0	205;410		1	84	12042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_016a1.spr	\image\item\weapon\wea_sta_016a0.spr	C¸i Bang du hiÖp tr­îng nghÜa, ch­ëng qu¶n ®¶ cÈu bæng, ®­îc ban Long Chóng C«n 	¹÷8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng C«n	0	5	1243	50	50000	0	300	0	205;410		1	84	12043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_016a1.spr	\image\item\weapon\wea_sta_016a0.spr	C¸i Bang du hiÖp tr­îng nghÜa, ch­ëng qu¶n ®¶ cÈu bæng, ®­îc ban Long Chóng C«n 	¹÷8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng C«n	0	5	1244	50	50000	0	300	0	205;410		1	84	12044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_016a1.spr	\image\item\weapon\wea_sta_016a0.spr	C¸i Bang du hiÖp tr­îng nghÜa, ch­ëng qu¶n ®¶ cÈu bæng, ®­îc ban Long Chóng C«n 	¹÷8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Th­îng Thanh ThÇn Kh«ng KiÕm	0	2	1441	50	50000	0	300	0	165;330	291;582	1	86	14041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	Vâ §ang ®¹o gia ®Ö tö, vËn dông Th¸i cùc chi ®¹o ®¾c tiªn thiªn ch©n khİ, ®­îc ban ThÇn Kh«ng Ph¸p KiÕm	³¤½£8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng KiÕm	0	2	1442	50	50000	0	300	0	165;330	291;582	1	86	14042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	Vâ §ang ®¹o gia ®Ö tö, vËn dông Th¸i cùc chi ®¹o ®¾c tiªn thiªn ch©n khİ, ®­îc ban ThÇn Kh«ng Ph¸p KiÕm	³¤½£8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng KiÕm	0	2	1443	50	50000	0	300	0	165;330	291;582	1	86	14043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	Vâ §ang ®¹o gia ®Ö tö, vËn dông Th¸i cùc chi ®¹o ®¾c tiªn thiªn ch©n khİ, ®­îc ban ThÇn Kh«ng Ph¸p KiÕm	³¤½£8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng KiÕm	0	2	1444	50	50000	0	300	0	165;330	291;582	1	86	14044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	Vâ §ang ®¹o gia ®Ö tö, vËn dông Th¸i cùc chi ®¹o ®¾c tiªn thiªn ch©n khİ, ®­îc ban ThÇn Kh«ng Ph¸p KiÕm	³¤½£8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Tö Tiªu Ngù Kh«ng Bót	0	9	1541	50	50000	0	300	0	172;345		1	110	15041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_016a1.spr	\image\item\weapon\wea_bru_016a0.spr	Vâ §ang tôc gia, Th¸i cùc ch©n khİ th«n thiªn h¹, ®­îc ban Ngù Kh«ng Bót	±Ê8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng Bót	0	9	1542	50	50000	0	300	0	172;345		1	110	15042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_016a1.spr	\image\item\weapon\wea_bru_016a0.spr	Vâ §ang tôc gia, Th¸i cùc ch©n khİ th«n thiªn h¹, ®­îc ban Ngù Kh«ng Bót	±Ê8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng Bót	0	9	1543	50	50000	0	300	0	172;345		1	110	15043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_016a1.spr	\image\item\weapon\wea_bru_016a0.spr	Vâ §ang tôc gia, Th¸i cùc ch©n khİ th«n thiªn h¹, ®­îc ban Ngù Kh«ng Bót	±Ê8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng Bót	0	9	1544	50	50000	0	300	0	172;345		1	110	15044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_016a1.spr	\image\item\weapon\wea_bru_016a0.spr	Vâ §ang tôc gia, Th¸i cùc ch©n khİ th«n thiªn h¹, ®­îc ban Ngù Kh«ng Bót	±Ê8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
TrÊn Qu©n V« Song Th­¬ng	0	6	1741	50	50000	0	300	0	135;405		1	86	17041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qan_014a1.spr	\image\item\weapon\wea_qan_014a0.spr	D­¬ng M«n th­¬ng kş, chinh chiÕn sa tr­êng, uy danh thiªn h¹, ®­îc ban V« Song Th­¬ng	Ç¹8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song Th­¬ng	0	6	1742	50	50000	0	300	0	135;405		1	86	17042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qan_014a1.spr	\image\item\weapon\wea_qan_014a0.spr	D­¬ng M«n th­¬ng kş, chinh chiÕn sa tr­êng, uy danh thiªn h¹, ®­îc ban V« Song Th­¬ng	Ç¹8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song Th­¬ng	0	6	1743	50	50000	0	300	0	135;405		1	86	17043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qan_014a1.spr	\image\item\weapon\wea_qan_014a0.spr	D­¬ng M«n th­¬ng kş, chinh chiÕn sa tr­êng, uy danh thiªn h¹, ®­îc ban V« Song Th­¬ng	Ç¹8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song Th­¬ng	0	6	1744	50	50000	0	300	0	135;405		1	86	17044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qan_014a1.spr	\image\item\weapon\wea_qan_014a0.spr	D­¬ng M«n th­¬ng kş, chinh chiÕn sa tr­êng, uy danh thiªn h¹, ®­îc ban V« Song Th­¬ng	Ç¹8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
Chinh Lç B¸ Gi¶ Cung	0	4	1841	50	50000	0	300	1	175;350		1	86	18041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_gon_014a1.spr	\image\item\weapon\wea_gon_014a0.spr	D­¬ng M«n cung ph¸p, b¸ khİ sa tr­êng, ®­îc ban B¸ Gi¶ Cung	¹­8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ Cung	0	4	1842	50	50000	0	300	1	175;350		1	86	18042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_gon_014a1.spr	\image\item\weapon\wea_gon_014a0.spr	D­¬ng M«n cung ph¸p, b¸ khİ sa tr­êng, ®­îc ban B¸ Gi¶ Cung	¹­8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ Cung	0	4	1843	50	50000	0	300	1	175;350		1	86	18043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_gon_014a1.spr	\image\item\weapon\wea_gon_014a0.spr	D­¬ng M«n cung ph¸p, b¸ khİ sa tr­êng, ®­îc ban B¸ Gi¶ Cung	¹­8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ Cung	0	4	1844	50	50000	0	300	1	175;350		1	86	18044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_gon_014a1.spr	\image\item\weapon\wea_gon_014a0.spr	D­¬ng M«n cung ph¸p, b¸ khİ sa tr­êng, ®­îc ban B¸ Gi¶ Cung	¹­8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Diªm La T«n Gi¶ Ma Hån NhÉn	0	7	2041	50	50000	0	300	2	187;374	261;522	1	105	20041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_ddao_014a1.spr	\image\item\weapon\wea_ddao_014a0.spr	Ngò §éc tµ hiÖp, chuyªn dïng ®éc h¹i ng­êi, ®­îc ban Ma Hån NhÉn	Ë«µ¶8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån NhÉn	0	7	2042	50	50000	0	300	2	187;374	261;522	1	105	20042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_ddao_014a1.spr	\image\item\weapon\wea_ddao_014a0.spr	Ngò §éc tµ hiÖp, chuyªn dïng ®éc h¹i ng­êi, ®­îc ban Ma Hån NhÉn	Ë«µ¶8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån NhÉn	0	7	2043	50	50000	0	300	2	187;374	261;522	1	105	20043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_ddao_014a1.spr	\image\item\weapon\wea_ddao_014a0.spr	Ngò §éc tµ hiÖp, chuyªn dïng ®éc h¹i ng­êi, ®­îc ban Ma Hån NhÉn	Ë«µ¶8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån NhÉn	0	7	2044	50	50000	0	300	2	187;374	261;522	1	105	20044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_ddao_014a1.spr	\image\item\weapon\wea_ddao_014a0.spr	Ngò §éc tµ hiÖp, chuyªn dïng ®éc h¹i ng­êi, ®­îc ban Ma Hån NhÉn	Ë«µ¶8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Tr¶o	0	11	2141	50	50000	0	300	2	187;374	224;448	1	105	21041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_zhua_014a1.spr	\image\item\weapon\wea_zhua_014a0.spr	Ngò §éc cæ s­, chuyªn luyÖn cæ ®éc, ®­îc ban PhÖ Thiªn Tr¶o	×¦8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Tr¶o	0	11	2142	50	50000	0	300	2	187;374	224;448	1	105	21042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_zhua_014a1.spr	\image\item\weapon\wea_zhua_014a0.spr	Ngò §éc cæ s­, chuyªn luyÖn cæ ®éc, ®­îc ban PhÖ Thiªn Tr¶o	×¦8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Tr¶o	0	11	2143	50	50000	0	300	2	187;374	224;448	1	105	21043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_zhua_014a1.spr	\image\item\weapon\wea_zhua_014a0.spr	Ngò §éc cæ s­, chuyªn luyÖn cæ ®éc, ®­îc ban PhÖ Thiªn Tr¶o	×¦8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Tr¶o	0	11	2144	50	50000	0	300	2	187;374	224;448	1	105	21044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_zhua_014a1.spr	\image\item\weapon\wea_zhua_014a0.spr	Ngò §éc cæ s­, chuyªn luyÖn cæ ®éc, ®­îc ban PhÖ Thiªn Tr¶o	×¦8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					

Ph¸ Yªn ®ao	0	3	6001	50	18000	0	300	0	240;480		1	100	600001	80				\image\item\weapon\wea_bla_014a1.spr	\image\item\weapon\wea_bla_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	µ¥µ¶7a	§¬n ®ao		8	0	1	2	0					
Ph¸ Yªn c«n	0	5	6002	50	18000	0	300	0	200;400		1	84	600002	80				\image\item\weapon\wea_sta_014a1.spr	\image\item\weapon\wea_sta_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	¹÷7a	C«n		8	0	1	2	0					
Phï Yªn tr­îng	0	8	6003	50	18000	0	300	0	180;360	245;490	1	86	600003	80				\image\item\weapon\wea_can_014a1.spr	\image\item\weapon\wea_can_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	ÎıÕÈ7a	Tİch tr­îng		8	0	1	3	0					
Hµm Yªn thñ	0	0	6004	50	18000	0	300	0	245;490	210;420	1	90	600004	80				\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	¿ÕÊÖ	Hé thñ		8	0	1	4	0					
Tµng Yªn ch©m	0	1	6005	50	18000	0	300	0	145;290		1	80	600005	80				\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	°µÆ÷	¸m khİ		8	0	1	6	0					
Phi Yªn kiÕm	0	2	6006	50	18000	0	300	0	160;320	280;560	1	86	600006	80				\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	³¤½£7a	Tr­êng kiÕm		8	0	1	8	0					
VËn Yªn cÇm	0	10	6007	50	18000	0	300	1	190;380	210;420	1	90	600007	80				\image\item\weapon\wea_qin_014a1.spr	\image\item\weapon\wea_qin_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	ÇÙ7a	CÇm		8	0	1	9	0					
V©n Yªn thñ	0	0	6008	50	18000	0	300	0	245;490	210;420	1	90	600008	80				\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	¿ÕÊÖ	Hé thñ		8	0	1	11	0					
L­u Yªn c«n	0	5	6009	50	18000	0	300	0	200;400		1	84	600009	80				\image\item\weapon\wea_sta_014a1.spr	\image\item\weapon\wea_sta_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	¹÷7a	C«n		8	0	1	12	0					
HuyÒn Yªn kiÕm	0	2	6010	50	18000	0	300	0	160;320	280;560	1	86	600010	80				\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	³¤½£7a	Tr­êng kiÕm		8	0	1	14	0					
Vò Yªn bót	0	9	6011	50	18000	0	300	0	160;320		1	110	600011	80				\image\item\weapon\wea_bru_014a1.spr	\image\item\weapon\wea_bru_014a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	±Ê7a	Bót		8	0	1	15	0					
Hµ Tiªm Th­¬ng	0	6	6012	50	18000	0	300	0	125;375		1	86	600012	80				\image\item\weapon\wea_qan_012a1.spr	\image\item\weapon\wea_qan_012a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	Ç¹7a	Th­¬ng		8	0	1	17	0					
Hµnh Yªn Cung	0	4	6013	50	18000	0	300	1	160;320		1	86	600013	80				\image\item\weapon\wea_gon_012a1.spr	\image\item\weapon\wea_gon_012a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	¹­7a	Cung		8	0	1	18	0					
Träc Yªn nhÉn	0	7	6014	50	18000	0	300	2	180;360	250;500	1	105	600014	80				\image\item\weapon\wea_ddao_012a1.spr	\image\item\weapon\wea_ddao_012a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	Ë«µ¶7a	Song ®ao		8	0	1	20	0					
Yªu Yªn tr¶o	0	11	6015	50	18000	0	300	2	180;360	210;420	1	105	600015	80				\image\item\weapon\wea_zhua_012a1.spr	\image\item\weapon\wea_zhua_012a0.spr	KiÖt t¸c ®óc kÕt tõ t©m huyÕt c¶ ®êi cña Thanh Khª L·o Nh©n, tr­íc khi chÕt tÆng cho kú n÷ Bé Phi Yªn	×¦7a	Tr¶o		8	0	1	21	0					
Tö Quang B¸ V­¬ng §ao	0	3	2351	50	18000	0	300	0	240;480		1	100	52351	80				\image\item\weapon\wea_bla_014a1.spr	\image\item\weapon\wea_bla_014a0.spr	§©y lµ lo¹i binh khİ ®­îc t¹o bëi m¶nh cña Tö Quang TiÖt Hoµnh Thó, nÕu nh­ sinh lùc b×nh th­êng th× ®©y chİnh lµ linh vËt cña vò khİ.	µ¥µ¶7a	§¬n ®ao	\script\missions\tong_mission\item\conf_toll_weapon.lua	8	2	1	2	0					
Tö Quang B¸ V­¬ng C«n	0	5	2352	50	18000	0	300	0	200;400		1	84	52352	80				\image\item\weapon\wea_sta_014a1.spr	\image\item\weapon\wea_sta_014a0.spr	§©y lµ lo¹i binh khİ ®­îc t¹o bëi m¶nh cña Tö Quang TiÖt Hoµnh Thó, nÕu nh­ sinh lùc b×nh th­êng th× ®©y chİnh lµ linh vËt cña vò khİ.	¹÷7a	C«n	\script\missions\tong_mission\item\conf_toll_weapon.lua	8	2	1	2	0					
Tö Quang Bå §Ò Tr­îng	0	8	2353	50	18000	0	300	0	180;360	245;490	1	86	52353	80				\image\item\weapon\wea_can_014a1.spr	\image\item\weapon\wea_can_014a0.spr	§©y lµ lo¹i binh khİ ®­îc t¹o bëi m¶nh cña Tö Quang TiÖt Hoµnh Thó, nÕu nh­ sinh lùc b×nh th­êng th× ®©y chİnh lµ linh vËt cña vò khİ.	ÎıÕÈ7a	Tİch tr­îng	\script\missions\tong_mission\item\conf_toll_weapon.lua	8	2	1	3	0					
