Tªn ®¹o cô	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	D­îc hiÖu lµ thay ®æi hay xÕp chång lªn	Cã ph¶i PK d­îc	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	Thêi gian lµm l¹nh	ID d­îc hiÖu
Gi¸p M·_KiÕm C¸c Thôc §¹o	1	5	56	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn KiÕm C¸c Thôc §¹o		Phï ChØ		2				
Gi¸p M·_§iÓm Th­¬ng s¬n	1	5	57	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn §iÓm Th­¬ng S¬n		Phï ChØ		2				
Gi¸p M·_Vò Di s¬n	1	5	58	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Vò Di s¬n		Phï ChØ		2				
Gi¸p M·_Phôc Ng­u s¬n	1	5	59	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Phôc Ng­u S¬n		Phï ChØ		2				
Gi¸p M·_L­¬ng S¬n B¹c	1	5	60	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn L­¬ng S¬n B¹c		Phï ChØ		2				
Gi¸p M·_TÇng 1 L­ìng Thñy ®éng	1	5	61	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 L­ìng Thñy ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 L­ìng Thñy ®éng	1	5	62	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 L­ìng Thñy ®éng		Phï ChØ		2				
Gi¸p M·_Kim Quang ®éng	1	5	63	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Kim Quang ®éng		Phï ChØ		2				
Gi¸p M·_Thanh Thµnh s¬n	1	5	64	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Thanh Thµnh S¬n		Phï ChØ		2				
Gi¸p M·_TÇng 1 Phong Ma ®éng	1	5	65	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 Phong Ma ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 Phong Ma ®éng	1	5	66	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 Phong Ma ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 YÕn Tö ®éng	1	5	67	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 YÕn Tö ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 YÕn Tö ®éng	1	5	68	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 YÕn Tö ®éng		Phï ChØ		2				
Gi¸p M·_H¾c Phong ®éng	1	5	69	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn H¾c Phong ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 Long Hæ ®éng	1	5	70	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 Long Hæ ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 Long Hæ ®éng	1	5	71	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 Long Hæ ®éng		Phï ChØ		2				
Gi¸p M·_Phông Nh·n ®éng	1	5	72	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Phông Nh·n ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 B¹ch Thñy ®éng	1	5	73	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 B¹ch Thñy ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 B¹ch Thñy ®éng	1	5	74	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 B¹ch Thñy ®éng		Phï ChØ		2				
Gi¸p M·_§«ng H¶i H¶i T©n 1	1	5	75	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn §«ng H¶i H¶i T©n 1		Phï ChØ		2				
Gi¸p M·_§«ng H¶i H¶i T©n 2	1	5	76	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn §«ng H¶i H¶i T©n 1		Phï ChØ		2				
Gi¸p M·_TÇng 1 Long Nh·n ®éng	1	5	77	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 Long Nh·n ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 Long Nh·n ®éng	1	5	78	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 Long Nh·n ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 Thiªn S­ ®éng	1	5	79	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 Thiªn S­ ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 Thiªn S­ ®éng	1	5	80	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 Thiªn S­ ®éng		Phï ChØ		2				
Gi¸p M·_Phong §«	1	5	81	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Phong §«		Phï ChØ		2				
Gi¸p M·_§¹i Th¶o Nguyªn 1	1	5	82	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn §¹i Th¶o Nguyªn 1		Phï ChØ		2				
Gi¸p M·_§¹i Th¶o Nguyªn 2	1	5	83	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn §¹i Th¶o Nguyªn 2		Phï ChØ		2				
Gi¸p M·_V­¬ng Kú Bé L¹c	1	5	84	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn V­¬ng Kú Bé L¹c		Phï ChØ		2				
Gi¸p M·_§µo Hoa §¶o	1	5	85	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn §µo Hoa §¶o		Phï ChØ		2				
Gi¸p M·_Quû M«n Håi Lang	1	5	86	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Quû M«n Håi Lang		Phï ChØ		2				
Gi¸p M·_TÇng 1 Thanh ¢m ®éng	1	5	87	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 Thanh ¢m ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 Thanh ¢m ®éng	1	5	88	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 Thanh ¢m ®éng		Phï ChØ		2				
Gi¸p M·_T©y Song B¶n N¹p B¾c	1	5	89	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn T©y Song B¶n N¹p B¾c		Phï ChØ		2				
Gi¸p M·_T©y Song B¶n N¹p Nam	1	5	90	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn T©y Song B¶n N¹p Nam		Phï ChØ		2				
Gi¸p M·_TÇng 1 Thiªn TÇm th¸p	1	5	91	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 Thiªn TÇm Th¸p		Phï ChØ		2				
Gi¸p M·_TÇng 2 Thiªn TÇm th¸p	1	5	92	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 Thiªn TÇm Th¸p		Phï ChØ		2				
Thiªn TÇm Th¸p_3_Gi¸p M·	1	5	93	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 3 Thiªn TÇm Th¸p		Phï ChØ		2				
Gi¸p M·_TÇng 1 V­¬ng MÉu ®éng	1	5	94	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 V­¬ng MÉu ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 V­¬ng MÉu ®éng	1	5	95	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 V­¬ng MÉu ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 3 V­¬ng MÉu ®éng	1	5	96	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 3 V­¬ng MÉu ®éng		Phï ChØ		2				
H¾c Ngäc §o¹n Tôc Cao (chiÕntr­êng)	1	0	200	0	0	999					state_life_per_per8f	1000			5	1	-1	\image\item\usable\heal_006a1.spr	\image\item\usable\heal_006a0.spr	Thuèc dïng trong chiÕn tr­êng (Cã thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	0	1	3240	199
Sinh Sinh Hãa T¸n (chiÕn tr­êng)	1	0	201	0	0	999					state_life_per_per8f	800	state_neili_per_per8f	800	10	1	-1	\image\item\usable\heal_016a1.spr	\image\item\usable\heal_016a0.spr	Thuèc dïng trong chiÕn tr­êng (Cã thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	0	1	3240	197
V¹n VËt Quy Nguyªn §¬n (c.tr­êng)	1	0	202	0	0	999					state_neili_per_per8f	1000			5	1	-1	\image\item\usable\heal_011a1.spr	\image\item\usable\heal_011a0.spr	Thuèc dïng trong chiÕn tr­êng (Cã thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	0	1	1080	198
Cöu ChuyÓn Håi Hån §¬n (c.tr­êng)	1	0	203	0	0	999					imme_life_percent_add	100	imme_mana_percent_add	100		1	-1	\image\item\usable\heal_032a1.spr	\image\item\usable\heal_032a0.spr	Thuèc dïng trong chiÕn tr­êng (Cã thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	7	0	1	3240	190
Ngäc Cao t¸n	1	0	204	0	0	999					state_life_per_per8f	1000			5	1	-1	\image\item\usable\heal_006a1.spr	\image\item\usable\heal_006a0.spr	Thuèc dïng trong chiÕn tr­êng (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	199
Sinh Sinh Hãa T¸n	1	0	205	0	0	999					state_life_per_per8f	800	state_neili_per_per8f	800	10	1	-1	\image\item\usable\heal_016a1.spr	\image\item\usable\heal_016a0.spr	Thuèc dïng trong chiÕn tr­êng (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	197
V¹n VËt Quy Nguyªn ®¬n	1	0	206	0	0	999					state_neili_per_per8f	1000			5	1	-1	\image\item\usable\heal_011a1.spr	\image\item\usable\heal_011a0.spr	Thuèc dïng trong chiÕn tr­êng (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	1080	198
Chİnh Nguyªn Håi T©m §¬n(c.tr­êng)	1	0	207	0	0	999					imme_clear_skill_interval	7				1	-1	\image\item\usable\ÕıÔª»ØĞÄµ¤a1.spr	\image\item\usable\ÕıÔª»ØĞÄµ¤a0.spr	TÊt c¶ vâ c«ng lËp tøc thi triÓn. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	189
Ngò ChuyÓn Linh B¶o §¬n (c.tr­êng)	1	0	208	0	0	999					state_cast_technique_rate	5			10	1	-1	\image\item\usable\Îå×ªÁé±¦µ¤a1.spr	\image\item\usable\Îå×ªÁé±¦µ¤a0.spr	XuÊt chiªu vâ c«ng +5, kĞo dµi 10 gi©y. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	188
ThÇn Gi¸p §¬n (chiÕn tr­êng)	1	0	209	0	0	999					state_physical_parmor_poi_add	100			5	1	-1	\image\item\usable\Éñ¼×µ¤a1.spr	\image\item\usable\Éñ¼×µ¤a0.spr	Trong 5 gi©y ngo¹i phßng 100%. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	187
ThÇn Tr¸o §¬n (chiÕn tr­êng)	1	0	210	0	0	999					state_magic_parmor_poi_add	100			5	1	-1	\image\item\usable\Éñ¼×µ¤a1.spr	\image\item\usable\Éñ¼×µ¤a0.spr	Trong 5 gi©y ngo¹i phßng 100%. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	187
Th«ng C©n T¸n (chiÕn tr­êng)	1	0	211	0	0	999					state_attack_burst_dec_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ lµm chËm. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
Ho¹t HuyÕt T¸n (chiÕn tr­êng)	1	0	212	0	0	999					state_slow_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ gi¶m tèc. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
S­íng L¹c T¸n (chiÕn tr­êng)	1	0	213	0	0	999					state_paralysis_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ tª liÖt. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
NhiÖm §èc t¸n (chiÕn tr­êng)	1	0	214	0	0	999					state_block_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ khãa chiªu. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
Cù Th¹ch T¸n (chiÕn tr­êng)	1	0	215	0	0	999					state_knockback_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ ®¸nh lui. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
Kim Cang T¸n (chiÕn tr­êng)	1	0	216	0	0	999					state_knockdown_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ ®¸nh ng·. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
§Ò ThÇn T¸n (chiÕn tr­êng)	1	0	217	0	0	999					state_sleep_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ hiÖu qu¶ h«n mª. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
Ng­ng Hån T¸n (chiÕn tr­êng)	1	0	218	0	0	999					state_confusion_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ hçn lo¹n. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
ThÇn Phong T¸n (chiÕn tr­êng)	1	0	219	0	0	999					state_fetter_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ ®Şnh th©n. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
V« óy T¸n (chiÕn tr­êng)	1	0	220	0	0	999					state_vertigo_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ cho¸ng. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
§Şnh T©m t¸n (chiÕn tr­êng)	1	0	221	0	0	999					state_delude_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ mª hoÆc. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	186
Linh Lung Ch©n Nguyªn §¬n(ctr­êng)	1	0	222	0	0	999					state_immune	100			10	1	-1	\image\item\usable\ÁáççÕæÔªµ¤a1.spr	\image\item\usable\ÁáççÕæÔªµ¤a0.spr	Trong 10 gi©y miÔn dŞch hiÖu qu¶ phô. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	5400	186
ThÊt X¶o Linh §¬n (chiÕn tr­êng)	1	0	223	0	0	999					state_dispear				3	1	-1	\image\item\usable\ÆßÇÉÁéµ¤a1.spr	\image\item\usable\ÆßÇÉÁéµ¤a0.spr	Trong 3 gi©y nhËn hiÖu qu¶ v« ®Şch. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	5400	180
V« Cùc Tiªn §¬n (chiÕn tr­êng)	1	0	224	0	0	999					state_dispear				6	1	-1	\image\item\usable\ÎŞ¼«ÏÉµ¤a1.spr	\image\item\usable\ÎŞ¼«ÏÉµ¤a0.spr	Trong 6 gi©y nhËn hiÖu qu¶ v« ®Şch. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	5400	180
ThÊt KhiÕu Nguyªn B¶o §¬n(ctr­êng)	1	0	225	0	0	999					state_cast_technique_rate	10			15	1	-1	\image\item\usable\Îå×ªÁé±¦µ¤a1.spr	\image\item\usable\Îå×ªÁé±¦µ¤a0.spr	Trong 15 gi©y xuÊt chiªu +10. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	3240	188
V« Th­îng ThÇn Nguyªn §¬n(ctr­êng)	1	0	226	0	0	999					state_immune	100			20	1	-1	\image\item\usable\ÁáççÕæÔªµ¤a1.spr	\image\item\usable\ÁáççÕæÔªµ¤a0.spr	Trong 20 gi©y miÔn dŞch tÊt c¶ hiÖu qu¶ phô. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	5400	186
Th«ng Thiªn V« Cùc §¬n (ctr­êng)	1	0	227	0	0	999					state_dispear				9	1	-1	\image\item\usable\ÎŞ¼«ÏÉµ¤a1.spr	\image\item\usable\ÎŞ¼«ÏÉµ¤a0.spr	Trong 9 gi©y nhËn ®­îc hiÖu qu¶ v« ®Şch. (Kh«ng thÓ mang ra ngoµi)			\script\newbattles\battle_medicine_item.lua	5	1	1	5400	180
ThÊt KhiÕu Nguyªn B¶o §¬n	1	0	228	0	0	999	state_cast_technique_rate	10			state_cast_technique_rate	10			15	1	-1	\image\item\usable\Îå×ªÁé±¦µ¤a1.spr	\image\item\usable\Îå×ªÁé±¦µ¤a0.spr	Thuèc ®Æc chÕ cña ThiÕu L©m ph¸i. (XuÊt chiªu +10, kĞo dµi 15 gi©y)				5	1	1	3240	188
V« Th­îng ThÇn Nguyªn §¬n	1	0	229	0	0	999	state_immune	100			state_immune	100			20	1	-1	\image\item\usable\ÁáççÕæÔªµ¤a1.spr	\image\item\usable\ÁáççÕæÔªµ¤a0.spr	Th¸nh d­îc ®­îc bµo chÕ tõ nguyªn liÖu quı.				5	1	1	5400	186
Th«ng Thiªn V« Cùc §¬n	1	0	230	0	0	999	state_invincibility				state_invincibility				9	1	-1	\image\item\usable\ÎŞ¼«ÏÉµ¤a1.spr	\image\item\usable\ÎŞ¼«ÏÉµ¤a0.spr	Th¸nh d­îc ®­îc bµo chÕ tõ nguyªn liÖu quı.				5	1	1	5400	180
[Bİ chÕ] V« Cùc Tiªn §¬n	1	0	247	0	1	999	state_invincibility				state_invincibility				6	1	-1	\image\item\usable\ÎŞ¼«ÏÉµ¤a1.spr	\image\item\usable\ÎŞ¼«ÏÉµ¤a0.spr	ThÇn d­îc cã thÓ khiÕn b¶n th©n siªu tho¸t trÇn thÕ kh«ng chŞu ¶nh h­ëng cña thÕ giíi bªn ngoµi		D­îc phÈm		8	2	1	5400	180
[Bİ chÕ] Th«ng Thiªn V« Cùc §¬n	1	0	248	0	0	999	state_invincibility				state_invincibility				9	1	-1	\image\item\usable\ÎŞ¼«ÏÉµ¤a1.spr	\image\item\usable\ÎŞ¼«ÏÉµ¤a0.spr	Th¸nh d­îc ®­îc bµo chÕ tõ nguyªn liÖu quı.		D­îc phÈm		5	2	1	5400	180
[Bİ chÕ] ThÊt X¶o Linh §¬n	1	0	249	0	1	999	state_invincibility				state_invincibility				3	1	-1	\image\item\usable\ÆßÇÉÁéµ¤a1.spr	\image\item\usable\ÆßÇÉÁéµ¤a0.spr	Th¸nh d­îc cã thÓ gióp b¶n th©n kh«ng chŞu bÊt kú ¶nh h­ëng cña thÕ giíi bªn ngoµi trong thêi gian ng¾n		D­îc phÈm		7	2	1	5400	180
[Bİ chÕ] V« Th­îng ThÇn Nguyªn §¬n	1	0	234	0	0	999	state_immune	100			state_immune	100			20	1	-1	\image\item\usable\ÁáççÕæÔªµ¤a1.spr	\image\item\usable\ÁáççÕæÔªµ¤a0.spr	Th¸nh d­îc ®­îc bµo chÕ tõ nguyªn liÖu quı.		D­îc phÈm		5	2	1	5400	186
[Bİ chÕ] Linh Lung Ch©n Nguyªn §¬n	1	0	235	0	1	999	state_immune	100			state_immune	100			10	1	-1	\image\item\usable\ÁáççÕæÔªµ¤a1.spr	\image\item\usable\ÁáççÕæÔªµ¤a0.spr	Th¸nh d­îc cã thÓ gióp b¶n th©n kh«ng bŞ bÊt kú tr¹ng th¸i dŞ th­êng		D­îc phÈm		7	2	1	5400	186
[Bİ chÕ] Th«ng C©n T¸n	1	0	236	0	1	999	state_attack_burst_dec_immune	100			state_attack_burst_dec_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ t¸c ®éng lµm chËm		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] Ho¹t HuyÕt T¸n	1	0	237	0	1	999	state_slow_immune	100			state_slow_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ gi¶m tèc ®é		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] S­íng L¹c T¸n	1	0	238	0	1	999	state_paralysis_immune	100			state_paralysis_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ tª liÖt		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] Nh©m §« T¸n	1	0	239	0	1	999	state_block_immune	100			state_block_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ phong chiªu		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] Cù Th¸ch T¸n	1	0	240	0	1	999	state_knockback_immune	100			state_knockback_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ ®Èy lui		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] Kim Cang T¸n	1	0	241	0	1	999	state_knockdown_immune	100			state_knockdown_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ ®¸nh ng·		D­îc phÈm		5	2	1	3240	186
