Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Kú Phóc Bao	2	1	3375	1	0	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr			§· khãa	\script\item\qifubao.lua	1	2	1							
Chøng th­ thİ sinh r­íc ®uèc	2	1	3376	0	0	1												\image\item\other\»ğ¾æÊÖ×Ê¸ñÖ¤Êéa1.spr	\image\item\other\»ğ¾æÊÖ×Ê¸ñÖ¤Êéa0.spr	GiÊy tham gia r­íc ®uèc, bªn trong cã chØ dÉn b¶n ®å. 		§· khãa	\script\online\aoyun08\Item\huojushou_zhengshu.lua	1	2	1							
Chøng th­ ng­êi cæ vò	2	1	3377	0	0	1												\image\item\other\ÖúÍşÕß×Ê¸ñÖ¤Êéa1.spr	\image\item\other\ÖúÍşÕß×Ê¸ñÖ¤Êéa0.spr	GiÊy tham gia cæ vò		§· khãa	\script\online\aoyun08\Item\zhuweizhe_zhengshu.lua	1	2	1							
Loa cæ vò	2	1	3378	0	0	1												\image\item\other\ÖúÍşÀ®°Èa1.spr	\image\item\other\ÖúÍşÀ®°Èa0.spr	Ph¸t ra lêi cæ vò, chóc phóc		§· khãa	\script\online\aoyun08\Item\zhuweilaba.lua	1	2	1							
Hép trang phôc r­íc ®uèc t¹m thêi	2	1	3379	0	0	1												\image\item\other\ÁÙÊ±»ğ¾æÊÖ·şÊÎºĞ×Óa1.spr	\image\item\other\ÁÙÊ±»ğ¾æÊÖ·şÊÎºĞ×Óa0.spr	Hép chøa trang phôc thİ sinh r­íc ®uèc, cã thÓ sö dông trong 1 ngµy. 		§· khãa	\script\online\aoyun08\Item\temp_huojubox.lua	1	2	1							
Tói Cöu chuyÓn håi hån ®¬n	2	1	3380	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Mét tói nhá Cöu ChuyÓn Hoµn Hån §¬n.<enter><color=Gold> (NhÊp ph¶i më bao, nhËn ®­îc 3 viªn)		ThÇn bİ	\script\item\item_billing\jiuzhuanhuihundanbao.lua	1	1	1							
Trung Hoa Phóc bao	2	1	3381	1	0	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Bao cÇu phóc cho n­íc Trung Hoa		§· khãa	\script\item\zhonghuafubao.lua	1	2	1							
Hû Nghªnh Thµnh Héi bao	2	1	3382	1	0	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Bao ®Æc chÕ cho ng­êi yªu thİch ®¹i héi Trung Hoa. 		§· khãa	\script\item\xiyingshenghuibao.lua	1	2	1							
B¸t B¸t Ngo¹i Trang Bao	2	1	3383	1	0	1												\image\item\other\Å¿Å¿¿ÍÕ»Íâ×°°ü(x).spr	\image\item\other\Å¿Å¿¿ÍÕ»Íâ×°°ü(d).spr	NhÊp chuét ph¶i sö dông, nhËn ®­îc B¸t B¸t ngo¹i trang		ThÇn bİ	\script\item\item_billing\papakezhanwaizhuangbao.lua	1	0	1							
Khiªm Vò Ngo¹i Trang Bao	2	1	3384	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	NhÊp chuét ph¶i sö dông, nhËn ®­îc Khiªn Vò ngo¹i trang		ThÇn bİ	\script\item\item_billing\xianyuwaizhuang.lua	1	0	1							
B¸ch Niªn Viªn Méng Bao	2	1	3385	1	0	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Bao ®Æc chÕ kû niÖm giê phót huy hoµng trë thµnh hiÖn thùc cña d©n téc Trung Hoa. 		§· khãa	\script\item\bainianyuanmengbao.lua	1	1	1							
Tói vinh dù huy hoµng	2	1	3386	1	0	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Bao l­u gi÷ sù huy hoµng quang vinh cña d©n téc Trung Hoa. 		§· khãa	\script\item\huihuangrongyaobao.lua	1	1	1							
Hoan Thiªn Hû §Şa Bao	2	1	3387	1	0	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Bao cã ı nghÜa kû niÖm. 		§· khãa	\script\item\huantianxidibao.lua	1	1	1							
LÖnh th¸o gì miÔn phİ	2	1	3388	0	0	999												\image\item\other\»ğ¾æÊÖ×Ê¸ñÖ¤Êéa1.spr	\image\item\other\»ğ¾æÊÖ×Ê¸ñÖ¤Êéa0.spr	LÖnh th­ cña thî rÌn L­u, t×m ®Ö tö thî rÌn L­u - T­¬ng D­¬ng (176,18) ®Ó gì bá trang bŞ B¸t qu¸i, cã thÓ dïng ®Ó nhËn båi th­êng.				1	0	1							
Kû niÖm 20 n¨m §iÓn bao	2	1	3389	1	0	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Bao ®Æc chÕ chóc mõng c«ng ty Kingsoft 20 n¨m thµnh lËp. 		§· khãa	\script\item\zhounianqingdianbao.lua	1	1	1							
ThÎ gi¸ng sinh-H¹nh phóc	2	1	3390	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	ThiÖp chóc phóc, cã thÓ trang trİ cho c©y th«ng Gi¸ng Sinh! 		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-Vui mõng	2	1	3391	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	Cã ng­êi nãi r»ng, vui vÎ khiÕn sèng l©u 100 tuæi, thiÖp nµy cã thÓ trang trİ cho c©y th«ng Gi¸ng Sinh! 		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-Vui vÎ	2	1	3392	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	ThiÖp chóc cuéc sèng vui vÎ cã thÓ trang trİ cho c©y th«ng Gi¸ng Sinh!.		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-B¹n bÌ	2	1	3393	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	ThiÖp kÕt b¹n cã thÓ trang trİ trªn c©y th«ng Gi¸ng Sinh!. 		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-May m¾n	2	1	3394	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	ThiÖp chóc may m¾n cã thÓ trang trİ trªn c©y th«ng Gi¸ng Sinh!.		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-Nh­ ı	2	1	3395	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	ThiÖp chóc v¹n sù nh­ ı cã thÓ dïng trang trİ trªn c©y th«ng Gi¸ng Sinh!. 		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-Thanh v©n	2	1	3396	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	ThiÖp chóc sù nghiÖp th¨ng cao cã thÓ trang trİ trªn c©y th«ng Gi¸ng Sinh!. 		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-ThÇn tµi	2	1	3397	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	ThiÖp chóc ph¸t tµi cã thÓ trang trİ trªn c©y th«ng Gi¸ng Sinh!. 		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-Kháe m¹nh	2	1	3398	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	ThiÖp chóc phóc tíi tÊt c¶ b¹n bÌ cña b¹n cã thÓ trang trİ lªn trªn c©y th«ng Gi¸ng Sinh!. 		ThÇn bİ	 	1	0	0							
ThÎ gi¸ng sinh-C¶ nhµ	2	1	3399	1	1	999												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	Gia hßa v¹n sù h­ng, thiÖp nµy cã thÓ trang trİ trªn c©y th«ng Gi¸ng Sinh!. 		ThÇn bİ	 	1	0	0							
Tói n¨m míi vui vÎ	2	1	3400	1	0	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Vâ L©m 2 chóc toµn thÓ mäi ng­êi n¨m míi vui vÎ! 		§· khãa	\script\item\xinniankuailebao.lua	1	1	1							
Thiªn Lı TruyÒn ¢m Phï ChØ	2	1	3508	1	0	99												\image\item\other\Ç§Àï´«Òô·ûÖ½ 36.spr	\image\item\other\Ç§Àï´«Òô·ûÖ½.spr	Cã Thiªn Lı TruyÒn ¢m Phï ChØ cã thÓ ph¸t ng«n t¹i kªnh thÕ giíi, kªnh bang héi, mçi lÇn thµnh c«ng sÏ tiªu hao sè l­îng t­¬ng øng		ThÇn bİ		1	0	1			999				
Hoa hång ®á	2	0	1162	1	0	50												\image\item\happy\rose_red_a1.spr	\image\item\happy\rose_red_a0.spr	Hoa hång në ré vµo mïa xu©n (nhÊp ph¶i sö dông)		NhiÖm vô	\script\online\march08\item\hongmeigui.lua		0	0							
Hoa hång phÊn	2	0	1164	1	0	50												\image\item\happy\rose_pink_a1.spr	\image\item\happy\rose_pink_a0.spr	Hoa hång në ré vµo mïa xu©n (nhÊp ph¶i sö dông)		NhiÖm vô	\script\online\march08\item\fenhongmeigui.lua		0	0							
Tô NghÜa LÖnh	2	95	208	0	0	999												\image\item\other\¾ÛÒåÁîa1.spr	\image\item\other\¾ÛÒåÁîa0.spr	Sö dông t¹i L­¬ng S¬n QuÇn Hïng, t×m §íi T«ng dÉn ®­êng cã thÓ trùc tiÕp ®Õn H¾c Phong Tr¹i; Cã thÓ khiªu chiÕn L­¬ng S¬n H¶o H¸n t¹i Tô NghÜa §­êng; NhÊn sö dông sÏ nhËn ®­îc tr¹ng th¸i hç trî. (Cã b¸n t¹i th­¬ng thµnh)		ThÇn bİ	\script\item\item_billing\item_juyi_tongtian_ling.lua	1	3	1							
Bao Tô NghÜa LÖnh nhá	2	95	210	0	0	1												\image\item\other\Ğ¡°ü¾ÛÒåÁîa1.spr	\image\item\other\Ğ¡°ü¾ÛÒåÁîa0.spr	Sö dông cã thÓ nhËn ®­îc 10 Tô NghÜa LÖnh.<enter><color=yellow>(nhÊn chuét ph¶i sö dông)		ThÇn bİ	\script\missions\liangshan\item\juyiling_small_bag.lua	1	3	1							
Bao Tô NghÜa LÖnh lín	2	95	211	0	0	1												\image\item\other\´ó°ü¾ÛÒåÁîa1.spr	\image\item\other\´ó°ü¾ÛÒåÁîa0.spr	Sö dông cã thÓ nhËn ®­îc 50 Tô NghÜa LÖnh.<enter><color=yellow>(nhÊn chuét ph¶i sö dông)		ThÇn bİ	\script\missions\liangshan\item\juyiling_big_bag.lua	1	3	1							
L­¬ng S¬n S¬ DiÔn bao	2	95	237	0	0	999												\image\item\other\ËÄµÈ°ü¹üa1.spr	\image\item\other\ËÄµÈ°ü¹üa0.spr	PhÇn th­ëng v­ît 4 ¶i ®Çu tiªn cña L­¬ng S¬n.<enter><color=yellow>(nhÊn chuét ph¶i sö dông)<color>		ThÇn bİ	\script\missions\liangshan\daily_tasks.lua	1	1	1							
L­¬ng S¬n Trung Dòng bao	2	95	238	0	0	999												\image\item\other\ÈıµÈ°ü¹üa1.spr	\image\item\other\ÈıµÈ°ü¹üa0.spr	PhÇn th­ëng v­ît ¶i L­¬ng S¬n thµnh c«ng.<enter><color=yellow>(nhÊn chuét ph¶i sö dông)<color>		ThÇn bİ	\script\missions\liangshan\daily_tasks.lua	1	1	1							
L­¬ng S¬n §o¹t Qu©n bao	2	95	239	0	0	999												\image\item\other\¶şµÈ°ü¹üa1.spr	\image\item\other\¶şµÈ°ü¹üa0.spr	PhÇn th­ëng khi ®¸nh b¹i vŞ H¶o H¸n L­¬ng S¬n chØ ®Şnh.<enter><color=yellow>(nhÊn chuét ph¶i sö dông)<color>		ThÇn bİ	\script\missions\liangshan\daily_tasks.lua	1	1	1							
Ng­ng B¨ng QuyÕt	2	95	1510	0	0	1												\image\item\other\Ìì¾§ËèÓña1.spr	\image\item\other\Ìì¾§ËèÓña0.spr	Tinh ph¸ch cña hµn b¨ng ngµn n¨m, cã thÓ chèng ®ì Hoang Háa Chi CÇu cña Hoang Háa L­u Kim trong Th¸i NhÊt Th¸p, chØ ®­îc dïng trong Th¸i NhÊt Th¸p		ThÇn bİ	\script\missions\taiyi\item\ningbingjue_item.lua	1	1	1							
Bao Thiªn Kiªu LÖnh Nhá	2	95	2086	0	0	1												\image\item\other\ÂÌÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\ÂÌÉ«¸ß¼¶°ü¹üa0.spr	Bao ®ùng Thiªn Kiªu LÖnh, dïng sÏ nhËn ®­îc 10 Thiªn Kiªu LÖnh.<enter><color=yellow>NhÊp chuét ph¶i ®Ó dïng<color>		ThÇn bİ	\script\item\item_billing\packed_ib_item.lua	1	1	1							
Bao Thiªn Kiªu LÖnh Lín	2	95	2087	0	0	1												\image\item\other\×ÏºìÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\×ÏºìÉ«¸ß¼¶°ü¹üa0.spr	Bao ®ùng Thiªn Kiªu LÖnh, dïng sÏ nhËn ®­îc 50 Thiªn Kiªu LÖnh.<enter><color=yellow>NhÊp chuét ph¶i ®Ó dïng<color>		ThÇn bİ	\script\item\item_billing\packed_ib_item.lua	1	1	1							
Thiªn H­¬ng Hoa	2	97	6	1	0	999												\image\item\other\quest_040a1.spr	\image\item\other\quest_040a0.spr	Thùc vËt hiÕm cña Nam Quèc, th¬m nång, sö dông sÏ t¨ng søc m¹nh.		ThÇn bİ	\script\item\pet_fight_skill.lua	5	0	0							
Thanh L­îng Th¶o	2	97	7	1	0	999												\image\item\usable\medi_002a1.spr	\image\item\usable\medi_002a0.spr	Thùc vËt th­êng thÊy ë Thóy Yªn M«n, nhiÒu n­íc, sau khi dïng c¬ thÓ cã mïi ®Æc biÖt khiÕn kÎ thï tª liÖt.		ThÇn bİ	\script\item\pet_fight_skill.lua	4	0	0							
TriÒu Thiªn Tiªu	2	97	8	1	0	999												\image\item\usable\edib_022a1.spr	\image\item\usable\edib_022a0.spr	RÊt chua vµ cay, sö dông khiÕn khİ huyÕt xung ®éng, gi·n m¹ch m¸u, rÊt dÔ næi nãng.		ThÇn bİ	\script\item\pet_fight_skill.lua	3	0	0							
QuÕ Hoa Ng­	2	97	9	1	0	999												\image\item\usable\edib_003a1.spr	\image\item\usable\edib_003a0.spr	TiÓu §iªu th­êng dïng, mäc ë vïng non xanh n­íc biÕc, cã vŞ ngät vµ bĞo.		ThÇn bİ	\script\item\pet_fight_skill.lua	2	0	0							
Hång S¬n Qu¶	2	97	10	1	0	999												\image\item\other\coll_004a1.spr	\image\item\other\coll_004a0.spr	TiÓu §iªu thİch ¨n nhÊt, vŞ ngät chua, rÊt ngon, mïa xu©n ra hoa, mïa thu kÕt qu¶, khã tr÷ nªn rÊt quı.		ThÇn bİ	\script\item\pet_fight_skill.lua	1	0	0							
HuÊn LuyÖn Tiªu	2	97	11	1	0	1												\image\item\other\coll_118a1.spr	\image\item\other\coll_118a0.spr	HuÊn luyÖn TiÓu §iªu b»ng ©m luËt ®Æc biÖt.		ThÇn bİ	\script\item\train_pet.lua	1	2	0							
MËt Qu¶	2	97	12	1	0	999												\image\item\happy\snowball_small_a1.spr	\image\item\happy\snowball_small_a0.spr	Dïng ®Ó th­ëng TiÓu §iªu biÕt v©ng lêi.		ThÇn bİ		1	0	0							
ThÎ §iªu	2	97	13	1	0	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phï hiÖu ®eo trªn ng­êi §iªu do Thóy Yªn Linh N÷ thuÇn d­ìng, cã kh¾c tªn §iªu.		ThÇn bİ		1	0	0							
Thiªn Kiªu LÖnh	2	97	236	0	0	999												\image\item\other\Ìì½¾Áîa1.spr	\image\item\other\Ìì½¾Áîa0.spr	LÖnh bµi con c­ng cña trêi, dïng ®Ó nhËn thªm c¬ héi lËt thÎ vµ sö dông dŞch vô t¨ng gi¸ trŞ. (Cöa hµng cã b¸n)		ThÇn bİ		1	3	1							
D­ìng §iªu ChØ Nam	2	100	33	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Bİ quyÕt nu«i TiÓu §iªu do Thóy Yªn M«n l­u truyÒn, Linh N÷ ph¶i luyÖn		MËt tŞch	\script\item\yangdiao_book.lua	5	2	0							
Vâ L©m LÖnh Bµi	2	1	29000	1	0	1												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	Nh÷ng b»ng chøng cña bang chñ dÉn d¾t ®éi tham gia ho¹t ®éng bang héi tinh anh		ThÇn bİ		1	0	1							
Hép quµ ¸o n¨m míi	2	1	30000	1	0	1												\image\item\shengdan\Ê¥µ®Àñ°üa1.spr	\image\item\shengdan\Ê¥µ®Àñ°üa0.spr	NhÊp chuét ph¶i sö dông nhËn ®­îc 1 ngo¹i trang n¨m míi.		ThÇn bİ	\script\online\´º½Ú»î¶¯\item\cloth_gift.lua		0	0							
L× x× n¨m míi	2	1	30001	1	0	1												\image\item\other\holi_011a1.spr	\image\item\other\holi_011a0.spr	§©y lµ L× x× cña n¨m 2008, nhÊp chuét ph¶i sö dông nhËn ®­îc phÇn th­ëng bÊt ngê.		ThÇn bİ	\script\online\´º½Ú»î¶¯\item\mouse_litter_gift.lua		0	0							
MËu Tı ®¹i hång bao	2	1	30002	1	0	1												\image\item\other\holi_011a1.spr	\image\item\other\holi_011a0.spr	§©y lµ ®¹i lÔ bao cña n¨m 2008, nhÊp chuét ph¶i sö dông sÏ ca c¬ may nhËn ®­îc hép quµ ¸o n¨m míi, ®ång thêi cã x¸c suÊt nhËn ®­îc thó c­ìi Kú L©n.		ThÇn bİ	\script\online\´º½Ú»î¶¯\item\mouse_big_gift.lua		0	0							
Ph¸o hoa	2	1	30003	500	0	1												\image\item\other\holi_001a1.spr	\image\item\other\holi_001a0.spr	Ph¸o hoa chóc mõng ngµy 30 th¸ng 4.		NhiÖm vô	\script\online\viet_2008_51\yan_hua.lua	1	2	1							
R­¬ng B¶o Th¹ch	2	1	30004	1	100	100												\image\item\other\secr_001a1.spr	\image\item\other\secr_001a0.spr	Më ra sÏ nhËn ®­îc 1 viªn b¶o th¹ch ngÉu nhiªn.		NhiÖm vô	\script\online\viet_2008_51\gem_box.lua										
Ngò Linh Th¹ch	2	1	30005	1	100	100												\image\item\other\coll_072a1.spr	\image\item\other\coll_072a0.spr	Mét lo¹i b¶o th¹ch mµ ThÇn bİ th­¬ng nh©n ®ang t×m.		NhiÖm vô	\script\online\viet_2008_51\gem.lua	1	0	0							
Lam Tinh Th¹ch	2	1	30006	1	100	100												\image\item\other\coll_022a1.spr	\image\item\other\coll_022a0.spr	Mét lo¹i b¶o th¹ch mµ ThÇn bİ th­¬ng nh©n ®ang t×m.		NhiÖm vô	\script\online\viet_2008_51\gem.lua	1									
Hoµng B¶o Th¹ch	2	1	30007	1	100	100												\image\item\other\coll_084a1.spr	\image\item\other\coll_084a0.spr	Mét lo¹i b¶o th¹ch mµ ThÇn bİ th­¬ng nh©n ®ang t×m.		NhiÖm vô	\script\online\viet_2008_51\gem.lua	1									
Tói tr¸i c©y	2	1	30008	1	0	100												\image\item\other\Ò©Æ·°ü¸¤(´ó)a1.spr	\image\item\other\Ò©Æ·°ü¸¤(´ó)a0.spr	Tói tr¸i c©y, më tói ra sÏ nhËn ®­îc mét lo¹i tr¸i c©y ngÉu nhiªn.		NhiÖm vô	\script\online\fruit_event_08_viet\fruit_item.lua	1	0	0							
Nho	2	1	30009	1	0	100												\image\item\other\Viet_Grappe_36.spr	\image\item\other\Viet_Grappe_80.spr	Mét lo¹i tr¸i c©y ®Æc s¶n.		NhiÖm vô	\script\online\fruit_event_08_viet\fruit_item.lua	1	0	0							
M·ng cÇu	2	1	30010	1	0	100												\image\item\other\Viet_CustarApple_36.spr	\image\item\other\Viet_CustarApple_80.spr	Mét lo¹i tr¸i c©y ®Æc s¶n.		NhiÖm vô	\script\online\fruit_event_08_viet\fruit_item.lua	1	0	0							
M¨ng côt	2	1	30011	1	0	100												\image\item\other\Viet_MangoSteen_36.spr	\image\item\other\Viet_MangoSteen_80.spr	Mét lo¹i tr¸i c©y ®Æc s¶n.		NhiÖm vô	\script\online\fruit_event_08_viet\fruit_item.lua	1	0	0							
Vó s÷a	2	1	30012	1	0	100												\image\item\other\Viet_StarApple_36.spr	\image\item\other\Viet_StarApple_80.spr	Mét lo¹i tr¸i c©y ®Æc s¶n.		NhiÖm vô	\script\online\fruit_event_08_viet\fruit_item.lua	1	0	0							
SÇu riªng	2	1	30013	1	0	100												\image\item\other\Viet_Durian_36.spr	\image\item\other\Viet_Durian_80.spr	Mét lo¹i tr¸i c©y ®Æc s¶n.		NhiÖm vô	\script\online\fruit_event_08_viet\fruit_item.lua	1	0	0							
TiÓu c¸t t­êng	2	1	30014	1	0	1												\image\item\other\Viet_TuiCatTuong_36.spr	\image\item\other\Viet_TuiCatTuong_80.spr	TiÓu c¸t t­êng, bªn trong cã chøa vËt phÈm bÊt ngê (Thêi h¹n sö dông: 24:00 ngµy 27-07-2008)		ThÇn bİ	\script\online\viet_event\jixiang_event\jixiangxiaobao.lua	1	0	0							
C¸t t­êng th¹ch	2	1	30015	0	0	999												\image\item\other\ºÍÊÏèµa1.spr	\image\item\other\ºÍÊÏèµa0.spr	Mét lo¹i b¶o th¹ch ë §¹i Lı.		ThÇn bİ		1	0	1							
Bao nguyªn liÖu	2	1	30016	1	0	100												\image\item\other\Viet_Ô­ÁÏ°ü_36.spr	\image\item\other\Viet_Ô­ÁÏ°ü_80.spr	Mét trong nh÷ng nguyªn liÖu ®Ó lµm c¸c lo¹i B¸nh trung thu.		NhiÖm vô	\script\online\viet_event\mooncake_08\item\yuanliaobao.lua	1	0	0							
Bét m×	2	1	30017	1	0	100												\image\item\other\Viet_Ãæ·Û_36.spr	\image\item\other\Viet_Ãæ·Û_80.spr	Mét lo¹i nguyªn liÖu ®Ó lµm B¸nh trung thu.		NhiÖm vô		1	0	0							
§­êng c¸t	2	1	30018	1	0	100												\image\item\other\Viet_°×É°ÌÇ_36.spr	\image\item\other\Viet_°×É°ÌÇ_80.spr	Mét lo¹i nguyªn liÖu ®Ó lµm B¸nh trung thu.		NhiÖm vô		1	0	0							
Trøng muèi	2	1	30019	1	0	100												\image\item\other\Viet_ÏÌµ°_36.spr	\image\item\other\Viet_ÏÌµ°_80.spr	Mét lo¹i nguyªn liÖu ®Ó lµm B¸nh trung thu.		NhiÖm vô		1	0	0							
Nguyªn liÖu thËp cÈm	2	1	30020	1	0	100												\image\item\other\Viet_Ê²½õÔ­ÁÏ_36.spr	\image\item\other\Viet_Ê²½õÔ­ÁÏ_80.spr	Mét lo¹i nguyªn liÖu ®Ó lµm B¸nh trung thu.		NhiÖm vô		1	0	0							
Gãi gia vŞ	2	1	30021	1	0	1												\image\item\other\Viet_µ÷ÁÏ°ü_36.spr	\image\item\other\Viet_µ÷ÁÏ°ü_80.spr	Mét lo¹i nguyªn liÖu ®Ó lµm B¸nh trung thu.		ThÇn bİ		1	0	0							
Cñi	2	1	30022	1	0	100												\image\item\other\Viet_Ä¾²ñ_36.spr	\image\item\other\Viet_Ä¾²ñ_80.spr	Mét lo¹i ®¹o cô kh«ng thÓ thiÕu trong lóc n­íng b¸nh.		ThÇn bİ	\script\online\viet_event\mooncake_08\item\muchai.lua	1	0	0							
B¸nh ch­a n­íng th­êng	2	1	30023	1	0	100												\image\item\other\Viet_Î´¿¾µÄÆÕÍ¨ÔÂ±ı_36.spr	\image\item\other\Viet_Î´¿¾µÄÆÕÍ¨ÔÂ±ı_80.spr	Nghe nãi TÇn ®¹i thÈm cã c¸ch n­íng b¸nh rÊt ngon.		ThÇn bİ		1	0	0							
B¸nh ch­a n­íng §B	2	1	30024	1	0	100												\image\item\other\Viet_Î´¿¾µÄÌØÉ«ÔÂ±ı_36.spr	\image\item\other\Viet_Î´¿¾µÄÌØÉ«ÔÂ±ı_80.spr	Nghe nãi TÇn ®¹i thÈm cã c¸ch n­íng b¸nh rÊt ngon.		ThÇn bİ		1	0	0							
B¸nh Trung thu th­êng	2	1	30025	1	0	100												\image\item\other\Viet_ÆÕÍ¨ÔÂ±ı_36.spr	\image\item\other\Viet_ÆÕÍ¨ÔÂ±ı_80.spr	B¸nh Trung Thu th¬m ngon, rÊt hîp khÈu vŞ.		ThÇn bİ	\script\online\viet_event\mooncake_08\item\common_mooncake.lua	1	0	0							
B¸nh Trung thu ®Æc biÖt	2	1	30026	1	0	100												\image\item\other\Viet_ÌØÉ«ÔÂ±ı_36.spr	\image\item\other\Viet_ÌØÉ«ÔÂ±ı_80.spr	B¸nh Trung Thu th¬m ngon, rÊt hîp khÈu vŞ.		ThÇn bİ	\script\online\viet_event\mooncake_08\item\special_mooncake.lua	1	0	0							
B¸nh ch­a chİn th­êng	2	1	30027	1	0	100												\image\item\other\Viet_Î´ÊìµÄÆÕÍ¨ÔÂ±ı_36.spr	\image\item\other\Viet_Î´ÊìµÄÆÕÍ¨ÔÂ±ı_80.spr	B¸nh vÉn ch­a chİn, kh«ng nªn sö dông.		ThÇn bİ	\script\online\viet_event\mooncake_08\item\undo_common_mooncake.lua	1	0	0							
B¸nh ch­a chİn §B	2	1	30028	1	0	100												\image\item\other\Viet_Î´ÊìµÄÌØÉ«ÔÂ±ı_36.spr	\image\item\other\Viet_Î´ÊìµÄÌØÉ«ÔÂ±ı_80.spr	B¸nh vÉn ch­a chİn, kh«ng nªn sö dông.		ThÇn bİ	\script\online\viet_event\mooncake_08\item\undo_special_mooncake.lua	1	0	0							
NÕn vµng	2	1	30029	1	0	1												\image\item\other\Viet_»ÆÖò_36.spr	\image\item\other\Viet_»ÆÖò_80.spr	Mét lo¹i nÕn th«ng th­êng dïng ®Ó th¾p s¸ng lång ®Ìn.		ThÇn bİ		1	0	0							
TiÓu Nh­ ı	2	1	30030	0	0	999												\image\item\other\Viet_Ğ¡ÈçÒâ_36.spr	\image\item\other\Viet_Ğ¡ÈçÒâ_80.spr	Mang ®Õn cho mäi ng­êi c¶m gi¸c vui vÎ vµ may m¾n.		ThÇn bİ		1	2	1							
