T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Biªn hiÖu bé trang bŞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
TrÊn Qu©n V« Song ChiÕn kh¶i	0	100	1741	80	50000	0	250	23;35					17041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ËØÒøÅÛa1.spr	\image\item\cloth\ËØÒøÅÛa0.spr	D­¬ng M«n Th­¬ng Kş thiªn h¹ v« song, ®­îc phong ChÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Gi¸p.	±ê×¼ÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song ChiÕn kh¶i	0	100	1742	80	50000	0	250	23;35					17042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\³àÁ¶¼×ÒÂa1.spr	\image\item\cloth\³àÁ¶¼×ÒÂa0.spr	D­¬ng M«n Th­¬ng Kş thiªn h¹ v« song, ®­îc phong ChÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Gi¸p.	¿ıÎàÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song ChiÕn kh¶i	0	100	1743	80	50000	0	250	23;35					17043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÓñËóÓğÒÂa1.spr	\image\item\cloth\ÓñËóÓğÒÂa0.spr	D­¬ng M«n Th­¬ng Kş thiªn h¹ v« song, ®­îc phong ChÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Gi¸p.	ĞÔ¸ĞÅ®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song ChiÕn kh¶i	0	100	1744	80	50000	0	250	23;35					17044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\÷ìÑÌÄŞÉÑa1.spr	\image\item\cloth\÷ìÑÌÄŞÉÑa0.spr	D­¬ng M«n Th­¬ng Kş thiªn h¹ v« song, ®­îc phong ChÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Gi¸p.	½¿Ğ¡Å®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
Chinh Lç B¸ Gi¶ ChiÕn kh¶i	0	100	1841	80	50000	0	250	23;35					18041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ËØÒøÅÛa1.spr	\image\item\cloth\ËØÒøÅÛa0.spr	D­¬ng M«n Cung Ph¸p uy chÊn sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Gi¸p.	±ê×¼ÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ ChiÕn kh¶i	0	100	1842	80	50000	0	250	23;35					18042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\³àÁ¶¼×ÒÂa1.spr	\image\item\cloth\³àÁ¶¼×ÒÂa0.spr	D­¬ng M«n Cung Ph¸p uy chÊn sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Gi¸p.	¿ıÎàÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ ChiÕn kh¶i	0	100	1843	80	50000	0	250	23;35					18043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÓñËóÓğÒÂa1.spr	\image\item\cloth\ÓñËóÓğÒÂa0.spr	D­¬ng M«n Cung Ph¸p uy chÊn sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Gi¸p.	ĞÔ¸ĞÅ®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ ChiÕn kh¶i	0	100	1844	80	50000	0	250	23;35					18044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\÷ìÑÌÄŞÉÑa1.spr	\image\item\cloth\÷ìÑÌÄŞÉÑa0.spr	D­¬ng M«n Cung Ph¸p uy chÊn sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Gi¸p.	½¿Ğ¡Å®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Diªm La T«n Gi¶ Ma Hån Y	0	100	2041	80	50000	0	250	30;30					20041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ËØÒøÅÛa1.spr	\image\item\cloth\ËØÒøÅÛa0.spr	Ngò §éc Gi¸o Tµ HiÖp, dïng ®éc thuËt ma hån tÕ Diªm La, phong Diªm La T«n Gi¶ vµ ban Ma Hån Y.	±ê×¼ÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån Y	0	100	2042	80	50000	0	250	30;30					20042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\³àÁ¶¼×ÒÂa1.spr	\image\item\cloth\³àÁ¶¼×ÒÂa0.spr	Ngò §éc Gi¸o Tµ HiÖp, dïng ®éc thuËt ma hån tÕ Diªm La, phong Diªm La T«n Gi¶ vµ ban Ma Hån Y.	¿ıÎàÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån Y	0	100	2043	80	50000	0	250	30;30					20043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÓñËóÓğÒÂa1.spr	\image\item\cloth\ÓñËóÓğÒÂa0.spr	Ngò §éc Gi¸o Tµ HiÖp, dïng ®éc thuËt ma hån tÕ Diªm La, phong Diªm La T«n Gi¶ vµ ban Ma Hån Y.	ĞÔ¸ĞÅ®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån Y	0	100	2044	80	50000	0	250	30;30					20044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\÷ìÑÌÄŞÉÑa1.spr	\image\item\cloth\÷ìÑÌÄŞÉÑa0.spr	Ngò §éc Gi¸o Tµ HiÖp, dïng ®éc thuËt ma hån tÕ Diªm La, phong Diªm La T«n Gi¶ vµ ban Ma Hån Y.	½¿Ğ¡Å®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Y	0	100	2141	80	50000	0	250	23;35					21041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ËØÒøÅÛa1.spr	\image\item\cloth\ËØÒøÅÛa0.spr	Ngò §éc cæ s­ chÕ ®éc kh«ng ai s¸nh kŞp, phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn Y.	±ê×¼ÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Y	0	100	2142	80	50000	0	250	23;35					21042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\³àÁ¶¼×ÒÂa1.spr	\image\item\cloth\³àÁ¶¼×ÒÂa0.spr	Ngò §éc cæ s­ chÕ ®éc kh«ng ai s¸nh kŞp, phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn Y.	¿ıÎàÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Y	0	100	2143	80	50000	0	250	23;35					21043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÓñËóÓğÒÂa1.spr	\image\item\cloth\ÓñËóÓğÒÂa0.spr	Ngò §éc cæ s­ chÕ ®éc kh«ng ai s¸nh kŞp, phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn Y.	ĞÔ¸ĞÅ®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Y	0	100	2144	80	50000	0	250	23;35					21044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\÷ìÑÌÄŞÉÑa1.spr	\image\item\cloth\÷ìÑÌÄŞÉÑa0.spr	Ngò §éc cæ s­ chÕ ®éc kh«ng ai s¸nh kŞp, phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn Y.	½¿Ğ¡Å®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
H«ng M«ng Ch©n Nh©n HuyÒn Phong §¹o Bµo	0	100	23141	80	50000	0	250	23;35					23141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ËØÒøÅÛa1.spr	\image\item\cloth\ËØÒøÅÛa0.spr	§¹o bµo cña Hång Méng Ch©n Nh©n dïng khi hµng yªu phôc ma, tö sa linh khİ Èn hiÖn xung quanh khiÕn ma qu¸i khiÕp sî. Tªn lµ HuyÒn Phong.	±ê×¼ÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0					
H«ng M«ng Ch©n Nh©n HuyÒn Phong §¹o Bµo	0	100	23142	80	50000	0	250	23;35					23142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\³àÁ¶¼×ÒÂa1.spr	\image\item\cloth\³àÁ¶¼×ÒÂa0.spr	§¹o bµo cña Hång Méng Ch©n Nh©n dïng khi hµng yªu phôc ma, tö sa linh khİ Èn hiÖn xung quanh khiÕn ma qu¸i khiÕp sî. Tªn lµ HuyÒn Phong.	¿ıÎàÄĞÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0					
B¸ch Hoa T«n Gi¶ Thanh T©m Vò Th­êng	0	100	29141	80	50000	0	250	30;30					29141	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÓñËóÓğÒÂa1.spr	\image\item\cloth\ÓñËóÓğÒÂa0.spr	Khi B¸ch Hoa T«n Gi¶ hiÖn th©n, tr¨m hoa ®ua në, b¸ch ®iÓu tÒ minh, nghinh phong khëi vò. Vò ®iÖu kÕt hîp víi vò th­êng khiÕn ng­êi xem mª hån, tªn lµ Thanh T©m.	ĞÔ¸ĞÅ®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	29	0					
B¸ch Hoa T«n Gi¶ Thanh T©m Vò Th­êng	0	100	29142	80	50000	0	250	30;30					29142	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\÷ìÑÌÄŞÉÑa1.spr	\image\item\cloth\÷ìÑÌÄŞÉÑa0.spr	Khi B¸ch Hoa T«n Gi¶ hiÖn th©n, tr¨m hoa ®ua në, b¸ch ®iÓu tÒ minh, nghinh phong khëi vò. Vò ®iÖu kÕt hîp víi vò th­êng khiÕn ng­êi xem mª hån, tªn lµ Thanh T©m.	½¿Ğ¡Å®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	29	0					
Linh §éng T«n Gi¶ L­u V©n Vò Th­êng	0	100	30141	80	50000	0	250	30;30					30141	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÓñËóÓğÒÂa1.spr	\image\item\cloth\ÓñËóÓğÒÂa0.spr	Vò Hån T«n Gi¶ d¸ng vÎ th­ít tha uyÓn chuyÓn, th­êng hay mÆc L­u V©n Vò Th­êng.	ĞÔ¸ĞÅ®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	30	0					
Linh §éng T«n Gi¶ L­u V©n Vò Th­êng	0	100	30142	80	50000	0	250	30;30					30142	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\÷ìÑÌÄŞÉÑa1.spr	\image\item\cloth\÷ìÑÌÄŞÉÑa0.spr	Vò Hån T«n Gi¶ d¸ng vÎ th­ít tha uyÓn chuyÓn, th­êng hay mÆc L­u V©n Vò Th­êng.	½¿Ğ¡Å®ÉÏÒÂ9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	30	0					
V« Danh Y	0	100	9001	10	10	0	90	20;5					74	6	1	1		\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Bè y chøa søc m¹nh thÇn bİ	±ê×¼ÄĞÇû¸É002	§· khãa		6	2	1		0					
V« Danh Y	0	100	9002	10	10	0	90	20;5					75	6	1	2		\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Bè y chøa søc m¹nh thÇn bİ	¿ıÎàÄĞÇû¸É001	§· khãa		6	2	1		0					
V« Danh Y	0	100	9003	10	10	0	90	20;5					76	6	2	3		\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Bè y n÷, chøa søc m¹nh thÇn bİ	ĞÔ¸ĞÅ®Çû¸É003	§· khãa		6	2	1		0					
V« Danh Y	0	100	9004	10	10	0	90	20;5					77	6	2	4		\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Bè y n÷, chøa søc m¹nh thÇn bİ	½¿Ğ¡Å®Çû¸É005	§· khãa		6	2	1		0					

Viªm §Õ gi¸p	0	100	8001	80	30000	0	250	30;30					80001	70	1	1		\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Viªm §Õ x­a kia tõng sö dông.	±ê×¼ÄĞ»Æ½ğ¼×	§· khãa		9	0	1		0					
Viªm §Õ gi¸p	0	100	8002	80	30000	0	250	30;30					80002	70	1	2		\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Viªm §Õ x­a kia tõng sö dông.	¿ıÎàÄĞ»Æ½ğ¼×	§· khãa		9	0	1		0					
Viªm §Õ gi¸p	0	100	8003	80	30000	0	250	30;30					80003	70	2	3		\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Viªm §Õ x­a kia tõng sö dông.	ĞÔ¸ĞÅ®»Æ½ğ¼×	§· khãa		9	0	1		0					
Viªm §Õ gi¸p	0	100	8004	80	30000	0	250	30;30					80004	70	2	4		\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Viªm §Õ x­a kia tõng sö dông.	½¿Ğ¡Å®»Æ½ğ¼×	§· khãa		9	0	1		0					

Tèng §« Thèng chiÕn bµo	0	100	2231	80	100000	0	100	30;30					22031	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞÇû¸É018	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng §« Thèng chiÕn bµo	0	100	2232	80	100000	0	100	30;30					22032	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞÇû¸É007	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng §« Thèng chiÕn bµo	0	100	2233	80	100000	0	100	30;30					22033	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng §« Thèng chiÕn bµo	0	100	2234	80	100000	0	100	30;30					22034	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu §« Thèng chiÕn bµo	0	100	2235	80	100000	0	100	30;30					22035	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞÇû¸É018	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu §« Thèng chiÕn bµo	0	100	2236	80	100000	0	100	30;30					22036	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞÇû¸É007	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu §« Thèng chiÕn bµo	0	100	2237	80	100000	0	100	30;30					22037	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu §« Thèng chiÕn bµo	0	100	2238	80	100000	0	100	30;30					22038	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng t­íng qu©n chiÕn bµo	0	100	2241	80	200000	0	120	35;35					22041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞ»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng t­íng qu©n chiÕn bµo	0	100	2242	80	200000	0	120	35;35					22042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞ»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng t­íng qu©n chiÕn bµo	0	100	2243	80	200000	0	120	35;35					22043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng t­íng qu©n chiÕn bµo	0	100	2244	80	200000	0	120	35;35					22044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu t­íng qu©n chiÕn bµo	0	100	2245	80	200000	0	120	35;35					22045	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞ»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu t­íng qu©n chiÕn bµo	0	100	2246	80	200000	0	120	35;35					22046	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞ»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu t­íng qu©n chiÕn bµo	0	100	2247	80	200000	0	120	35;35					22047	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu t­íng qu©n chiÕn bµo	0	100	2248	80	200000	0	120	35;35					22048	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng nguyªn so¸i chiÕn bµo	0	100	2251	80	500000	0	150	40;40					22051	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞ»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng nguyªn so¸i chiÕn bµo	0	100	2252	80	500000	0	150	40;40					22052	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞ»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng nguyªn so¸i chiÕn bµo	0	100	2253	80	500000	0	150	40;40					22053	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng nguyªn so¸i chiÕn bµo	0	100	2254	80	500000	0	150	40;40					22054	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu nguyªn so¸i chiÕn bµo	0	100	2255	80	500000	0	150	40;40					22055	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞ»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu nguyªn so¸i chiÕn bµo	0	100	2256	80	500000	0	150	40;40					22056	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\ÄĞ»Æ½ğ¼×a1.spr	\image\item\cloth\ÄĞ»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞ»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu nguyªn so¸i chiÕn bµo	0	100	2257	80	500000	0	150	40;40					22057	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\Å®»Æ½ğ¼×a1.spr	\image\item\cloth\Å®»Æ½ğ¼×a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®»Æ½ğ¼×	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
