ID	Disc	Type	SkillID1	SrcSkillID1	Magic1	Target1	Value1	Value1Fixup	Rate1	Rate1Fixup	Time1	Time1Fixup	WhenEffect1	Requirement1	SkillID2	Magic2	Target2	Value2	Value2Fixup	Rate2	Rate2Fixup	Time2	Time2Fixup	WhenEffect2	Requirement2	SkillID3	Magic3	Target3	Value3	Value3Fixup	Rate3	Rate3Fixup	Time3	Time3Fixup	WhenEffect3	Requirement3	SkillID4	Magic4	Target4	Value4	Value4Fixup	Rate4	Rate4Fixup	Time4	Time4Fixup	WhenEffect4	Requirement4	SkillID5	Magic5	Target5	Value5	Value5Fixup	Rate5	Rate5Fixup	Time5	Time5Fixup	WhenEffect5	Requirement5	SkillID6	Magic6	Target6	Value6	Value6Fixup	Rate6	Rate6Fixup	Time6	Time6Fixup	WhenEffect6	Requirement6	SkillID7	Magic7	Target7	Value7	Value7Fixup	Rate7	Rate7Fixup	Time7	Time7Fixup	WhenEffect7	Requirement7	SkillID8	Magic8	Target8	Value8	Value8Fixup	Rate8	Rate8Fixup	Time8	Time8Fixup	WhenEffect8	Requirement8
171	<color=Gold>Thiªn L«i Phï<color=White>: KhiÕn tû lÖ phßng ngù cña môc tiªu gi¶m <color=Blue1>[=Value1]% trong 10 gi©y.	2	1020		state_magic_parmor_per_dec	1	25			1	180	1	1		1035	state_magic_parmor_per_dec	1	25			1	180	1	1																																																																			
172	<color=Gold>B¨ng Phong QuyÕt<color=White>: KhiÕn ®iÓm phßng ngù néi c«ng môc tiªu gi¶m <color=Blue1>[=Value1]<color=White> trong 5 gi©y	2	1021		state_neili_defence_point_dec	1	300			1	90	1	1		1036	state_neili_defence_point_dec	1	300			1	90	1	1																																																																			
173	<color=Gold>Ngù Phong QuyÕt<color=White>: Gi·n c¸ch thêi gian rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y, tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value2]%<color=White>	4	1022		state_cast_interval_reduce	0	90			1	-3	1	8		1022	state_sub1_rate_add	0	10			1	-3	1	8																																																																			
174	<color=Gold>Cuång L«i Phï<color=White>: T¨ng lùc c«ng <color=Blue1>[=Value1]<color=White>	2	1023		imme_damage_life	1	200			1			1		1038	imme_damage_life	1	200			1			1																																																																			
175	<color=Gold>D­¬ng Sa QuyÕt<color=White>: Giíi h¹n sinh lùc t¨ng <color=Blue1>[=Value1]%<color=White>	4	1025		state_life_max_percent_add	0	15			1	-3	1	8																																																																														
176	<color=Gold>Oanh L«i Phï<color=White>: KhiÕn môc tiªu gi·n c¸ch sö dông kü n¨ng kÐo dµi <color=Blue1>[=Value1]%<color=White> trong 10 gi©y	2	1024		state_skill_cast_interval_add	1	15			1	-1	1	1		1039	state_skill_cast_interval_add	1	15			1	-1	1	1																																																																			
177	<color=Gold>Cang Phong QuyÕt<color=White>: KhiÕn lùc néi ngo¹i c«ng môc tiªu gi¶m <color=Blue1>[=Value1]% trong 10 gi©y.	2	1026		state_p_attack_percent_dec	1	15			1	180	1	1		1026	state_m_attack_percent_dec	1	15			1	180	1	1		1041	state_p_attack_percent_dec	1	15			1	180	1	1		1041	state_m_attack_percent_dec	1	15			1	180	1	1																																													
178	<color=Gold>B¹o L«i Phï<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	2	1027		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
179	<color=Gold>Tiªn Phong L­u T¸n QuyÕt<color=White>: Khi sinh lùc d­íi 35%, tû lÖ phßng ngù ngo¹i c«ng t¨ng <color=Blue1>[=Value1>]% <color=White>	4	1028		state_physical_parmor_per_add_when_life_less_than_per	0	2293775	2		1	-1	1	1		1043	state_physical_parmor_per_add_when_life_less_than_per	0	2293775	2		1	-1	1	1																																																																			
180	<color=Gold>Ngò L«i ChÝnh Ph¸p Phï<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y	2	1029		state_cast_interval_reduce	0	648			1	-3	1	8																																																																														
181	<color=Gold>V¹n L«i To¸i Tinh Phï<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	2	1030		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
182	<color=Gold>HuyÒn Phong TriÒn ý QuyÕt<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	4	1031		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
219	<color=Gold>Khëi Vò<color=White>: Trong tr¹ng th¸i Khëi Vò tû lÖ ng­ng chiªu vò ®¹o gi¶m <color=Blue1>[=Value1]% <color=White>	3	1166		state_interrupt_rate_dec	1	10			1	-1	1	1																																																																														
220	<color=Gold>Linh Miªu VËn<color=White>: T¨ng s¸t th­¬ng Linh Miªu VËn ®èi víi qu¸i <color=Blue1>[=Value1]% <color=White>	1	1167		state_attack_npc_add_spec	0	150			1	19	1	0		1177	state_attack_npc_add_spec	0	150			1	19	1	0		1184	state_attack_npc_add_spec	0	150			1	19	1	0																																																								
221	<color=Gold>Vò V©n T©m Ph¸p<color=White>: Trong tr¹ng th¸i Khëi Vò cã <color=Blue1>[=Value1]% <color=White>tû lÖ håi ®¸nh lui, ®¸nh ng·<color=White>	4	1168		state_knockdown_immune	0	50			1	-3	1	8		1168	state_knockback_immune	0	50			1	-3	1	8																																																																			
222	<color=Gold>Mi Hoa<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y <color=White>	1	1169		state_cast_interval_reduce	0	90			1	-3	1	8																																																																														
223	<color=Gold>§o¹n V©n QuyÕt<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	1170		state_cast_interval_reduce	0	72			1	-3	1	8		1186	state_cast_interval_reduce	0	72			1	-3	1	8																																																																			
224	<color=Gold>Thu NguyÖt Phó<color=White>: Gi¶m ®iÓm phßng ngù môc tiªu <color=Blue1>[=Value1]<color=White>	1	1171		state_physical_def_point_dec	1	350			1	-1	1	1		1179	state_physical_def_point_dec	1	350			1	-1	1	1		1187	state_physical_def_point_dec	1	350			1	-1	1	1																																																								
225	<color=Gold>Thiªn L¹i T©m Kinh<color=White>: Tr× ho·n tû lÖ miÔn dÞch <color=Blue1>[=Value1]%<color=White>	4	1172		state_attack_burst_dec_immune	0	100			1	-3	1	8																																																																														
226	<color=Gold>§iÖp O¸n<color=White>: <color=Blue1>[=Rate1]% <color=White> tû lÖ khiÕn kÎ ®Þch ®Þnh th©n <color=Blue1>2 <color=White>gi©y	1	1173		state_fetter	1	1	1	20		36	1	1		1180	state_fetter	1	1	1	20		36	1	1		1188	state_fetter	1	1	1	20		36	1	1																																																								
227	<color=Gold>Thiªn Háa DiÓm D­¬ng <color=White>: t¨ng tû lÖ chÝnh x¸c cña ®ång ®éi <color=Blue1>[=Value1]% <color=White>	3	1174		state_accuracy_percent_adjust	1	5			1	-1	1	1		1181	state_attack_rate_percent_add	1	10			1	-1	1	1		1189	state_attack_rate_percent_add	1	10			1	-1	1	1		1190	state_attack_rate_percent_add	1	10			1	-1	1	1																																													
228	<color=Gold>§¹p V©n X¶o Bé<color=White>: <color=Blue1>[=Rate1]% <color=White> tû lÖ sau khi sö dông tèc ®é di chuyÓn b¶n th©n t¨ng <color=Blue1>[=Value1]% <color=White>trong 3 gi©y<color=White>	4	1175		state_move_speed_percent_add	0	40	1	75		54	1	1																																																																														
229	<color=Gold>Méng Xµ<color=White>: Trong qu¸ tr×nh Méng Xµ t¨ng lùc c«ng kÝch néi ngo¹i c«ng <color=Blue1>[=Value1]% <color=White>nh­ng ph¶i trong tr¹ng th¸i bÞ ®Þnh th©n<color=White>	1	1176		state_p_attack_percent_add	0	100			1	19	1	0		1182	state_p_attack_percent_add	0	100			1	19	1	0		1192	state_p_attack_percent_add	0	100			1	19	1	0		1193	state_p_attack_percent_add	0	100			1	19	1	0		1176	state_fetter	0	1	1	200	1	19	1	0		1182	state_fetter	0	1	1	200	1	19	1	0		1192	state_fetter	0	1	1	200	1	19	1	0		1193	state_fetter	0	1	1	200	1	19	1	0	
230	<color=Gold>L¹c Hoa QuyÕt<color=White>: §ßn cuèi kÌm ®éc s¸t <color=Blue1>[=Value1] <color=White> ®iÓm <color=White>trong 10 gi©y	1	1232	1219	state_poison_damage	1	100			1	180	1	1		1233	state_poison_damage	1	100			1	180	1	1																																																																			
231	<color=Gold>§µo Hoa Ch­íng<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	3	1220		state_cast_interval_reduce	0	90			1	-3	1	8																																																																														
232	<color=Gold>B¸ch Hoa T©m Kinh<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	1	1221		state_cast_interval_reduce	0	90			1	-3	1	8																																																																														
233	<color=Gold>Táa T©m QuyÕt<color=White>: KhiÕn môc tiªu tû lÖ phßng ngù ngo¹i c«ng gi¶m <color=Blue1>[=Value1]% trong 10 gi©y	1	1236	1222	state_physical_parmor_per_dec	1	25			1	180	1	1		1237	state_physical_parmor_per_dec	1	25			1	180	1	1																																																																			
234	<color=Gold>Hoµn ThÇn ThuËt<color=White>: Mçi 1/2 gi©y håi sinh lùc <color=Blue1>[=Value1] <color=White>®iÓm, duy tr× 10 gi©y	4	1223		state_life_restore_per8f	0	100				180	1	1		1238	state_life_restore_per8f	0	100				180	1	1																																																																			
235	<color=Gold>Linh §éng QuyÕt<color=White>: §Þnh th©n, thêi gian gi¶m tèc rót ng¾n <color=Blue1>[=Value1]%	3	1224		state_fetter_time_dec	0	50			1	-3	1	8		1224	state_slow_time_dec	0	50			1	-3	1	8																																																																			
236	<color=Gold>Mª X¶o QuyÕt<color=White>: Tû lÖ v« hiÖu hçn lo¹n t¨ng <color=Blue1>[=Value1]% 	3	1225		state_confusion_immune	0	50			1	-3	1	8																																																																														
237	<color=Gold>Tiªn L­ H­¬ng<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	3	1226		state_cast_interval_reduce	0	810			1	-3	1	8																																																																														
238	<color=Gold>B¸ch §iÖp Nghin H­¬ng QuyÕt<color=White>: Ph¹m vi s¸t th­¬ng t¨ng <color=Blue1>[=Value1] <color=White>«	1	1245	1227	state_missle_damage_range_add	0	9			1	2	1	0		1246	state_missle_damage_range_add	0	9			1	2	1	0																																																																			
239	<color=Gold>§iÖp LuyÕn Hoa<color=White>: §iÓm phßng ngù néi ngo¹i c«ng t¨ng <color=Blue1>[=Value1]<color=White>	4	1228		state_i_defence_point_add	0	100			1	-3	1	8		1228	state_o_defence_point_add	0	100			1	-3	1	8																																																																			
240	<color=Gold>Ngäc Long Xuyªn NguyÖt QuyÕt<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	1	1273	1229	state_sub1_rate_add	0	10			1	-3	1	8																																																																														
