Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Bİ kiÕp ©m d­¬ng	Sè thø tù bİ kiÕp	Thªm c«ng kİch ngo¹i c«ng chñ ®éng:	TÇng thø	Thªm c«ng kİch néi c«ng chñ ®éng:	TÇng thø	Thªm c«ng kİch phô trî: 	TÇng thø 	Thªm phßng ngù phô trî:	TÇng thø	Sè phô lôc mËt tŞch	TÇng thø 	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	PhÈm chÊt mËt tŞch kü n¨ng	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Bèi c¶nh
Thiªn La Liªn Ch©u Ch©n QuyÓn	0	107	207	1	10	1	1432;1433	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ÌìÂŞÁ¬ÖéÕæ¾ía1.spr	\image\item\book\ÌìÂŞÁ¬ÖéÕæ¾ía0.spr	MËt tŞch l­u tr÷ kü thuËt bÉy huyÒn bİ cña §­êng M«n “V« Song Thiªn La Liªn Ch©u Vâng”cïng víi chiªu thøc tinh tóy cña §­êng M«n ¸m khİ thuËt		MËt tŞch		70	0;60	1	6		
Nh­ ı Kim §Ønh Ch©n QuyÓn	0	107	208	1	10	1	1434;1435	10;20	0;10	20;40	10;20	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ÈçÒâ½ğ¶¥Õæ¾ía1.spr	\image\item\book\ÈçÒâ½ğ¶¥Õæ¾ía0.spr	MËt tŞch l­u tr÷ néi c«ng huyÒn bİ cña Nga Mi PhËt Gia “V« Song Nh­ ı Kim Cang §Ønh”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i PhËt Gia 		MËt tŞch		70	0;60	1	8		
Bİch H¶i TuyÖt ¢m Ch©n QuyÓn	0	107	209	1	10	1	1436;1437	40;80	20;40	50;100	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\±Ìº£¾øÒôÕæ¾ía1.spr	\image\item\book\±Ìº£¾øÒôÕæ¾ía0.spr	MËt tŞch l­u tr÷ cÇm khóc huyÒn bİ cña Nga Mi Tôc Gia “V« Song Bİch H¶i TuyÖt ¢m Khóc”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia cÇm khóc		MËt tŞch		70	0;60	1	9		
Hçn §én TrÊn Nh¹c Ch©n QuyÓn	0	107	210	1	10	2	1438;1439	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\»ìãçÕòÔÀÕæ¾ía1.spr	\image\item\book\»ìãçÕòÔÀÕæ¾ía0.spr	MËt tŞch l­u tr÷ quyÒn ph¸p cao c¸p cña C¸i Bang TŞnh Y “V« Song Hçn §én TrÊn Nh¹c”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i TŞnh Y		MËt tŞch		70	0;60	1	11		
Quú Thiªn Du Long Ch©n QuyÓn	0	107	211	1	10	2	1440;1441	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ŞñÌìÓÎÁúÕæ¾ía1.spr	\image\item\book\ŞñÌìÓÎÁúÕæ¾ía0.spr	MËt tŞch l­u tr÷ c«n ph¸p cao cÊp cña C¸i Bang ¤ Y “V« Song Quú Thiªn Du Long C«n”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i ¤ Y		MËt tŞch		70	0;60	1	12		
HuyÒn ¶nh Mª T«ng Ch©n QuyÓn	0	107	212	1	10	0	1442;1443	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\»ÃÓ°ÃÔ×ÙÕæ¾ía1.spr	\image\item\book\»ÃÓ°ÃÔ×ÙÕæ¾ía0.spr	MËt tŞch l­u tr÷ kiÕm ph¸p thÇn bİ cña Vâ §ang §¹o Gia “V« Song HuyÒn ¶nh Mª T«ng KiÕm”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i §¹o Gia kiÕm khİ		MËt tŞch		70	0;60	1	14		
Qu©n Tö §íi Phong Ch©n QuyÓn	0	107	213	1	10	0	1444;1445	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\¾ı×Ó½Ø·çÕæ¾ía1.spr	\image\item\book\¾ı×Ó½Ø·çÕæ¾ía0.spr	MËt tŞch l­u tr÷ bót ph¸p th©m thóy cña Vâ §ang Tôc Gia “V« Song Qu©n Tö §íi Phong QuyÕt”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia		MËt tŞch		70	0;60	1	15		
TrÊn Qu©n Phi Long Th­¬ng Ch©n QuyÓn	0	107	214	1	10	1	1446;1447	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\Õò¾ü·ÉÁúÇ¹Õæ¾ía1.spr	\image\item\book\Õò¾ü·ÉÁúÇ¹Õæ¾ía0.spr	MËt tŞch l­u tr÷ t©m ph¸p bİ truyÒn cña D­¬ng M«n Th­¬ng Kş “V« Song TrÊn Quªn Phi Long Th­¬ng”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Th­¬ng Kş		MËt tŞch		70	0;60	1	17		
Xuyªn V©n L¹c Hång Ch©n QuyÓn	0	107	215	1	10	1	1448;1449	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\´©ÔÆÂäºçÕæ¾ía1.spr	\image\item\book\´©ÔÆÂäºçÕæ¾ía0.spr	MËt tŞch l­u tr÷ tiÔn thuËt bİ truyÒn cña D­¬ng M«n Cung Kş “V« Song Xuyªn V©n L¹c Hång TIÔn”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Cung Kş		MËt tŞch		70	0;60	1	18		
HuyÒn Minh Phong Ma Ch©n QuyÓn	0	107	216	1	10	1	1450;1451	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ÓÄÚ¤·âÄ§Õæ¾ía1.spr	\image\item\book\ÓÄÚ¤·âÄ§Õæ¾ía0.spr	MËt tŞch l­u tr÷ tµ thuËt linh chó cña Ngò §éc Tµ HiÖp“V« Song U Minh Phong Ma QuyÕt”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tµ HiÖp ¸m thuËt		MËt tŞch		70	0;60	1	20		
Linh Cæ HuyÒn Tµ Ch©n QuyÓn	0	107	217	1	10	1	1452;1453	10;20	0;10	30;60	20;30	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\Áé¹Æ»ÃĞ°Õæ¾ía1.spr	\image\item\book\Áé¹Æ»ÃĞ°Õæ¾ía0.spr	MËt tŞch l­u tr÷ cæ linh thÇn bİ cña Ngò §éc Cæ S­ “V« Song HuyÒn Linh Cæ”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Cæ S­ cæ thuËt		MËt tŞch		70	0;60	1	21		
Cöu Thiªn Phong L«i Ch©n QuyÓn	0	107	218	1	10	0	1454;1455	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\¾ÅÌì·çÀ×Õæ¾ía1.spr	\image\item\book\¾ÅÌì·çÀ×Õæ¾ía0.spr	Ghi l¹i bïa ph¸p thÇn bİ cña C«n L«n Thiªn S­ "V« Song Cöu Thiªn Phong L«i QuyÕt" víi sù tinh tóy cña chiªu thøc		MËt tŞch		70	0;60	1	23		
Hång TrÇn Tóy Méng Ch©n QuyÓn	0	107	222	1	10	0	1462;1463	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ºì³¾×íÃÎÕæ¾ía1.spr	\image\item\book\ºì³¾×íÃÎÕæ¾ía0.spr	Ghi l¹i vò nghÖ tuyÖt thÕ cña Thóy Yªn Vò Tiªn "V« Song Hång TrÇn Tóy Méng Ng©m" víi sù tinh tóy cña chiªu thøc.		MËt tŞch		70	0;60	1	29		
Phong Hoa Thiªn DiÖp Ch©n QuyÓn	0	107	223	1	10	0	1464;1465	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\·ç»¨Ç§Ò¶Õæ¾ía1.spr	\image\item\book\·ç»¨Ç§Ò¶Õæ¾ía0.spr	Ghi l¹i chuyÓn thÕ kú thuËt cña Thóy Yªn Linh N÷ "V« Song Phong Hoa Thiªn DiÖp" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		70	0;60	1	30		
MËt TŞch Tiªu Dao	0	112	224	1	10	0	1466;1467	0	0	0	0	0	0	0	0	0	0	\image\item\book\åĞÒ£ÃØ¼®a1.spr	\image\item\book\åĞÒ£ÃØ¼®a0.spr	MËt tŞch vâ häc ghi chĞp tuyÖt häc trÊn ph¸i cña Ph¸i Tiªu Dao: L¨ng Ba Vi Bé; tho¸t khái vßng v©y cña v¹n qu©n nh­ ®i gi÷a ®ång v¾ng		MËt tŞch		60	0				L¨ng Ba Vi Bé lµ tuyÖt häc th­îng thõa cña "Tiªu Dao Ph¸i", dïng 64 quÎ ph­¬ng vŞ lµm néi dung quan träng cña bé ph¸p. Cã thÓ nhanh chãng tho¸t khái nh÷ng n¬i nguy hiÓm, nh­ng nÕu gÆp vËt c¶n gi÷a ®­êng sÏ dÉn ®Õn kinh m¹ch ®¹i lo¹n, néi lùc tİch tô dÉn ®Õn th©n thÓ tµn phÕ, v« cïng nguy hiÓm.
MËt TŞch Tiªu Dao Tµn QuyÓn	0	112	225	1	10	0	1469	0	0	0	0	0	0	0	0	0	0	\image\item\book\åĞÒ£ÃØ¼®²Ğ¾ía1.spr	\image\item\book\åĞÒ£ÃØ¼®²Ğ¾ía0.spr	Tµn quyÓn MËt tŞch vâ häc ghi chĞp tuyÖt häc trÊn ph¸i cña Ph¸i Tiªu Dao; cã thÓ gi¶m s¸t th­¬ng cña b¶n th©n		MËt tŞch		60	0				L¨ng Ba Vi Bé lµ tuyÖt häc th­îng thõa cña "Tiªu Dao Ph¸i", dïng 64 quÎ ph­¬ng vŞ lµm néi dung quan träng cña bé ph¸p. Cã thÓ nhanh chãng tho¸t khái nh÷ng n¬i nguy hiÓm, nh­ng nÕu gÆp vËt c¶n gi÷a ®­êng sÏ dÉn ®Õn kinh m¹ch ®¹i lo¹n, néi lùc tİch tô dÉn ®Õn th©n thÓ tµn phÕ, v« cïng nguy hiÓm.
MËt TŞch Tiªu Dao Tµn Ch­¬ng	0	112	226	1	10	0	1470;1471	0	0	0	0	0	0	0	0	0	0	\image\item\book\åĞÒ£ÃØ¼®²ĞÒ³a1.spr	\image\item\book\åĞÒ£ÃØ¼®²ĞÒ³a0.spr	MËt tŞch vâ häc ghi chĞp tuyÖt häc trÊn ph¸i cña Ph¸i Tiªu Dao: L¨ng Ba Vi Bé; tho¸t khái vßng v©y cña v¹n qu©n nh­ ®i gi÷a ®ång v¾ng		MËt tŞch		60	0				L¨ng Ba Vi Bé lµ tuyÖt häc th­îng thõa cña "Tiªu Dao Ph¸i", dïng 64 quÎ ph­¬ng vŞ lµm néi dung quan träng cña bé ph¸p. Cã thÓ nhanh chãng tho¸t khái nh÷ng n¬i nguy hiÓm, nh­ng nÕu gÆp vËt c¶n gi÷a ®­êng sÏ dÉn ®Õn kinh m¹ch ®¹i lo¹n, néi lùc tİch tô dÉn ®Õn th©n thÓ tµn phÕ, v« cïng nguy hiÓm.
Kim Cang B¸t Nh· Ch©n QuyÓn (Cao cÊp)	0	107	30001	1	10	2	1426;1427	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\½ğ¸Õ°ãÈôÕæ¾ía1.spr	\image\item\book\½ğ¸Õ°ãÈôÕæ¾ía0.spr	MËt tŞch l­u tr÷ vâ c«ng huyÒn bİ cña ThiÕu L©m Tôc Gia “V« Song Kim Cang Bµn Nh­îc C«ng” cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia		MËt tŞch		70	0;60	1	2		
TiÒm Long Tóc DiÖt Ch©n QuyÓn (Cao cÊp)	0	107	30002	1	10	2	1428;1429	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\Ç±Áú¼ÅÃğÕæ¾ía1.spr	\image\item\book\Ç±Áú¼ÅÃğÕæ¾ía0.spr	MËt tŞch l­u tr÷ néi c«ng bİ truyÒn cña ThiÕu L©m Vâ T¨ng “V« Song TiÒm Long Tóc DiÖt C«ng”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Vâ T¨ng		MËt tŞch		70	0;60	1	4		
V« TrÇn Bå §Ò Ch©n QuyÓn (Cao cÊp)	0	107	30003	1	10	2	1430;1431	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ÎŞ³¾ÆĞÌáÕæ¾ía1.spr	\image\item\book\ÎŞ³¾ÆĞÌáÕæ¾ía0.spr	MËt tŞch l­u tr÷ néi c«ng bİ truyÒn cña ThiÕu L©m ThiÒn T«ng“V« Song V« TrÇn Bå §Ò C«ng”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i ThiÒn T«ng		MËt tŞch		70	0;60	1	3		
Thiªn La Liªn Ch©u Ch©n QuyÓn (Cao cÊp)	0	107	30004	1	10	1	1432;1433	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ÌìÂŞÁ¬ÖéÕæ¾ía1.spr	\image\item\book\ÌìÂŞÁ¬ÖéÕæ¾ía0.spr	MËt tŞch l­u tr÷ kü thuËt bÉy huyÒn bİ cña §­êng M«n “V« Song Thiªn La Liªn Ch©u Vâng”cïng víi chiªu thøc tinh tóy cña §­êng M«n ¸m khİ thuËt		MËt tŞch		70	0;60	1	6		
Nh­ ı Kim §Ønh Ch©n QuyÓn (Cao cÊp)	0	107	30005	1	10	1	1434;1435	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ÈçÒâ½ğ¶¥Õæ¾ía1.spr	\image\item\book\ÈçÒâ½ğ¶¥Õæ¾ía0.spr	MËt tŞch l­u tr÷ néi c«ng huyÒn bİ cña Nga Mi PhËt Gia “V« Song Nh­ ı Kim Cang §Ønh”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i PhËt Gia 		MËt tŞch		70	0;60	1	8		
Bİch H¶i TuyÖt ¢m Ch©n QuyÓn (Cao cÊp)	0	107	30006	1	10	1	1436;1437	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\±Ìº£¾øÒôÕæ¾ía1.spr	\image\item\book\±Ìº£¾øÒôÕæ¾ía0.spr	MËt tŞch l­u tr÷ cÇm khóc huyÒn bİ cña Nga Mi Tôc Gia “V« Song Bİch H¶i TuyÖt ¢m Khóc”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia cÇm khóc		MËt tŞch		70	0;60	1	9		
Hçn §én TrÊn Nh¹c Ch©n QuyÓn (Cao cÊp)	0	107	30007	1	10	2	1438;1439	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\»ìãçÕòÔÀÕæ¾ía1.spr	\image\item\book\»ìãçÕòÔÀÕæ¾ía0.spr	MËt tŞch l­u tr÷ quyÒn ph¸p cao c¸p cña C¸i Bang TŞnh Y “V« Song Hçn §én TrÊn Nh¹c”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i TŞnh Y		MËt tŞch		70	0;60	1	11		
Quú Thiªn Du Long Ch©n QuyÓn (Cao cÊp)	0	107	30008	1	10	2	1440;1441	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ŞñÌìÓÎÁúÕæ¾ía1.spr	\image\item\book\ŞñÌìÓÎÁúÕæ¾ía0.spr	MËt tŞch l­u tr÷ c«n ph¸p cao cÊp cña C¸i Bang ¤ Y “V« Song Quú Thiªn Du Long C«n”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i ¤ Y		MËt tŞch		70	0;60	1	12		
HuyÒn ¶nh Mª T«ng Ch©n QuyÓn (Cao cÊp)	0	107	30009	1	10	0	1442;1443	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\»ÃÓ°ÃÔ×ÙÕæ¾ía1.spr	\image\item\book\»ÃÓ°ÃÔ×ÙÕæ¾ía0.spr	MËt tŞch l­u tr÷ kiÕm ph¸p thÇn bİ cña Vâ §ang §¹o Gia “V« Song HuyÒn ¶nh Mª T«ng KiÕm”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i §¹o Gia kiÕm khİ		MËt tŞch		70	0;60	1	14		
Qu©n Tö §íi Phong Ch©n QuyÓn (Cao cÊp)	0	107	30010	1	10	0	1444;1445	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\¾ı×Ó½Ø·çÕæ¾ía1.spr	\image\item\book\¾ı×Ó½Ø·çÕæ¾ía0.spr	MËt tŞch l­u tr÷ bót ph¸p th©m thóy cña Vâ §ang Tôc Gia “V« Song Qu©n Tö §íi Phong QuyÕt”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia		MËt tŞch		70	0;60	1	15		
TrÊn Qu©n Phi Long Th­¬ng Ch©n QuyÓn (Cao cÊp)	0	107	30011	1	10	1	1446;1447	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\Õò¾ü·ÉÁúÇ¹Õæ¾ía1.spr	\image\item\book\Õò¾ü·ÉÁúÇ¹Õæ¾ía0.spr	MËt tŞch l­u tr÷ t©m ph¸p bİ truyÒn cña D­¬ng M«n Th­¬ng Kş “V« Song TrÊn Quªn Phi Long Th­¬ng”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Th­¬ng Kş		MËt tŞch		70	0;60	1	17		
Xuyªn V©n L¹c Hång Ch©n QuyÓn (Cao cÊp)	0	107	30012	1	10	1	1448;1449	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\´©ÔÆÂäºçÕæ¾ía1.spr	\image\item\book\´©ÔÆÂäºçÕæ¾ía0.spr	MËt tŞch l­u tr÷ tiÔn thuËt bİ truyÒn cña D­¬ng M«n Cung Kş “V« Song Xuyªn V©n L¹c Hång TIÔn”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Cung Kş		MËt tŞch		70	0;60	1	18		
HuyÒn Minh Phong Ma Ch©n QuyÓn (Cao cÊp)	0	107	30013	1	10	1	1450;1451	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ÓÄÚ¤·âÄ§Õæ¾ía1.spr	\image\item\book\ÓÄÚ¤·âÄ§Õæ¾ía0.spr	MËt tŞch l­u tr÷ tµ thuËt linh chó cña Ngò §éc Tµ HiÖp“V« Song U Minh Phong Ma QuyÕt”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tµ HiÖp ¸m thuËt		MËt tŞch		70	0;60	1	20		
Linh Cæ HuyÒn Tµ Ch©n QuyÓn (Cao cÊp)	0	107	30014	1	10	1	1452;1453	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\Áé¹Æ»ÃĞ°Õæ¾ía1.spr	\image\item\book\Áé¹Æ»ÃĞ°Õæ¾ía0.spr	MËt tŞch l­u tr÷ cæ linh thÇn bİ cña Ngò §éc Cæ S­ “V« Song HuyÒn Linh Cæ”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Cæ S­ cæ thuËt		MËt tŞch		70	0;60	1	21		
Cöu Thiªn Phong L«i Ch©n QuyÓn (Cao cÊp)	0	107	30015	1	10	0	1454;1455	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\¾ÅÌì·çÀ×Õæ¾ía1.spr	\image\item\book\¾ÅÌì·çÀ×Õæ¾ía0.spr	Ghi l¹i bïa ph¸p thÇn bİ cña C«n L«n Thiªn S­ "V« Song Cöu Thiªn Phong L«i QuyÕt" víi sù tinh tóy cña chiªu thøc		MËt tŞch		70	0;60	1	23		
Hång TrÇn Tóy Méng Ch©n QuyÓn (Cao cÊp)	0	107	30016	1	10	0	1462;1463	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ºì³¾×íÃÎÕæ¾ía1.spr	\image\item\book\ºì³¾×íÃÎÕæ¾ía0.spr	Ghi l¹i vò nghÖ tuyÖt thÕ cña Thóy Yªn Vò Tiªn "V« Song Hång TrÇn Tóy Méng Ng©m" víi sù tinh tóy cña chiªu thøc.		MËt tŞch		70	0;60	1	29		
Phong Hoa Thiªn DiÖp Ch©n QuyÓn (Cao cÊp)	0	107	30017	1	10	0	1464;1465	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\·ç»¨Ç§Ò¶Õæ¾ía1.spr	\image\item\book\·ç»¨Ç§Ò¶Õæ¾ía0.spr	Ghi l¹i chuyÓn thÕ kú thuËt cña Thóy Yªn Linh N÷ "V« Song Phong Hoa Thiªn DiÖp" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		70	0;60	1	30		
Kim Cang B¸t Nh· Ch©n QuyÓn (Siªu cÊp)	0	107	30018	1	10	2	1426;1427	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\½ğ¸Õ°ãÈôÕæ¾í¸Äa1.spr	\image\item\book\½ğ¸Õ°ãÈôÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ vâ c«ng huyÒn bİ cña ThiÕu L©m Tôc Gia “V« Song Kim Cang Bµn Nh­îc C«ng” cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia		MËt tŞch		70	0;60	1	2		
TiÒm Long Tóc DiÖt Ch©n QuyÓn (Siªu cÊp)	0	107	30019	1	10	2	1428;1429	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\Ç±Áú¼ÅÃğÕæ¾í¸Äa1.spr	\image\item\book\Ç±Áú¼ÅÃğÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ néi c«ng bİ truyÒn cña ThiÕu L©m Vâ T¨ng “V« Song TiÒm Long Tóc DiÖt C«ng”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Vâ T¨ng		MËt tŞch		70	0;60	1	4		
V« TrÇn Bå §Ò Ch©n QuyÓn (Siªu cÊp)	0	107	30020	1	10	2	1430;1431	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ÎŞ³¾ÆĞÌáÕæ¾í¸Äa1.spr	\image\item\book\ÎŞ³¾ÆĞÌáÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ néi c«ng bİ truyÒn cña ThiÕu L©m ThiÒn T«ng“V« Song V« TrÇn Bå §Ò C«ng”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i ThiÒn T«ng		MËt tŞch		70	0;60	1	3		
Thiªn La Liªn Ch©u Ch©n QuyÓn (Siªu cÊp)	0	107	30021	1	10	1	1432;1433	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ÌìÂŞÁ¬ÖéÕæ¾í¸Äa1.spr	\image\item\book\ÌìÂŞÁ¬ÖéÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ kü thuËt bÉy huyÒn bİ cña §­êng M«n “V« Song Thiªn La Liªn Ch©u Vâng”cïng víi chiªu thøc tinh tóy cña §­êng M«n ¸m khİ thuËt		MËt tŞch		70	0;60	1	6		
Nh­ ı Kim §Ønh Ch©n QuyÓn (Siªu cÊp)	0	107	30022	1	10	1	1434;1435	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ÈçÒâ½ğ¶¥Õæ¾í¸Äa1.spr	\image\item\book\ÈçÒâ½ğ¶¥Õæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ néi c«ng huyÒn bİ cña Nga Mi PhËt Gia “V« Song Nh­ ı Kim Cang §Ønh”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i PhËt Gia 		MËt tŞch		70	0;60	1	8		
Bİch H¶i TuyÖt ¢m Ch©n QuyÓn (Siªu cÊp)	0	107	30023	1	10	1	1436;1437	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\±Ìº£¾øÒôÕæ¾í¸Äa1.spr	\image\item\book\±Ìº£¾øÒôÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ cÇm khóc huyÒn bİ cña Nga Mi Tôc Gia “V« Song Bİch H¶i TuyÖt ¢m Khóc”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia cÇm khóc		MËt tŞch		70	0;60	1	9		
Hçn §én TrÊn Nh¹c Ch©n QuyÓn (Siªu cÊp)	0	107	30024	1	10	2	1438;1439	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\»ìãçÕòÔÀÕæ¾í¸Äa1.spr	\image\item\book\»ìãçÕòÔÀÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ quyÒn ph¸p cao c¸p cña C¸i Bang TŞnh Y “V« Song Hçn §én TrÊn Nh¹c”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i TŞnh Y		MËt tŞch		70	0;60	1	11		
Quú Thiªn Du Long Ch©n QuyÓn (Siªu cÊp)	0	107	30025	1	10	2	1440;1441	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ŞñÌìÓÎÁúÕæ¾í¸Äa1.spr	\image\item\book\ŞñÌìÓÎÁúÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ c«n ph¸p cao cÊp cña C¸i Bang ¤ Y “V« Song Quú Thiªn Du Long C«n”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i ¤ Y		MËt tŞch		70	0;60	1	12		
HuyÒn ¶nh Mª T«ng Ch©n QuyÓn (Siªu cÊp)	0	107	30026	1	10	0	1442;1443	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\»ÃÓ°ÃÔ×ÙÕæ¾í¸Äa1.spr	\image\item\book\»ÃÓ°ÃÔ×ÙÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ kiÕm ph¸p thÇn bİ cña Vâ §ang §¹o Gia “V« Song HuyÒn ¶nh Mª T«ng KiÕm”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i §¹o Gia kiÕm khİ		MËt tŞch		70	0;60	1	14		
Qu©n Tö §íi Phong Ch©n QuyÓn (Siªu cÊp)	0	107	30027	1	10	0	1444;1445	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\¾ı×Ó½Ø·çÕæ¾í¸Äa1.spr	\image\item\book\¾ı×Ó½Ø·çÕæ¾í¸Äa0.spr	MËt tŞch l­u tr÷ bót ph¸p th©m thóy cña Vâ §ang Tôc Gia “V« Song Qu©n Tö §íi Phong QuyÕt”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia		MËt tŞch		70	0;60	1	15		
