Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Liªu §« Thèng chiÕn trang	0	101	2236	50	100000	0	100	30;30					22036	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞÏÂÉí007	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu §« Thèng chiÕn trang	0	101	2237	50	100000	0	100	30;30					22037	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu §« Thèng chiÕn trang	0	101	2238	50	100000	0	100	30;30					22038	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®ÏÂÉí014	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng t­íng qu©n chiÕn phôc	0	101	2241	50	200000	0	120	35;35					22041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞ»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng t­íng qu©n chiÕn phôc	0	101	2242	50	200000	0	120	35;35					22042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞ»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng t­íng qu©n chiÕn phôc	0	101	2243	50	200000	0	120	35;35					22043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng t­íng qu©n chiÕn phôc	0	101	2244	50	200000	0	120	35;35					22044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu t­íng qu©n chiÕn phôc	0	101	2245	50	200000	0	120	35;35					22045	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞ»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu t­íng qu©n chiÕn phôc	0	101	2246	50	200000	0	120	35;35					22046	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞ»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu t­íng qu©n chiÕn phôc	0	101	2247	50	200000	0	120	35;35					22047	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu t­íng qu©n chiÕn phôc	0	101	2248	50	200000	0	120	35;35					22048	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng nguyªn so¸i chiÕn phôc	0	101	2251	50	500000	0	150	40;40					22051	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞ»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng nguyªn so¸i chiÕn phôc	0	101	2252	50	500000	0	150	40;40					22052	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞ»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng nguyªn so¸i chiÕn phôc	0	101	2253	50	500000	0	150	40;40					22053	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng nguyªn so¸i chiÕn phôc	0	101	2254	50	500000	0	150	40;40					22054	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu nguyªn so¸i chiÕn phôc	0	101	2255	50	500000	0	150	40;40					22055	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄĞ»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu nguyªn so¸i chiÕn phôc	0	101	2256	50	500000	0	150	40;40					22056	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ıÎàÄĞ»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu nguyªn so¸i chiÕn phôc	0	101	2257	50	500000	0	150	40;40					22057	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ĞÔ¸ĞÅ®»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu nguyªn so¸i chiÕn phôc	0	101	2258	50	500000	0	150	40;40					22058	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ğ¡Å®»Æ½ğ×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tö Quang Hé Trang	0	101	2351	70	15000	0	180	25;25					2351	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	Tö Quang C¸c phæ th«ng hé trang	±ê×¼ÄĞÏÂÉí002	§· khãa		7	2	1		0					
Tö Quang Hé Trang	0	101	2352	70	15000	0	180	25;25					2352	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Tö Quang C¸c phæ th«ng hé trang	¿ıÎàÄĞÏÂÉí001	§· khãa		7	2	1		0					
Tö Quang Hé Trang	0	101	2353	70	15000	0	180	25;25					2353	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Tö Quang C¸c phæ th«ng hé trang	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		7	2	1		0					
Tö Quang Hé Trang	0	101	2354	70	15000	0	180	25;25					2354	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Tö Quang C¸c phæ th«ng hé trang	½¿Ğ¡Å®ÏÂÉí005	§· khãa		7	2	1		0					
Tö Quang ChiÕn Trang	0	101	2355	80	30000	0	200	30;30					32355	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	±ê×¼ÄĞÏÂÉí018			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2356	80	30000	0	200	30;30					32356	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	¿ıÎàÄĞÏÂÉí007			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2357	80	30000	0	200	30;30					32357	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	ĞÔ¸ĞÅ®ÏÂÉí036			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2358	80	30000	0	200	30;30					32358	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	½¿Ğ¡Å®ÏÂÉí014			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2359	80	30000	0	200	30;30					32359	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	±ê×¼ÄĞÏÂÉí018			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2360	80	30000	0	200	30;30					32360	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	¿ıÎàÄĞÏÂÉí007			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2361	80	30000	0	200	30;30					32361	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	ĞÔ¸ĞÅ®ÏÂÉí036			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2362	80	30000	0	200	30;30					32362	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	½¿Ğ¡Å®ÏÂÉí014			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2363	80	30000	0	200	30;30					32363	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	±ê×¼ÄĞÏÂÉí018			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2364	80	30000	0	200	30;30					32364	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	¿ıÎàÄĞÏÂÉí007			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2365	80	30000	0	200	30;30					32365	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	ĞÔ¸ĞÅ®ÏÂÉí036			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2366	80	30000	0	200	30;30					32366	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	½¿Ğ¡Å®ÏÂÉí014			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2367	80	30000	0	200	30;30					32367	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	±ê×¼ÄĞÏÂÉí018			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2368	80	30000	0	200	30;30					32368	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	¿ıÎàÄĞÏÂÉí007			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2369	80	30000	0	200	30;30					32369	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	ĞÔ¸ĞÅ®ÏÂÉí036			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2370	80	30000	0	200	30;30					32370	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	½¿Ğ¡Å®ÏÂÉí014			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2371	80	30000	0	200	30;30					32371	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	±ê×¼ÄĞÏÂÉí018			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2372	80	30000	0	200	30;30					32372	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	¿ıÎàÄĞÏÂÉí007			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2373	80	30000	0	200	30;30					32373	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	ĞÔ¸ĞÅ®ÏÂÉí036			8	2	1		0					
Tö Quang ChiÕn Trang	0	101	2374	80	30000	0	200	30;30					32374	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Tö Quang C¸c dµy c«ng chÕ t¹o thµnh chiÕn trang, n©ng cao n¨ng lùc cùc m¹nh	½¿Ğ¡Å®ÏÂÉí014			8	2	1		0					
Thanh §Æc Trang	0	101	2500	10	100	0	100	10;10					25000	10	1	1		\image\item\shoe\man1_tro_001a1.spr	\image\item\shoe\man1_tro_001a0.spr	Trang bŞ s¬ cÊp s­ phô ban tÆng, göi g¾m nhiÒu kú väng.	±ê×¼ÄĞÏÂÉí001	§· khãa		3	2	1		0					
Thanh §Æc Trang	0	101	2501	10	100	0	100	10;10					25001	10	1	2		\image\item\shoe\man2_tro_001a1.spr	\image\item\shoe\man2_tro_001a0.spr	Trang bŞ s¬ cÊp s­ phô ban tÆng, göi g¾m nhiÒu kú väng.	¿ıÎàÄĞÏÂÉí004	§· khãa		3	2	1		0					
Thanh §Æc Trang	0	101	2502	10	100	0	100	10;10					25002	10	2	3		\image\item\shoe\fm1_tro_001a1.spr	\image\item\shoe\fm1_tro_001a0.spr	Trang bŞ s¬ cÊp s­ phô ban tÆng, göi g¾m nhiÒu kú väng.	ĞÔ¸ĞÅ®ÏÂÉí033	§· khãa		3	2	1		0					
Thanh §Æc Trang	0	101	2503	10	100	0	100	10;10					25003	10	2	4		\image\item\shoe\fm2_tro_001a1.spr	\image\item\shoe\fm2_tro_001a0.spr	Trang bŞ s¬ cÊp s­ phô ban tÆng, göi g¾m nhiÒu kú väng.	½¿Ğ¡Å®ÏÂÉí003	§· khãa		3	2	1		0					
S­ ¢n Trang	0	101	2504	30	10000	0	200	18;18					25004	73	1	1		\image\item\shoe\man1_tro_018a1.spr	\image\item\shoe\man1_tro_018a0.spr	Trang bŞ cao cÊp s­ phô ban tÆng, lµ vËt dông x«ng pha giang hå khi x­a	±ê×¼ÄĞÏÂÉí009	§· khãa		7	2	1		0					
S­ ¢n Trang	0	101	2505	30	10000	0	200	18;18					25005	73	1	2		\image\item\shoe\man2_tro_018a1.spr	\image\item\shoe\man2_tro_018a0.spr	Trang bŞ cao cÊp s­ phô ban tÆng, lµ vËt dông x«ng pha giang hå khi x­a	¿ıÎàÄĞÏÂÉí016	§· khãa		7	2	1		0					
S­ ¢n Trang	0	101	2506	30	10000	0	200	18;18					25006	73	2	3		\image\item\shoe\fm1_tro_018a1.spr	\image\item\shoe\fm1_tro_018a0.spr	Trang bŞ cao cÊp s­ phô ban tÆng, lµ vËt dông x«ng pha giang hå khi x­a	ĞÔ¸ĞÅ®ÏÂÉí026	§· khãa		7	2	1		0					
S­ ¢n Trang	0	101	2507	30	10000	0	200	18;18					25007	73	2	4		\image\item\shoe\fm2_tro_018a1.spr	\image\item\shoe\fm2_tro_018a0.spr	Trang bŞ cao cÊp s­ phô ban tÆng, lµ vËt dông x«ng pha giang hå khi x­a	½¿Ğ¡Å®ÏÂÉí018	§· khãa		7	2	1		0					
Danh Bé Trang	0	101	8005	50	40000	0	200	28;28					80005	80	1	1		\image\item\shoe\²¶¿ì×°¿ã×Ó¡ªÄĞa1.spr	\image\item\shoe\²¶¿ì×°¿ã×Ó¡ªÄĞa0.spr	ChÕ phôc cña Danh Bé, mÒm vµ nhÑ, trang phôc lı t­ëng cña c¸c cao thñ vâ l©m	±ê×¼ÄĞ²¶¿ì×°	§· khãa	\script\item\equipment_skill.lua	9	1	1		0					
Danh Bé Trang	0	101	8006	50	40000	0	200	28;28					80006	80	1	2		\image\item\shoe\²¶¿ì×°¿ã×Ó¡ªÄĞa1.spr	\image\item\shoe\²¶¿ì×°¿ã×Ó¡ªÄĞa0.spr	ChÕ phôc cña Danh Bé, mÒm vµ nhÑ, trang phôc lı t­ëng cña c¸c cao thñ vâ l©m	¿ıÎàÄĞ²¶¿ì×°	§· khãa	\script\item\equipment_skill.lua	9	1	1		0					
Danh Bé Trang	0	101	8007	50	40000	0	200	28;28					80007	80	2	3		\image\item\shoe\²¶¿ì×°¿ã×Ó¡ªÅ®a1.spr	\image\item\shoe\²¶¿ì×°¿ã×Ó¡ªÅ®a0.spr	ChÕ phôc cña Danh Bé, mÒm vµ nhÑ, trang phôc lı t­ëng cña c¸c cao thñ vâ l©m	ĞÔ¸ĞÅ®²¶¿ì×°	§· khãa	\script\item\equipment_skill.lua	9	1	1		0					
Danh Bé Trang	0	101	8008	50	40000	0	200	28;28					80008	80	2	4		\image\item\shoe\²¶¿ì×°¿ã×Ó¡ªÅ®a1.spr	\image\item\shoe\²¶¿ì×°¿ã×Ó¡ªÅ®a0.spr	ChÕ phôc cña Danh Bé, mÒm vµ nhÑ, trang phôc lı t­ëng cña c¸c cao thñ vâ l©m	½¿Ğ¡Å®²¶¿ì×°	§· khãa	\script\item\equipment_skill.lua	9	1	1		0					
VÖ Binh Trang	0	101	8009	50	10000	0	200	24;24					80009	70	1	1		\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	H¹ trang vÖ binh thµnh thŞ	±ê×¼ÄĞÏÂÉí002	§· khãa		7	1	1		0					
VÖ Binh Trang	0	101	8010	50	10000	0	200	24;24					80010	70	1	2		\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	H¹ trang vÖ binh thµnh thŞ	¿ıÎàÄĞÏÂÉí001	§· khãa		7	1	1		0					
VÖ Binh Trang	0	101	8011	50	10000	0	200	24;24					80011	70	2	3		\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	H¹ trang vÖ binh thµnh thŞ	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		7	1	1		0					
VÖ Binh Trang	0	101	8012	50	10000	0	200	24;24					80012	70	2	4		\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	H¹ trang vÖ binh thµnh thŞ	½¿Ğ¡Å®ÏÂÉí005	§· khãa		7	1	1		0					
Thµnh Chñ ChiÕn Trang	0	101	8013	50	450000	0	200	28;28					80014	80	1	1		\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	H¹ trang thµnh chñ dïng lóc tËp vâ, trang nghiªm anh dòng	±ê×¼ÄĞ»Æ½ğ×°	§· khãa	\script\item\equipment_skill.lua	10	1	1		0					
Thµnh Chñ ChiÕn Trang	0	101	8014	50	450000	0	200	28;28					80015	80	1	2		\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	H¹ trang thµnh chñ dïng lóc tËp vâ, trang nghiªm anh dòng	¿ıÎàÄĞ»Æ½ğ×°	§· khãa	\script\item\equipment_skill.lua	10	1	1		0					
QuËn Chóa ChiÕn phôc	0	101	8015	50	450000	0	200	28;28					80016	80	2	3		\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	H¹ trang cña QuËn Chóa mÆc khi luyÖn vâ, oai phong nh­ng yÓu ®iÖu	ĞÔ¸ĞÅ®»Æ½ğ×°	§· khãa	\script\item\equipment_skill.lua	10	1	1		0					
QuËn Chóa ChiÕn phôc	0	101	8016	50	450000	0	200	28;28					80017	80	2	4		\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	H¹ trang cña QuËn Chóa mÆc khi luyÖn vâ, oai phong nh­ng yÓu ®iÖu	½¿Ğ¡Å®»Æ½ğ×°	§· khãa	\script\item\equipment_skill.lua	10	1	1		0					
ChØ TrÇn Trang	0	101	2600	30	15000	0	200	18;18					260000	80	1	1		\image\item\shoe\man1_tro_015a1.spr	\image\item\shoe\man1_tro_015a0.spr	Sa m¹c hoang vu, ®Çy giã vµ c¸t. Trang phôc mÆc trong vïng sa m¹c chèng l¹i giã bôi.	±ê×¼ÄĞÏÂÉí006	§· khãa		9	2	1		0					
ChØ TrÇn Trang	0	101	2601	30	15000	0	200	18;18					260001	80	1	2		\image\item\shoe\man2_tro_013a1.spr	\image\item\shoe\man2_tro_013a0.spr	Sa m¹c hoang vu, ®Çy giã vµ c¸t. Trang phôc mÆc trong vïng sa m¹c chèng l¹i giã bôi.	¿ıÎàÄĞÏÂÉí005	§· khãa		9	2	1		0					
