Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ThiÓu D­¬ng c©n	0	103	1511	25	4000	0	150	12;12					15011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang tôc gia th­êng mang khi luyÖn Néi c«ng	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	15	0					
ThiÓu D­¬ng c©n	0	103	1512	25	4000	0	150	12;12					15012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang tôc gia th­êng mang khi luyÖn Néi c«ng	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	15	0					
ThiÓu D­¬ng c©n	0	103	1513	25	4000	0	150	12;12					15013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang tôc gia th­êng mang khi luyÖn Néi c«ng	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	15	0					
ThiÓu D­¬ng c©n	0	103	1514	25	4000	0	150	12;12					15014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang tôc gia th­êng mang khi luyÖn Néi c«ng	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	15	0					
Linh Phong c©n	0	103	1521	30	14000	0	200	18;18					15021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Linh Phong c©n	0	103	1522	30	14000	0	200	18;18					15022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Linh Phong c©n	0	103	1523	30	14000	0	200	18;18					15023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Linh Phong c©n	0	103	1524	30	14000	0	200	18;18					15024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Linh Phong c©n	0	103	15219	30	0	0	200	18;18					915021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	15	0					
Linh Phong c©n	0	103	15229	30	0	0	200	18;18					915022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	15	0					
Linh Phong c©n	0	103	15239	30	0	0	200	18;18					915023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	15	0					
Linh Phong c©n	0	103	15249	30	0	0	200	18;18					915024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	15	0					
Khinh Kş kh«i	0	103	1701	20	2	0	120	8;12					17001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Phôc trang cña ®Ö tö cÊp thÊp D­¬ng M«n	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	17	0					
Khinh Kş kh«i	0	103	1702	20	2	0	120	8;12					17002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Phôc trang cña ®Ö tö cÊp thÊp D­¬ng M«n	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	17	0					
Khinh Kş kh«i	0	103	1703	20	2	0	120	8;12					17003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Phôc trang cña ®Ö tö cÊp thÊp D­¬ng M«n	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	17	0					
Khinh Kş kh«i	0	103	1704	20	2	0	120	8;12					17004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Phôc trang cña ®Ö tö cÊp thÊp D­¬ng M«n	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	17	0					
HiÖu óy kh«i	0	103	1711	25	4000	0	150	10;15					17011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	PhÇn th­ëng cho c¸c ®Ö tö D­¬ng M«n ®­îc t¨ng cÊp hiÖu óy	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	17	0					
HiÖu óy kh«i	0	103	1712	25	4000	0	150	10;15					17012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	PhÇn th­ëng cho c¸c ®Ö tö D­¬ng M«n ®­îc t¨ng cÊp hiÖu óy	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	17	0					
HiÖu óy kh«i	0	103	1713	25	4000	0	150	10;15					17013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	PhÇn th­ëng cho c¸c ®Ö tö D­¬ng M«n ®­îc t¨ng cÊp hiÖu óy	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	17	0					
HiÖu óy kh«i	0	103	1714	25	4000	0	150	10;15					17014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	PhÇn th­ëng cho c¸c ®Ö tö D­¬ng M«n ®­îc t¨ng cÊp hiÖu óy	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	17	0					
Tinh Gi¸p kh«i	0	103	1721	30	14000	0	200	12;20					17021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö D­¬ng M«n khi ®­îc t¨ng cÊp t­íng qu©n	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0					
Tinh Gi¸p kh«i	0	103	1722	30	14000	0	200	12;20					17022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö D­¬ng M«n khi ®­îc t¨ng cÊp t­íng qu©n	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0					
Tinh Gi¸p kh«i	0	103	1723	30	14000	0	200	12;20					17023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö D­¬ng M«n khi ®­îc t¨ng cÊp t­íng qu©n	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0					
Tinh Gi¸p kh«i	0	103	1724	30	14000	0	200	12;20					17024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö D­¬ng M«n khi ®­îc t¨ng cÊp t­íng qu©n	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0					
Tinh Gi¸p kh«i	0	103	17219	30	0	0	200	12;20					917021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö D­¬ng M«n khi ®­îc t¨ng cÊp t­íng qu©n	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	17	0					
Tinh Gi¸p kh«i	0	103	17229	30	0	0	200	12;20					917022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö D­¬ng M«n khi ®­îc t¨ng cÊp t­íng qu©n	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	17	0					
Tinh Gi¸p kh«i	0	103	17239	30	0	0	200	12;20					917023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö D­¬ng M«n khi ®­îc t¨ng cÊp t­íng qu©n	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	17	0					
Tinh Gi¸p kh«i	0	103	17249	30	0	0	200	12;20					917024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö D­¬ng M«n khi ®­îc t¨ng cÊp t­íng qu©n	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	17	0					
Nç Thñ kh«i	0	103	1801	20	2	0	120	8;12					18001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Phôc trang cña ®Ö tö cÊp thÊp D­¬ng M«n	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	18	0					
Nç Thñ kh«i	0	103	1802	20	2	0	120	8;12					18002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Phôc trang cña ®Ö tö cÊp thÊp D­¬ng M«n	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	18	0					
Nç Thñ kh«i	0	103	1803	20	2	0	120	8;12					18003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Phôc trang cña ®Ö tö cÊp thÊp D­¬ng M«n	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	18	0					
Nç Thñ kh«i	0	103	1804	20	2	0	120	8;12					18004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Phôc trang cña ®Ö tö cÊp thÊp D­¬ng M«n	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	18	0					
§« óy kh«i	0	103	1811	25	4000	0	150	10;15					18011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi th¨ng chøc §« óy	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	18	0					
§« óy kh«i	0	103	1812	25	4000	0	150	10;15					18012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi th¨ng chøc §« óy	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	18	0					
§« óy kh«i	0	103	1813	25	4000	0	150	10;15					18013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi th¨ng chøc §« óy	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	18	0					
§« óy kh«i	0	103	1814	25	4000	0	150	10;15					18014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi th¨ng chøc §« óy	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	18	0					
Tinh Gi¸p kh«i	0	103	1821	30	14000	0	200	12;20					18021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0					
Tinh Gi¸p kh«i	0	103	1822	30	14000	0	200	12;20					18022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0					
Tinh Gi¸p kh«i	0	103	1823	30	14000	0	200	12;20					18023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0					
Tinh Gi¸p kh«i	0	103	1824	30	14000	0	200	12;20					18024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0					
Tinh Gi¸p kh«i	0	103	18219	30	0	0	200	12;20					918021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	18	0					
Tinh Gi¸p kh«i	0	103	18229	30	0	0	200	12;20					918022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	18	0					
Tinh Gi¸p kh«i	0	103	18239	30	0	0	200	12;20					918023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	18	0					
Tinh Gi¸p kh«i	0	103	18249	30	0	0	200	12;20					918024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	18	0					
§o¹t Ph¸ch diÖn	0	103	2001	20	2	0	120	10;10					20001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc.	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	20	0					
§o¹t Ph¸ch diÖn	0	103	2002	20	2	0	120	10;10					20002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc.	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	20	0					
§o¹t Ph¸ch diÖn	0	103	2003	20	2	0	120	10;10					20003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc.	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	20	0					
§o¹t Ph¸ch diÖn	0	103	2004	20	2	0	120	10;10					20004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc.	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	20	0					
Th«i MÖnh diÖn	0	103	2011	25	4000	0	150	12;12					20011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc.	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	20	0					
Th«i MÖnh diÖn	0	103	2012	25	4000	0	150	12;12					20012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc.	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	20	0					
Th«i MÖnh diÖn	0	103	2013	25	4000	0	150	12;12					20013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc.	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	20	0					
Th«i MÖnh diÖn	0	103	2014	25	4000	0	150	12;12					20014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc.	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	20	0					
M·nh §éc diÖn	0	103	2021	30	14000	0	200	18;18					20021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Do gi¸o chñ Ngò §éc Gi¸o chÕ t¹o ra ®Ó ®Ö tö tu luyÖn	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	20	0					
M·nh §éc diÖn	0	103	2022	30	14000	0	200	18;18					20022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Do gi¸o chñ Ngò §éc Gi¸o chÕ t¹o ra ®Ó ®Ö tö tu luyÖn	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	20	0					
M·nh §éc diÖn	0	103	2023	30	14000	0	200	18;18					20023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Do gi¸o chñ Ngò §éc Gi¸o chÕ t¹o ra ®Ó ®Ö tö tu luyÖn	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	20	0					
M·nh §éc diÖn	0	103	2024	30	14000	0	200	18;18					20024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Do gi¸o chñ Ngò §éc Gi¸o chÕ t¹o ra ®Ó ®Ö tö tu luyÖn	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	20	0					
M·nh §éc diÖn	0	103	20219	30	0	0	200	18;18					920021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Do gi¸o chñ Ngò §éc Gi¸o chÕ t¹o ra ®Ó ®Ö tö tu luyÖn	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	20	0					
M·nh §éc diÖn	0	103	20229	30	0	0	200	18;18					920022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Do gi¸o chñ Ngò §éc Gi¸o chÕ t¹o ra ®Ó ®Ö tö tu luyÖn	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	20	0					
M·nh §éc diÖn	0	103	20239	30	0	0	200	18;18					920023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Do gi¸o chñ Ngò §éc Gi¸o chÕ t¹o ra ®Ó ®Ö tö tu luyÖn	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	20	0					
M·nh §éc diÖn	0	103	20249	30	0	0	200	18;18					920024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Do gi¸o chñ Ngò §éc Gi¸o chÕ t¹o ra ®Ó ®Ö tö tu luyÖn	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	20	0					
§éc Tµm diÖn	0	103	2101	20	2	0	120	8;12					21001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	21	0					
§éc Tµm diÖn	0	103	2102	20	2	0	120	8;12					21002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	21	0					
§éc Tµm diÖn	0	103	2103	20	2	0	120	8;12					21003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	21	0					
§éc Tµm diÖn	0	103	2104	20	2	0	120	8;12					21004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö Ngò §éc th­êng mang khi luyÖn ®éc d­îc	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	21	0					
Thùc T©m diÖn	0	103	2111	25	4000	0	150	10;15					21011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Trang bŞ cña ®Ö tö cÊp cao Ngò §éc	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	21	0					
Thùc T©m diÖn	0	103	2112	25	4000	0	150	10;15					21012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Trang bŞ cña ®Ö tö cÊp cao Ngò §éc	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	21	0					
Thùc T©m diÖn	0	103	2113	25	4000	0	150	10;15					21013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Trang bŞ cña ®Ö tö cÊp cao Ngò §éc	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	21	0					
Thùc T©m diÖn	0	103	2114	25	4000	0	150	10;15					21014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Trang bŞ cña ®Ö tö cÊp cao Ngò §éc	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	21	0					
