ID	Name	Type	EffectDesc	BGDesc	AniPlaySpeed	AniBurstSkillOnHorse	AniEndSkillOnHorse	AniBurstSkillNotOnHorse	AniEndSkillNotOnHorse	LauncherBurstSFX_1	LauncherBurstSFXPos_1	LauncherBurstSFXWaittime_1	LauncherBurstSFX_2	LauncherBurstSFXPos_2	LauncherBurstSFXWaittime_2	LauncherEndSFX	LauncherEndSFXPos	LauncherEndSFXWaittime	TargetSFX	TargetSFXPos	PersistSFX_1	PersistSFXPos_1	PersistSFX_2	PersistSFXPos_2	LauncherBurstSound_1	LauncherBurstSoundWaittime_1	LauncherBurstSound_2	LauncherBurstSoundWaittime_2	TargetSound	PersistSound	Blade	BladeAni	BladeMtl	BlurNum	BlurInterval	Icon	Desc	NameColor	SubSkill1Name	SubSkill1Desc	SubSkill2Name	SubSkill2Desc	SubSkillOwnerID
641	KiÕm Ma-§¸nh ngo¹i c«ng (phæ th«ng)				100			*¹¥»÷00																																			
642	KiÕm Ma-§¸nh néi c«ng (phæ th«ng)				100			*¹¥»÷00																																			
643	BOSS Cho¸ng ph¹m vi lín				100			*¹¥»÷01											¶ëáÒ\220_c(ÃÔĞÄÆ®ÏãÇú).3e	1																							
644	BOSS Hçn lo¹n ph¹m vi lín				100			*¹¥»÷01											¶ëáÒ\217_c(Ñô¹ØÈıµş).3e	1																							
645	BOSS Lµm ngñ ph¹m vi lín				100			*¹¥»÷01											¶ëáÒ\214_c(ÔÂÊ´Çú).3e	1																							
646	BOSS Tª liÖt ph¹m vi lín				100			*¹¥»÷01											Îäµ±\424_c_2(ÆßĞÇ¾÷).3e	1																							
647	BOSS §Şnh th©n ph¹m vi lín				100			*¹¥»÷01											¶ëáÒ\219_c(ÎÚÒ¹Ìä).3e	1																							
648	BOSS §¸nh lui ph¹m vi lín				100			*¹¥»÷01																																			
649	BOSS §¸nh ng· ph¹m vi lín				100			*¹¥»÷01																																			
650	BOSS §¸nh hç trî ph¹m vi lín				100			*¹¥»÷01											ÌÆÃÅ\107_c(´©ĞÄ´Ì).3e	1																							
651	BOSS Khãa chÆt ph¹m vi lín				100			*¹¥»÷01																																			
661	BOSS KĞo ng­êi ph¹m vi lín				100			*¹¥»÷01											Îäµ±\413_b(Óù½£¾÷).3e	1																							
662	BOSS §¸nh h×nh qu¹t				100			*¹¥»÷01												1																							
663	BOSS Tróng ®éc ph¹m vi lín				100			*¹¥»÷01											ÌÆÃÅ\¶¾Îí.3e	1																							
664	BOSS Duy tr× s¸t th­¬ng ph¹m vi lín				100			*¹¥»÷01											Ø¤°ï\314_c(°ÔÍõĞ¶¼×).3e	1																							
665	BOSS §¸nh ngo¹i c«ng toµn khu vùc				100			*¹¥»÷01																																			
666	BOSS §¸nh néi c«ng toµn khu vùc				100			*¹¥»÷01																																			
667	BOSS Cuång b¹o				100			*¹¥»÷01													Ø¤°ï\307_b(×íµû).3e	1																					
668	BOSS Tù trŞ liÖu				100			*¹¥»÷01											Îäµ±\423_a(ÁùÆø»¯Óñ¹¦).3e	1																							
669	BOSS TriÖu gäi				100			*¹¥»÷01																																			
670	BOSS Duy tr× s¸t th­¬ng ®­êng th¼ng				100			*¹¥»÷01																																			
671	Th­¬ng ThÇn Doanh Thiªn ®¸nh ngo¹i c«ng				100			*¹¥»÷00																																			
672	BOSS §¸nh ngÉu nhiªn 2				100			*¹¥»÷01																																			
673	BOSS V« ®Şch				100			*¹¥»÷01													ÃØ¼®\Õ´ÒÂÊ®°Ëµø.3e	1																					
674	Tæng qu¶n-§¸nh ngo¹i c«ng (phæ th«ng) 2				100			*¹¥»÷00																																			
675	TiÓu th­-§¸nh ngo¹i c«ng (phæ th«ng) 2				100			*¹¥»÷00																																			
676	Trang chñ-§¸nh néi c«ng (phæ th«ng) 2				100			*¹¥»÷00																																			
677	Tr­ëng l·o-§¸nh ngo¹i c«ng (phæ th«ng) 2				100			*¹¥»÷00																																			
678	Tr­ëng l·o-§¸nh néi c«ng (phæ th«ng) 2				100			*¹¥»÷00																																			
679	KiÕm Ma-§¸nh ngo¹i c«ng (phæ th«ng) 2				100			*¹¥»÷00																																			
680	KiÕm Ma-§¸nh néi c«ng (phæ th«ng) 2				100			*¹¥»÷00																																			
681	KiÕm §o¹n TËt Xuyªn				100			*¹¥»÷01											Îäµ±\413_b(Óù½£¾÷).3e	1																							
683	H×nh Xuyªn NhËt NguyÖt				100			*¹¥»÷01											ÌÆÃÅ\¶¾Îí.3e	1																							
685	Khİ Th«ng Tam Giíi				100			*¹¥»÷01																																			
687	Tinh Qu¸n Linh Tiªu				100			*¹¥»÷01													Ø¤°ï\307_b(×íµû).3e	1																					
689	Ngò Hµnh §ång Huy				100			*¹¥»÷01																																			
691	Linh Du Chóng Thiªn				100			*¹¥»÷00																																			
693	Cöu Long Héi Tô				100			*¹¥»÷01													ÃØ¼®\Õ´ÒÂÊ®°Ëµø.3e	1																					
695	V¹n KiÕm Quy T«ng				100			*¹¥»÷00																																			
699	Quang V« Cùc				100			*¹¥»÷00																																			
701	NPC §¸nh ngo¹i c«ng (gÇn)				100			*¹¥»÷00																																			
702	NPC §¸nh ngo¹i c«ng (xa)				100			*¹¥»÷00																																			
703	NPC §¸nh néi c«ng (gÇn)				100			*¹¥»÷00																																			
704	NPC §¸nh néi c«ng (xa)				100			*¹¥»÷00																																			
705	NPC tÊn c«ng tiÔn				100			*¹¥»÷00																																			
706	NPC §¸nh ngo¹i c«ng (gÇn) 2				100			*¹¥»÷01																																			
707	NPC §¸nh ngo¹i c«ng (xa) 2				100			*¹¥»÷01																																			
708	NPC §¸nh néi c«ng (gÇn) 2				100			*¹¥»÷01																																			
709	NPC §¸nh néi c«ng (xa) 2				100			*¹¥»÷01																																			
710	NPC tÊn c«ng tiÔn 2				100			*¹¥»÷01																																			
711	BOSS TriÖu gäi ®¹n				100			*¹¥»÷00																																			
713	BOSS Th¶ ®éc				100			*¹¥»÷01																																			
714	BOSS TriÖu gäi ®¹n 2				100			*¹¥»÷01																																			
716	BOSS TriÖu gäi ®¹n 3				100			*¹¥»÷01																																			
720	D­¬ng Gia Th­¬ng T©m Ph¸p	<color=Purple> NhËp m«n	<color=White>Yªu cÇu vò khİ <color=Blue1>th­¬ng<enter><color=White>Khi ngåi thiÒn, mçi 10 gi©y t¨ng håi phôc sinh lùc <color=Blue1>[=state_2] <color=White>®iÓm<enter><color=White>T¨ng tèc ®é tÊn c«ng <color=Blue1>[=state_0]%<enter><color=White>Tû lÖ phßng thñ néi c«ng t¨ng <color=Blue1>[=state_1]%<enter><color=White>Néi c«ng ¶nh h­ëng ®Õn ®iÓm néi lùc t¨ng <color=Blue1>[=state_7]%<enter><color=White>Tèc ®é lªn ngùa t¨ng <color=Blue1>[=state_8]%{<enter><color=White>Tèc ®é håi phôc ngo¹i th­¬ng t¨ng <color=Blue1>[=state_3]%}<enter><color=Blue1>Söa phßng ngù l­u ph¸i<enter><color=Blue1>Söa hiÖu qu¶ d­îc liÖu		100																															Ñî¼ÒÇ¹ĞÄ·¨.spr	D­¬ng M«n Th­¬ng Kş t©m ph¸p, t¨ng phßng thñ vµ kş thuËt	Gold					
721	D­¬ng Gia Th­¬ng Ph¸p Tæng QuyÕt	<color=Purple> Vâ c«ng bŞ ®éng	<color=White>N©ng cao lùc tÊn c«ng b»ng th­¬ng <color=Blue1>[=state_1]%.<enter><color=White>T¨ng thªm <color=Blue1>[=state_2<color=White> ®iÓm lùc tÊn c«ng th­¬ng		100																															Ñî¼ÒÇ¹·¨×Ü¾ö.spr	D­¬ng M«n th­¬ng ph¸p c¬ b¶n, t¨ng lùc tÊn c«ng khi sö dông th­¬ng	Gold					
722	Ph¸ Phong Th­¬ng	<color=Blue3> C«ng kİch ngo¹i c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm <enter>Liªn tôc xuÊt chiªu<enter>XuÊt thøc thø 1 <color=Blue1>[=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn<enter><color=White>Thøc 2: <color=Blue1>[=746=damage_0] ®iÓm <color=White>tÊn c«ng <color=Blue1>[=746=skill_missle_num] <color=White>lÇn<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>2 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100	Ñî¼ÒÆÆ·çÇ¹_ÂíÉÏ		Ñî¼ÒÆÆ·çÇ¹_ÂíÏÂ																	ÑîÃÅ\Ñî¼ÒÆÆ·çÇ¹A.wav						³¤¹÷.blade	ÑîÃÅÇ¹Æï.Ani	°×É«1.Mtl			Ñî¼ÒÆÆ·çÇ¹.spr	D­¬ng M«n th­¬ng ph¸p s¬ cÊp, liªn tôc tÊn c«ng môc tiªu ®¬n lÎ	Gold	Xuyªn Ch©m DÉn TuyÕn	<color=White>Gi¶m <color=Blue1>15% <color=White>phßng thñ cña môc tiªu trong 10 gi©y			746
746	D­¬ng Gia Ph¸ Phong Th­¬ng (Tö)																																						Xuyªn Ch©m DÉn TuyÕn				
723	D­¬ng Gia Ngù M· ThuËt	<color=Purple> Vâ c«ng bŞ ®éng	<color=White>§iÓm phßng ngù t¨ng <color=Blue1>[=state_0] <color=White>®iÓm<enter><color=White>Mçi khi ngùa t¨ng 1 cÊp, ®iÓm phßng ngù t¨ng thªm <color=Blue1>[=state_1/100] <color=White>®iÓm<enter><color=Blue1>CÇn ph¶i c­ìi ngùa míi t¨ng phßng ngù<enter><color=White>Chİnh x¸c t¨ng <color=Blue1>5%		100																															Ñî¼ÒÔ¦ÂíÊõ.spr	D­¬ng M«n m· thuËt s¬ cÊp, t¨ng phßng thñ khi c­ìi ngùa	Gold					
724	D­¬ng Gia B«n Lang Th­¬ng	<color=Blue3> Chñ ®éng tÊn c«ng	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point]<color=White>®iÓm. <enter><color=Blue1>C«ng kİch dån dËp<enter><color=White>Tèc ®é tÊn c«ng t¨ng gÊp <color=Blue1>[=skill_param1/16]<color=White> lÇn<enter>Lùc c«ng kİch <color=Blue1>[=748=damage_0] ®iÓm<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>6<color=White> gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100	:³å·æ1,³å·æ1																			ÑîÃÅ\Ñî¼Ò±¼ÀÇÇ¹A.wav,ÑîÃÅ\Ñî¼Ò±¼ÀÇÇ¹B.wav											Ñî¼Ò±¼ÀÇÇÀ.spr	D­¬ng M«n th­¬ng ph¸p s¬ cÊp, xuÊt chiªu cùc nhanh<enter>TÊn c«ng cïng lóc 2 môc tiªu	Gold	Tr­êng Khu Trùc NhËp	<color=White>Mçi gi©y <color=Blue1>120 <color=White> ®iÓm s¸t th­¬ng duy tr× 5 gi©y			748
748	D­¬ng Gia B«n Lang Th­¬ng (Tö)					Ñî¼Ò±¼ÀÇÇ¹																																	Tr­êng Khu Trùc NhËp				
725	D­¬ng Gia ChiÕn §Şnh QuyÕt	<color=Red3> Hç trî phßng thñ chİnh diÖn	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>Tû lÖ nĞ tr¸nh ®¸nh lui t¨ng <color=Blue1>[=state_0]%<color=Red1> (tèi ®a 100%)<enter><color=White>Tû lÖ nĞ tr¸nh ®¸nh ng· t¨ng <color=Blue1>[=state_1]%<color=Red1> (tèi ®a 130%)<enter><color=White>Phßng thñ ngo¹i c«ng t¨ng <color=Blue1>[=state_2]<enter><color=White>Duy tr× <color=Green1>180 <color=White>gi©y<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>60 <color=White>gi©y<enter><color=Gray>(HiÖu qu¶ liªn quan ®Õn g©n cèt)		100	Ñî¼ÒÕ½¶¨¾÷				ÑîÃÅ\603_a(Ñî¼ÒÕ½¶¨¾÷).3e	1		ÑîÃÅ\603_a(Ñî¼ÒÕ½¶¨¾÷).3e	1	9						ÑîÃÅ\603_b(Ñî¼ÒÕ½¶¨¾÷).3e	1			ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷A.wav,ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷C.wav		ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷B.wav,ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷D.wav	18			³¤¹÷.blade	ÑîÃÅÇ¹Æï.Ani	°×É«1.Mtl			Ñî¼ÒÕ½¶¨¾÷.spr	T©m ph¸p trung cÊp, sõng s÷ng nh­ Th¸i S¬n gi÷a v¹n qu©n	Gold	L©m TrËn BÊt Lo¹n	<color=White>Tû lÖ nĞ tr¸nh ®¸nh lui t¨ng <color=Blue1>10%<enter><color=White>Tû lÖ nĞ tr¸nh ®¸nh ng· t¨ng <color=Blue1>5%<enter><color=White>Phßng thñ ngo¹i c«ng t¨ng <color=Blue1>40			
750	D­¬ng Gia ChiÕn §Şnh QuyÕt (chiªu)									ÑîÃÅ\603_a(Ñî¼ÒÕ½¶¨¾÷).3e	1		ÑîÃÅ\603_a(Ñî¼ÒÕ½¶¨¾÷).3e	1	9						ÑîÃÅ\603_b(Ñî¼ÒÕ½¶¨¾÷).3e	1			ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷A.wav,ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷C.wav		ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷B.wav,ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷D.wav	18															
726	D­¬ng Gia X¶o ChiÕn QuyÕt	<color=Red3> Hç trî phßng thñ chİnh diÖn	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>LËp tøc nĞ tr¸nh. Cù ly nĞ tr¸nh <color=Blue1>[=skill_move_param] .<enter><color=White>Trong 3 gi©y lùc c«ng kİch (bÊt cø chiªu thøc nµo) t¨ng <color=Blue1>[=state_0]%.<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>30 <color=White>gi©y		100	Ñî¼ÒÇÉÕ½¾÷				ÑîÃÅ\604_a(Ñî¼ÒÇÉÕ½¾÷).3e	1														ÑîÃÅ\Ñî¼ÒÇÉÕ½¾÷.wav											Ñî¼ÒÇÉÕ½¾÷.spr	Kş thuËt trung cÊp, nĞ tr¸nh linh ho¹t<enter>Cã thÓ t¨ng uy lùc cña chiªu tÊn c«ng kÕ tiÕp	Gold	M· DiÖu §µn Khª	<color=White>Sau khi nĞ tr¸nh, tû lÖ phßng thñ néi ngo¹i c«ng t¨ng <color=Blue1>100%			
727	D­¬ng Gia Thiªn Hµnh Th­¬ng	<color=Blue3> C«ng kİch ngo¹i c«ng (trung)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm.<enter>Liªn tiÕp xuÊt chiªu<enter>Thøc thø 1 <color=Blue1>[=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn<enter><color=White>Thøc thø 2 <color=Blue1>[=752=damage_0].®iÓm<enter><color=White>Tû lÖ <color=Blue0>[=752=damage_1p]% <color=White>®¸nh lui kÎ ®Şch xung quanh<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>10 <color=White> gi©y.<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100	Ñî¼ÒÌìºâÇ¹																			ÑîÃÅ\Ñî¼ÒÌìºâÇ¹A.wav						³¤¹÷.blade	ÑîÃÅÇ¹Æï.Ani	°×É«1.Mtl			Ñî¼ÒÌìºâÇ¹.spr	Th­¬ng ph¸p trung cÊp, chuyÓn th­¬ng bay vßng khiÕn kÎ ®Şch bŞ chÊn ®éng	Gold	Kim Nh¹n Hoµnh Kh«ng	<color=Blue1> §¸nh ng·			752
752	D­¬ng Gia Thiªn Hµnh Th­¬ng (Tö)																																						Kim Nh¹n Hoµnh Kh«ng				
728	D­¬ng Gia Anh Hïng Khİ	<color=Red0> Hç trî	<color=White>Mçi gi©y néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>Hç trî cho tÊt c¶ ®ång ®éi <enter>Rót ng¾n thêi gian lµm chËm khi thä th­¬ng <color=Blue1>[=state_0]%{<enter><color=White>Rót ng¾n thêi gian bŞ <color=Blue1>Hçn lo¹n, <color=White>duy tr× <color=Blue1>[=state_2]%}{<enter><color=White>Rót ng¾n thêi gian bŞ <color=Blue1>Ngñ mª, <color=White>duy tr× <color=Blue1>[=state_3]%}{<enter><color=White>Rót ng¾n thêi gian bŞ <color=Blue1>®øng yªn, <color=White>duy tr× <color=Blue1>[=state_4]%}<enter><color=White>T¸i sö dông sÏ hñy bá hiÖu qu¶ hç trî<enter><color=Gray>(HiÖu qu¶ liªn quan G©n cèt)		100	Ñî¼ÒÓ¢ĞÛÆø															ÑîÃÅ\606_b(Ñî¼ÒÓ¢ĞÛÆø).3e	1									³¤¹÷.blade	ÑîÃÅÇ¹Æï.Ani	°×É«1.Mtl			Ñî¼ÒÓ¢ĞÛÆø.spr	T©m ph¸p trung cÊp, gióp ®ång ®éi håi phôc c¸c thuéc tİnh chiÕn ®Êu	Gold					
729	D­¬ng Gia §¶o H¶i Th­¬ng	<color=Blue3> Chñ ®éng c«ng kİch (cao cÊp)	<color=White> Tiªu hao néi lùc <color=Red1>[=cost_mana_point] <color=White> ®iÓm <enter><color=Blue1> C«ng kİch<enter><color=White>Tèc ®é c«ng kİch t¨ng <color=Blue1>[=skill_param1/16] <color=White>gÊp<enter>lùc c«ng kİch <color=Blue1>[=754=damage_0]<enter><color=White>ChÆn ®èi ph­¬ng xuÊt chiªu<color=Blue1>[=754=damage_1]%<enter><color=White>Gi·n c¸ch xuÊt chiªu<color=Green1>15 <color=White>gi©y<enter><color=Gray>(Ngò Hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Søc M¹nh)		100	:³å·æ2,³å·æ2																			ÑîÃÅ\Ñî¼ÒÌìºâÇ¹A.wav						³¤¹÷.blade	ÑîÃÅÇ¹Æï.Ani	°×É«1.Mtl			Ñî¼Òµ¹º£Ç¹.spr	Th­¬ng ph¸p cao cÊp, tÊn c«ng diÖn réng. Cã thÓ ph¸ gi¶i trËn h×nh	Gold	ThÕ Nh­ Ph¸ Tróc	<color=White>T¨ng søc tÊn c«ng <color=Blue1>30%<enter><color=Blue1>HiÖu qu¶ ®¸nh lui	Bµi S¬n §¶o H¶i	<enter><color=White>T¨ng søc tÊn c«ng <color=Blue1>50%<enter><color=Blue1>HiÖu qu¶ ®¸nh ng·	754
754	D­¬ng Gia §¶o H¶i Th­¬ng (Tö)					Ñî¼Òµ¹º£Ç¹																									³¤¹÷.blade	ÑîÃÅÇ¹Æï.Ani	°×É«1.Mtl						ThÕ Nh­ Ph¸ Tróc		Bµi S¬n §¶o H¶i		
730	D­¬ng Gia Ngù M· ThuËt	<color=Red3> Hç trî tÊn c«ng phô diÖn	<color=White>Tiªu hao néi lùc <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter><color=White> Vã ngùa t¹o nªn k×nh lùc tÊn c«ng xung quanh <color=Blue1>[=damage_0]<enter><color=White> Gi¶m tèc ®é ®èi ph­¬ng <color=Blue1>[=state_0]%<color=Red1>(giíi h¹n 110%)<enter><color=White>duy tr× <color=Green1>[=skill_effect_persist_time] <color=White>gi©y<enter><color=White>Gi·n c¸ch sö dông <color=Green1>20 <color=White>gi©y<enter><color=Gray>(kh«ng ngò hµnh)<enter><color=Gray>(HiÖu qu¶ liªn quan søc m¹nh)		100	Ñî¼ÒÓùÂíÊõ				ÑîÃÅ\608_a(Ñî¼ÒÓùÂíÊõ).3e	1														ÑîÃÅ\Ñî¼ÒÓùÂíÊõA.wav						³¤¹÷.blade	ÑîÃÅÇ¹Æï.Ani	°×É«1.Mtl			Ñî¼ÒÓùÂíÊõ.spr	Kş thuËt cao cÊp, m­în vã ngùa ph¸t ra k×nh lùc lµm chÊn ®éng xung quanh	Gold	Xu©n L«i ChÊn Né	<color=White>T¨ng søc tÊn c«ng <color=Blue1>30%<enter><color=Blue1>HiÖu qu¶ ®¸nh lui	§Şa §éng S¬n Dao	<enter><color=White>T¨ng søc tÊn c«ng <color=Blue1>50%<enter><color=Blue1>HiÖu qu¶ ®¸nh ng·	
731	Bİch NguyÖt Phi Tinh Th­¬ng	<color=Blue3> Chñ ®éng c«ng kİch (cao cÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm.<enter><color=Blue1>TÊn c«ng dån dËp<enter><color=White>Mçi gi©y ph¸t ra lùc tÊn c«ng <color=Blue1>[=damage_1] ®iÓm<enter><color=White>KhiÕn ®èi ph­¬ng gi¶m tèc trong 2 gi©y <color=Blue1>[=state_0]%. <enter><color=White>Tèc ®é tÊn c«ng gÊp <color=Blue1>[=skill_param1/-14] <color=White>lÇn<enter>Duy tr× 3 gi©y.<enter>Sau khi tr¹ng th¸i kÕt thóc thi triÓn Phi Tinh quyÕt tÊn phİa tr­íc.<enter>Lùc tÊn c«ng Phi Tinh quyÕt <color=Blue1>[=767=damage_0].®iÓm<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>30 <color=White>gi©y.<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh).<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100	:³å·æ3,³å·æ3				ÑîÃÅ\603_a(Ñî¼ÒÕ½¶¨¾÷).3e	1		ÑîÃÅ\604_a(Ñî¼ÒÇÉÕ½¾÷).3e	1											ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷A.wav,ÑîÃÅ\Ñî¼ÒÕ½¶¨¾÷C.wav		ÑîÃÅ\Ñî¼ÒÌìºâÇ¹A.wav	-6			³¤¹÷.blade	ÑîÃÅÇ¹Æï.Ani	°×É«1.Mtl			±ÌÔÂ·ÉĞÇÇ¹.spr	Th­¬ng ph¸p cao cÊp, tÊn c«ng diÖn réng	Gold	Phi YÕn Xuyªn LiÔu	<color=White>Trong 6 gi©y khiÕn ®èi ph­¬ng gi¶m tèc <color=Blue1>20%<enter><color=White>KhiÕn môc tiªu mçi gi©y mÊt <color=Blue1>120 Sinh lùc	L­u Tinh C¶n NguyÖt	<color=White>Trong 6 gi©y khiÕn ®èi ph­¬ng gi¶m tèc <color=Blue1>30%<enter><color=White>KhiÕn môc tiªu mçi gi©y mÊt <color=Blue1>150 Sinh lùc	767
767	Bİch NguyÖt Phi Tinh Th­¬ng (Tö)				100	±ÌÔÂ·ÉĞÇÇ¹																																	Phi YÕn Xuyªn LiÔu		L­u Tinh C¶n NguyÖt		
732	Liªn Hoµn Toµn Long th­¬ng	<color=Gold> Vâ c«ng TrÊn ph¸i	<color=White>S¸t khİ tiªu hao <color=Red1>[=cost_momentum] <color=White>«<enter>Trêi ban thÇn lùc móa th­¬ng nh­ bµn long gi¶o h¶i, s¸t th­¬ng <color=yellow>ph¹m vi vßng trßn <color=White><enter>Mçi n÷a gi©y g©y s¸t th­¬ng ®Şch <color=Blue1>[=imme_0]% <color=White><enter>Víi NPC s¸t th­¬ng t¨ng thªm <color=Blue1>[=damage_1] <color=White>®iÓm{<enter>§ång thêi gi¶m tèc ®é di chuyÓn cña kÎ ®Şch<color=Blue1>[=state_0]%}{<enter><color=White>Cã <color=Blue0>[=state_1p]% <color=White>tû lÖ phong táa khinh c«ng ®Şch 3gi©y}<enter><color=White>Trong qu¸ tr×nh thi triÓn <color=Blue1>[=555=state_0]% <color=White>miÔn dŞch c¸c tr¹ng th¸i g©y h¹i<enter><color=White>§ång thêi t¨ng tû lÖ phßng ngù néi ngo¹i c«ng <color=Blue1>[=555=state_1]%<enter><color=White>Khi móa th­¬ng chØ b»ng 80% tèc ®é di chuyÓn b×nh th­êng <enter><color=White>Duy tr× <color=Green1>10 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)	<enter>D­¬ng gia ph¸i vèn lµ m«n ph¸i danh gi¸ h­ëng béc triÒu ®×nh, nhiÒu danh t­íng cã c«ng b¶o vÖ ®¹i Tèng	100	:Á¬»·×êÁúÇ¹,Á¬»·×êÁúÇ¹				ÑîÃÅ\Á¬»·×êÁúÇ¹_a1.3e	1	-1	ÑîÃÅ\Á¬»·×êÁúÇ¹_a2.3e	2	-1				ÑîÃÅ\Á¬»·×êÁúÇ¹_c1.3e	1					ÑîÃÅ\Á¬»·×êÁúÇ¹A1.wav	-1	ÑîÃÅ\Á¬»·×êÁúÇ¹A2.wav	-1						10	200	Á¬»·×êÁúÇ¹.spr	Th­¬ng ph¸p TrÊn Ph¸i, xuÊt th­¬ng liªn hoµn khiÕn kÎ ®Şch kh«ng kŞp trë tay	Gold					
733	D­¬ng Gia Cung T©m Ph¸p	<color=Purple> NhËp m«n	<color=White>Yªu cÇu vò khİ <color=Blue1>cung tiÔn<enter><color=White>Khi ngåi thiÒn, mçi 10 gi©y t¨ng håi phôc sinh lùc <color=Blue1>[=state_0] <color=White>®iÓm<enter><color=White>Khi ngåi thiÒn, mçi 10 gi©y t¨ng håi phôc néi lùc <color=Blue1>[=state_1] <color=White>®iÓm<enter><color=White>Tèc ®é tÊn c«ng t¨ng <color=Blue1>[=state_6]%<enter><color=White>T¨ng x¸c suÊt ®¸nh trİ m¹ng <color=Blue1>[=state_7]%<enter><color=White>T¨ng tèc ®é lªn ngùa <color=Blue1>[=state_8]%{<enter><color=White>T¨ng tèc ®å håi phôc ngo¹i th­¬ng <color=Blue1>[=state_2]%}<enter><color=Blue1>Söa phßng ngù l­u ph¸i<enter><color=Blue1>Söa hiÖu qu¶ d­îc liÖu<enter><color=Blue1>Th©n ph¸p t¨ng ngo¹i c«ng		100																															Ñî¼Ò¹­ĞÄ·¨.spr	Cung kş binh t©m ph¸p c¬ b¶n, t¨ng c­êng kü n¨ng tÊn c«ng vµ kş thuËt	Gold					
734	Cung Ph¸p Tæng quyÕt	<color=Purple> Vâ c«ng bŞ ®éng	<color=White>Tû lÖ nĞ tr¸nh t¨ng <color=Blue1>5% <color=White>®iÓm<enter><color=White>S¸t th­¬ng cung tiÔn t¨ng <color=Blue1>[=state_1] <color=White>®iÓm<enter><color=Gray>(HiÖu qu¶ liªn quan ®Õn th©n ph¸p)		100																															Ñî¼Ò¹­·¨×Ü¾ö.spr	D­¬ng M«n cung phÊp c¬ b¶n, n©ng cao kü x¶o vµ s¸t th­¬ng khi sö dông cung	Gold					
